Wall time,Step,Time,Value
1600557104.77,1.0,0.0,7.53166484833
1600557171.49,101.0,66.7241849899,4.25398588181
1600557237.27,201.0,132.503902912,3.59793448448
1600557302.71,301.0,197.943376064,3.03257870674
1600557368.3,401.0,263.529278994,2.76586174965
1600557443.1,501.0,338.329650164,2.17306804657
1600557508.79,601.0,404.022497892,2.04759573936
1600557574.38,701.0,469.605770826,1.80385661125
1600557640.05,801.0,535.277235985,1.59051215649
1600557705.43,901.0,600.66327095,1.45359635353
1600557780.81,1001.0,676.038486958,1.30116152763
1600557846.26,1101.0,741.494110107,1.27838873863
1600557911.86,1201.0,807.085232973,1.12720227242
1600557977.35,1301.0,872.583817005,1.06821584702
1600558042.99,1401.0,938.216794014,1.04724061489
1600558122.55,1501.0,1017.77688503,0.962306261063
1600558188.2,1601.0,1083.43421006,0.82077819109
1600558253.72,1701.0,1148.94625306,0.988695800304
1600558319.3,1801.0,1214.52953506,0.952263593674
1600558384.77,1901.0,1280.00431609,0.948264122009
1600558463.04,2001.0,1358.26653504,0.851456820965
1600558488.29,2148.0,1383.51960897,0.464218854904
1600558493.78,2262.0,1389.01202488,0.64017033577
1600558499.28,2378.0,1394.50888777,0.640784144402
1600558504.79,2492.0,1400.02030683,0.658803462982
1600558510.29,2606.0,1405.51791096,0.495592415333
1600558515.75,2720.0,1410.98184395,0.633797645569
1600558521.25,2834.0,1416.47779083,0.613403320312
1600558526.76,2949.0,1421.99111891,0.560863852501
1600558532.24,3064.0,1427.47442079,0.53043037653
1600558537.74,3178.0,1432.97422385,0.512682676315
1600558543.43,3296.0,1438.66371894,0.68577003479
1600558549.5,3418.0,1444.72680187,0.348017185926
1600558555.03,3533.0,1450.26183081,0.584042429924
1600558560.53,3647.0,1455.75562477,0.619503855705
1600558566.22,3766.0,1461.44499207,0.525030851364
1600558571.83,3878.0,1467.05578685,0.499549776316
1600558577.35,3992.0,1472.58210993,0.503033041954
1600558582.85,4106.0,1478.08183384,0.523995101452
1600558588.37,4221.0,1483.59502292,0.619747698307
1600558593.86,4336.0,1489.08630204,0.602875590324
1600558599.01,4445.0,1494.24223399,0.377918481827
1600558604.54,4558.0,1499.76521087,0.355617821217
1600558610.03,4675.0,1505.26421189,0.375051468611
1600558615.55,4790.0,1510.77663589,0.216236248612
1600558621.06,4903.0,1516.2918067,0.493053346872
1600558626.56,5019.0,1521.78577375,0.552967429161
1600558632.07,5134.0,1527.30168796,0.722519516945
1600558637.57,5245.0,1532.79598975,0.835647344589
1600558643.07,5361.0,1538.29677701,0.819967627525
1600558648.55,5474.0,1543.77944779,0.489424407482
1600558654.04,5588.0,1549.27266884,0.359314322472
1600558659.55,5705.0,1554.78284693,0.563257038593
1600558665.44,5825.0,1560.67342186,0.417348504066
1600558670.92,5939.0,1566.14839482,0.515657901764
1600558682.42,6162.0,1577.65237689,0.407576411963
1600558688.61,6290.0,1583.84123993,0.227824658155
1600558694.47,6411.0,1589.70072079,0.710068225861
1600558700.0,6528.0,1595.22682476,0.600476026535
1600558705.87,6650.0,1601.10261989,0.481408625841
1600558711.36,6763.0,1606.59410691,0.426158845425
1600558716.89,6880.0,1612.11554289,0.50717818737
1600558722.4,6995.0,1617.6261158,0.411805927753
1600558728.26,7115.0,1623.48978782,1.08632409573
1600558733.96,7232.0,1629.18694782,0.524608016014
1600558739.49,7350.0,1634.72016978,0.738811612129
1600558745.0,7463.0,1640.22548389,0.530552268028
1600558750.72,7583.0,1645.94836783,0.631311058998
1600558756.22,7697.0,1651.45143175,0.554335474968
1600558762.09,7818.0,1657.31810594,0.444006472826
1600558767.61,7934.0,1662.83994675,0.618216633797
1600558773.45,8055.0,1668.68466687,0.276099205017
1600558778.98,8170.0,1674.20539498,0.27576097846
1600558784.48,8285.0,1679.70756888,0.220459833741
1600558790.36,8405.0,1685.59423971,0.274387717247
1600558795.85,8520.0,1691.07812881,0.209708943963
1600558801.37,8635.0,1696.60263991,0.253733515739
1600558806.86,8750.0,1702.09212899,0.203466653824
1600558812.48,8866.0,1707.71106386,0.221449792385
1600558817.99,8982.0,1713.21678591,0.296090304852
1600558823.49,9095.0,1718.72455478,0.321896255016
1600558829.15,9211.0,1724.37653184,0.271136641502
1600558834.63,9325.0,1729.86295772,0.207806646824
1600558840.34,9444.0,1735.56638503,0.23153680563
1600558846.06,9562.0,1741.28501487,0.201591908932
1600558851.53,9677.0,1746.76368499,0.206575766206
1600558857.03,9791.0,1752.26091695,0.318022191525
1600558862.88,9912.0,1758.11120677,0.19649296999
1600558874.71,10143.0,1769.94299078,0.186777964234
1600558880.59,10264.0,1775.81685781,0.287199944258
1600558886.12,10380.0,1781.35476375,0.28332811594
1600558891.8,10498.0,1787.02577281,0.120014712214
1600558897.67,10619.0,1792.8991828,0.264616668224
1600558903.18,10733.0,1798.40771794,0.0988184064627
1600558908.67,10848.0,1803.8999939,0.192508503795
1600558914.22,10962.0,1809.4544487,0.13234898448
1600558919.7,11076.0,1814.93244576,0.174452349544
1600558925.18,11190.0,1820.40773678,0.115166351199
1600558930.72,11306.0,1825.94852376,0.206247150898
1600558936.46,11424.0,1831.68902683,0.422783195972
1600558942.18,11542.0,1837.40613484,0.30742752552
1600558947.7,11658.0,1842.93081999,0.243757754564
1600558953.21,11774.0,1848.43707275,0.146040290594
1600558959.07,11895.0,1854.29868698,0.192933768034
1600558964.54,12009.0,1859.76788878,0.325685083866
1600558970.05,12126.0,1865.27644491,0.136574238539
1600558975.55,12239.0,1870.77719688,0.138142630458
1600558981.03,12353.0,1876.26102185,0.182745605707
1600558986.54,12468.0,1881.76521993,0.131235077977
1600558992.07,12584.0,1887.30215573,0.310521066189
1600558997.55,12698.0,1892.78399301,0.179709255695
1600559002.97,12811.0,1898.20250297,0.216700181365
1600559008.46,12924.0,1903.68888187,0.27854257822
1600559013.93,13039.0,1909.15654206,0.159047782421
1600559019.59,13155.0,1914.8147788,0.202226758003
1600559025.08,13271.0,1920.31106687,0.265607774258
1600559030.56,13384.0,1925.79156184,1.10866928101
1600559036.07,13499.0,1931.29964089,0.730194985867
1600559041.58,13612.0,1936.80761695,0.66456246376
1600559047.1,13728.0,1942.32764077,0.594367623329
1600559052.84,13847.0,1948.06905103,0.500677347183
1600559058.31,13961.0,1953.53995299,0.653428435326
1600559069.56,14177.0,1964.78841591,0.497752904892
1600559075.06,14291.0,1970.29037285,0.512652993202
1600559080.55,14406.0,1975.78146982,0.498638212681
1600559086.04,14521.0,1981.27354074,0.566999673843
1600559091.54,14636.0,1986.76900578,0.503420710564
1600559097.08,14750.0,1992.3116529,0.310218036175
1600559102.58,14864.0,1997.81004691,0.102244153619
1600559108.34,14984.0,2003.56487489,0.228306293488
1600559113.82,15098.0,2009.04917979,0.159509241581
1600559119.33,15214.0,2014.56237698,0.106047980487
1600559125.04,15329.0,2020.26635671,0.343491107225
1600559130.53,15444.0,2025.76161194,0.253163129091
1600559136.03,15558.0,2031.25733781,0.209481328726
1600559141.55,15675.0,2036.77611685,0.142178699374
1600559147.03,15789.0,2042.25907278,0.139210671186
1600559152.93,15910.0,2048.16294694,0.133979767561
1600559158.43,16026.0,2053.66074967,0.179601848125
1600559163.9,16139.0,2059.13337088,0.107215195894
1600559169.42,16255.0,2064.64638782,0.227255582809
1600559175.58,16382.0,2070.81109786,0.101985692978
1600559181.21,16500.0,2076.44440484,0.262169927359
1600559186.7,16614.0,2081.93325281,0.320962131023
1600559192.17,16729.0,2087.40366578,0.186229020357
1600559197.7,16843.0,2092.92993093,0.252109229565
1600559203.38,16962.0,2098.61304593,0.257788956165
1600559208.84,17075.0,2104.06647277,0.237479537725
1600559214.33,17189.0,2109.55999875,0.354735165834
1600559219.81,17304.0,2115.04031086,0.239495158195
1600559225.37,17420.0,2120.60450983,0.139033019543
1600559231.24,17541.0,2126.47297382,0.263573050499
1600559236.7,17655.0,2131.928828,0.301559448242
1600559242.22,17770.0,2137.44967175,0.498023867607
1600559247.72,17884.0,2142.94618678,0.458274424076
1600559253.23,17998.0,2148.46197701,0.267644286156
1600559261.84,18163.0,2157.07384872,0.259689033031
1600559267.38,18279.0,2162.60721898,0.418707430363
1600559273.08,18397.0,2168.30664086,0.428202569485
1600559278.59,18513.0,2173.81904578,0.209276437759
1600559284.1,18627.0,2179.32478881,0.377711176872
1600559289.63,18744.0,2184.85507274,0.151802301407
1600559295.13,18858.0,2190.3627708,0.237553596497
1600559300.85,18976.0,2196.08432078,0.52935063839
1600559306.4,19091.0,2201.63202477,0.470695137978
1600559311.87,19205.0,2207.10123777,0.466735064983
1600559317.36,19320.0,2212.59018588,0.28038033843
1600559322.86,19434.0,2218.08638883,0.280984222889
1600559328.73,19553.0,2223.95554185,0.356312960386
1600559334.22,19668.0,2229.45449591,0.378139197826
1600559339.74,19785.0,2234.97434783,0.394958049059
1600559345.63,19906.0,2240.85618782,0.289017289877
1600559351.16,20023.0,2246.39124489,0.281356841326
1600559356.63,20137.0,2251.85911798,0.480724811554
1600559362.48,20258.0,2257.71224689,0.749166727066
1600559368.02,20375.0,2263.25086999,0.774857640266
1600559373.53,20490.0,2268.75754499,0.59826618433
1600559379.21,20608.0,2274.44050193,0.92089176178
1600559384.71,20721.0,2279.94305992,0.616826057434
1600559390.22,20836.0,2285.44616294,0.588661491871
1600559395.73,20950.0,2290.95550203,0.4447234869
1600559401.23,21066.0,2296.45814586,0.300860375166
1600559406.74,21182.0,2301.96495295,0.400852203369
1600559412.6,21303.0,2307.83066082,0.161537408829
1600559418.1,21418.0,2313.33262372,0.161197200418
1600559423.83,21538.0,2319.06086993,0.136819183826
1600559429.32,21652.0,2324.54631901,0.169871151447
1600559434.84,21767.0,2330.06601787,0.22795805335
1600559440.74,21888.0,2335.96952081,0.163965150714
1600559446.22,22004.0,2341.45196581,0.347892254591
1600559456.88,22204.0,2352.1129818,0.204947143793
1600559462.45,22322.0,2357.67503881,0.475185155869
1600559467.96,22436.0,2363.18920779,0.242813080549
1600559473.48,22551.0,2368.71145105,0.310400903225
1600559479.23,22669.0,2374.45592284,0.475628405809
1600559484.82,22786.0,2380.04581881,0.215969547629
1600559490.66,22906.0,2385.88622284,0.200039714575
1600559496.14,23019.0,2391.36877179,0.299388766289
1600559501.63,23133.0,2396.86275673,0.292698830366
1600559507.14,23249.0,2402.37353683,0.296852916479
1600559512.63,23362.0,2407.85632586,0.202475130558
1600559518.19,23480.0,2413.42344284,0.261554390192
1600559523.7,23594.0,2418.93076587,0.264130532742
1600559529.25,23709.0,2424.48025393,0.3437089324
1600559534.96,23827.0,2430.187994,0.372175842524
1600559540.51,23943.0,2435.73533392,0.283098220825
1600559546.23,24060.0,2441.45911288,0.302672088146
1600559551.75,24175.0,2446.97512603,0.268954604864
1600559557.24,24289.0,2452.47113585,0.407316476107
1600559562.8,24405.0,2458.02979088,0.320871412754
1600559568.27,24518.0,2463.49756575,0.458246439695
1600559573.78,24634.0,2469.01435781,0.301608562469
1600559579.27,24749.0,2474.49851584,0.225066527724
1600559584.74,24862.0,2479.97216582,0.242648035288
1600559590.27,24977.0,2485.49835992,0.26253092289
1600559595.8,25093.0,2491.02785897,0.260743319988
1600559601.68,25214.0,2496.90714383,0.331961542368
1600559607.44,25334.0,2502.66650295,0.251937866211
1600559613.34,25455.0,2508.56560588,0.248090311885
1600559619.0,25572.0,2514.22553778,0.124528840184
1600559624.48,25686.0,2519.70624399,0.264361947775
1600559630.11,25803.0,2525.34379792,0.390270024538
1600559635.63,25918.0,2530.85771704,0.783859372139
1600559641.15,26034.0,2536.38209486,0.261419475079
1600559651.23,26223.0,2546.45979786,0.385032176971
1600559656.75,26339.0,2551.98433495,0.216769576073
1600559662.52,26456.0,2557.75292993,0.376276910305
1600559668.02,26572.0,2563.24479294,0.309701949358
1600559673.52,26686.0,2568.75433779,0.2895000875
1600559679.05,26801.0,2574.28105783,0.347787857056
1600559684.55,26915.0,2579.78431702,0.553886651993
1600559690.09,27032.0,2585.31504393,0.350928843021
1600559695.57,27146.0,2590.8029139,0.370765089989
1600559701.46,27268.0,2596.68912292,0.477338790894
1600559706.98,27383.0,2602.20979071,0.422798365355
1600559712.48,27497.0,2607.70765901,0.553241848946
1600559717.97,27610.0,2613.198385,0.49354377389
1600559723.51,27725.0,2618.73804688,0.621586203575
1600559729.02,27841.0,2624.249861,0.482892274857
1600559734.55,27955.0,2629.77637982,0.35548210144
1600559740.04,28069.0,2635.2712388,0.147838711739
1600559745.5,28183.0,2640.73348093,0.232769489288
1600559750.95,28296.0,2646.17961979,0.322348237038
1600559756.46,28411.0,2651.69219398,0.207762420177
1600559761.95,28525.0,2657.17559481,0.315990716219
1600559767.48,28640.0,2662.70694876,0.175727680326
1600559772.99,28756.0,2668.21570992,0.345646232367
1600559778.48,28871.0,2673.70907378,0.302447289228
1600559784.14,28988.0,2679.36916089,0.199877113104
1600559789.99,29109.0,2685.22260594,0.405883789062
1600559795.87,29230.0,2691.1007278,0.275215804577
1600559801.37,29345.0,2696.60074186,0.274779379368
1600559806.84,29460.0,2702.06940579,0.518784701824
1600559812.7,29581.0,2707.92696571,0.392997741699
1600559818.18,29696.0,2713.40653682,0.350313603878
1600559823.7,29813.0,2718.9280138,0.317330420017
1600559829.23,29927.0,2724.4618659,0.326879411936
1600559834.81,30042.0,2730.04272699,0.40158957243
1600559843.2,30203.0,2738.43255186,0.39445361495
1600559848.74,30316.0,2743.96952891,0.277823030949
1600559854.29,30434.0,2749.51517701,0.450115442276
1600559859.78,30548.0,2755.01333594,0.336339712143
1600559865.29,30664.0,2760.52470779,0.249004006386
1600559870.79,30778.0,2766.02096581,0.314771026373
1600559876.3,30893.0,2771.52846479,0.368323564529
1600559881.99,31011.0,2777.21886373,0.319878518581
1600559887.52,31127.0,2782.74913597,0.296161293983
1600559893.01,31241.0,2788.23806,0.28852558136
1600559898.87,31362.0,2794.09614086,0.418755829334
1600559904.39,31476.0,2799.6179328,0.28102517128
1600559909.95,31593.0,2805.17687368,0.222789749503
1600559915.5,31707.0,2810.72798085,0.259373188019
1600559921.01,31821.0,2816.23617697,0.179020166397
1600559926.48,31936.0,2821.71229196,0.321425944567
1600559932.16,32055.0,2827.39431787,0.464132666588
1600559937.67,32168.0,2832.90036583,0.253339827061
1600559943.16,32283.0,2838.39419389,0.393995195627
1600559948.67,32397.0,2843.89851093,0.180811285973
1600559954.16,32512.0,2849.38750672,0.401107639074
1600559959.64,32627.0,2854.87396002,0.408238112926
1600559965.34,32744.0,2860.56844974,0.372498989105
1600559970.81,32858.0,2866.04218483,0.217786341906
1600559976.41,32976.0,2871.63671994,0.336735159159
1600559982.05,33091.0,2877.2817378,0.161819696426
1600559987.72,33212.0,2882.94749284,0.151485100389
1600559993.58,33332.0,2888.81170583,0.112720176578
1600559999.08,33447.0,2894.30779696,0.270757377148
1600560004.56,33562.0,2899.79028583,0.174458533525
1600560010.07,33677.0,2905.30015182,0.496911078691
1600560015.59,33793.0,2910.81903791,0.31791472435
1600560021.08,33907.0,2916.31131387,0.322282910347
1600560026.53,34020.0,2921.76032996,0.564060986042
1600560037.04,34220.0,2932.26847982,0.504042208195
1600560042.54,34336.0,2937.77039289,0.640268683434
1600560048.42,34458.0,2943.65470195,0.202688917518
