Wall time,Step,Value
1600389729.230297,0,0.009700000286102295
1600390115.348275,500,0.28139999508857727
1600390441.391585,1000,0.48890000581741333
1600390767.557317,1500,0.5260999798774719
1600391093.335958,2000,0.517799973487854
1600391418.994548,2500,0.5285999774932861
1600391805.21258,3000,0.5281999707221985
1600392136.724485,3500,0.5271999835968018
1600392462.650222,4000,0.5447999835014343
1600392788.248997,4500,0.5641000270843506
1600393174.06029,5000,0.53329998254776
1600393500.031865,5500,0.5828999876976013
1600393825.797383,6000,0.5680000185966492
1600394151.735391,6500,0.5613999962806702
1600394477.428275,7000,0.5697000026702881
1600394863.570595,7500,0.5339999794960022
1600395189.440843,8000,0.5763999819755554
1600395303.732653,8000,0.5763999819755554
1600395570.108435,12010,0.7364000082015991
1600395775.566064,16023,0.738099992275238
1600395980.997789,20035,0.7390999794006348
1600396186.371508,24091,0.7404000163078308
1600396331.677023,28050,0.7419999837875366
1600396536.854289,32062,0.742900013923645
1600396742.239306,36070,0.7427999973297119
1600396947.353781,40109,0.7444999814033508
1600397092.458018,44115,0.7425000071525574
1600397297.8371,48098,0.7433000206947327
1600397503.256251,52138,0.7450000047683716
1600397708.429782,56115,0.7437000274658203
1600397853.278432,60122,0.7430999875068665
1600398058.49248,64168,0.742900013923645
1600398263.955343,68150,0.7444000244140625
1600398469.197441,72014,0.7444000244140625
