Wall time,Time,Step,Value
1600309196,0,1,7.649780273
1600309223,26.9289701,269,4.645324707
1600309229,32.44201016,387,4.600132942
1600309234,37.99637008,505,4.49966526
1600309240,43.60853004,621,4.534286022
1600309245,48.73368001,731,4.452971458
1600309251,54.21813011,850,4.42963028
1600309256,59.68726015,968,4.491205215
1600309262,65.24822998,1088,4.480598927
1600309267,70.3977201,1197,4.358407021
1600309272,75.86229014,1315,4.4290905
1600309278,81.53297997,1436,4.374294281
1600309283,86.84011006,1552,4.467773914
1600309294,97.99154997,1790,4.307971954
1600309300,103.69203,1913,4.233035564
1600309306,109.2733901,2032,4.260710239
1600309311,114.8045001,2151,4.296976089
1600309317,120.3208899,2270,4.207244396
1600309322,125.8401902,2388,4.139068604
1600309328,131.3573601,2506,4.196227074
1600309333,136.8582001,2624,4.18628788
1600309339,142.3587801,2742,4.224386215
1600309344,147.8461502,2862,4.079640865
1600309350,153.3729,2979,4.106856346
1600309355,158.8857601,3096,4.192203999
1600309361,164.4497001,3214,3.780571938
1600309366,169.9653001,3333,4.082387924
1600309372,175.4789901,3452,4.138114929
1600309377,180.9647801,3570,3.934961557
1600309383,186.4532301,3689,4.153697014
1600309388,191.9563801,3808,3.97628212
1600309394,197.5058901,3925,3.824676514
1600309405,208.8943901,4151,3.585677385
1600309411,214.40346,4271,3.782554865
1600309416,219.67272,4383,3.680027008
1600309421,225.0934801,4499,3.695991039
1600309427,230.4078801,4612,3.65256691
1600309432,235.8954902,4731,3.467419624
1600309438,241.4249001,4848,3.77788496
1600309443,246.96103,4966,3.563885212
1600309449,252.4643102,5085,3.659984827
1600309454,257.95911,5204,3.207711697
1600309460,263.64854,5325,3.600893497
1600309466,269.16869,5443,3.570183754
1600309471,274.6975,5560,3.550950527
1600309476,279.86761,5671,3.563303709
1600309482,285.4022601,5790,3.44048214
1600309487,290.9191802,5909,3.8757658
1600309492,296.076,6019,3.311794281
1600309498,301.5760801,6138,3.776158333
1600309503,307.1436601,6256,3.098971605
1600309509,312.6496701,6374,3.698886395
1600309515,318.1887701,6490,3.417584896
1600309520,323.6751101,6608,3.607943296
1600309525,329.1472502,6727,3.611023426
1600309531,334.4897401,6841,3.693291187
1600309536,340.00143,6959,3.543097019
1600309542,345.5117202,7077,3.619993448
1600309547,350.88743,7193,3.173356533
1600309553,356.41573,7312,3.232152462
1600309558,361.94748,7429,3.055331707
1600309564,367.4516201,7547,3.042553902
1600309569,372.62234,7659,3.54014349
1600309574,378.1287501,7777,3.547798157
1600309580,383.6626401,7896,3.250684261
1600309586,389.1816201,8012,3.710787058
1600309594,397.3421202,8168,3.441275358
1600309599,402.83689,8284,3.003520966
1600309605,408.3377402,8403,3.32310462
1600309610,413.85061,8523,3.005347252
1600309616,419.3858302,8640,2.899020195
1600309621,424.8826001,8759,3.181409359
1600309627,430.40481,8877,2.565999031
1600309632,435.9066801,8994,2.760932922
1600309638,441.5724699,9115,3.103728056
1600309643,447.07655,9233,2.758868694
1600309649,452.57407,9352,2.75478363
1600309654,458.11061,9470,2.881364822
1600309660,463.6182702,9588,2.973529816
1600309666,469.31427,9710,2.729749203
1600309671,474.8034701,9829,2.816740751
1600309677,480.3129601,9947,3.151676178
1600309682,485.81287,10065,3.069596529
1600309688,491.3640201,10182,3.209235191
1600309699,502.38449,10418,2.669412613
1600309704,507.78021,10534,2.703769445
1600309710,513.3252201,10652,2.93513298
1600309715,518.85777,10770,2.541974545
1600309721,524.35179,10887,2.824559212
1600309726,529.8708701,11006,2.686998367
1600309732,535.3939202,11125,2.775908947
1600309737,540.5252202,11235,2.671129942
1600309742,546.0234501,11355,2.653175831
1600309748,551.56814,11471,2.701268435
1600309753,557.0822999,11589,2.666909218
1600309759,562.2362101,11700,2.558593273
1600309764,567.7699702,11819,2.250529766
1600309769,573.06598,11933,2.799892902
1600309784,587.26775,12213,2.39444685
1600309789,592.73791,12329,2.224282265
1600309800,603.72649,12565,2.041723251
1600309806,609.31584,12685,1.999142051
1600309811,614.8341801,12804,2.631641865
1600309816,620.0641401,12915,2.326022625
1600309822,625.18607,13025,2.243501902
1600309827,630.6593101,13144,2.086965084
1600309833,636.19168,13261,2.275579453
1600309838,641.7095501,13381,2.273590565
1600309844,647.27827,13499,2.003638506
1600309849,652.59673,13613,2.068655968
1600309854,658.1152902,13730,2.032956123
1600309860,663.6386001,13848,2.128526211
1600309865,669.1569002,13968,2.121762037
1600309871,674.6533201,14085,2.687556267
1600309877,680.16032,14203,2.486890316
