Wall time,Time,Step,Value
1600354195,0,0,0.009999999776
1600354341,145.8691599,4083,0.1031000018
1600354546,351.4595699,8061,0.2326000035
1600354751,556.72142,12060,0.353700012
1600354897,701.95509,16048,0.4584000111
1600355102,907.52968,20091,0.5322999954
1600355307,1112.78821,24094,0.5710999966
1600355513,1317.96636,28080,0.6044999957
1600355658,1463.13915,32087,0.5875999928
1600355863,1668.35836,36144,0.5960999727
1600356069,1873.9186,40107,0.6212999821
1600356213,2018.78588,44129,0.6104000211
1600356419,2223.98021,48192,0.6268000007
1600356624,2429.18921,52134,0.6144000292
1600356829,2634.40621,56136,0.6129000187
1600356974,2779.29539,60189,0.6467999816
1600357179,2984.40336,64170,0.6919000149
1600357422,3226.90972,68241,0.7182999849
1600357567,3371.94776,72181,0.7218000293
1600357772,3577.46545,76180,0.7215999961
1600357977,3782.69808,80196,0.7240999937
1600358123,3927.95221,84211,0.7243000269
1600358328,4133.25544,88203,0.7250000238
1600358533,4338.38115,92215,0.7231000066
1600358738,4543.78099,96251,0.7243000269
1600358883,4688.63166,100230,0.7256000042
1600359089,4894.02507,104240,0.725300014
1600359294,5099.21385,108251,0.725399971
1600359499,5304.36762,112260,0.7235000134
1600359644,5449.45673,116265,0.725300014
1600359849,5654.67256,120279,0.7246999741
1600360054,5859.77173,124306,0.7256000042
1600360200,6004.85395,128012,0.7242000103
