Wall time,Time,Step,Value
1600133374,0,0,0.009999999776
1600133580,205.5291898,250,0.1747000068
1600133725,351.0048599,500,0.3422999978
1600133930,556.3056099,750,0.407400012
1600134076,701.8598599,1000,0.493900001
1600134282,907.42994,1250,0.5042999983
1600134427,1052.7907,1500,0.5382999778
1600134632,1258.23766,1750,0.4963000119
1600134778,1403.70315,2000,0.5533000231
1600134983,1609.09098,2250,0.5091000199
1600135129,1754.37566,2500,0.5388000011
1600135334,1960.02748,2750,0.5205000043
1600135480,2105.58357,3000,0.5606999993
1600135686,2311.34743,3250,0.5440999866
1600135831,2457.08233,3500,0.530099988
1600136037,2662.85896,3750,0.5501999855
1600136183,2808.73408,4000,0.5529000163
1600136388,3014.18702,4250,0.5558000207
1600136534,3159.59576,4500,0.5067999959
1600136740,3365.54349,4750,0.549399972
1600136885,3510.98468,5000,0.5253000259
1600137091,3716.47218,5250,0.5504000187
1600137236,3861.97477,5500,0.5346000195
1600137442,4067.62253,5750,0.5522999763
1600137587,4213.04757,6000,0.5501000285
1600137793,4418.51994,6250,0.5536000133
1600137998,4624.06001,6500,0.549300015
1600138144,4769.36355,6750,0.565599978
1600138349,4974.96455,7000,0.5995000005
1600138494,5120.33619,7250,0.5630999804
1600138700,5325.968,7500,0.5975999832
1600138846,5471.35416,7750,0.5802999735
1600139051,5677.18145,8000,0.5654000044
1600139197,5822.67991,8250,0.7342000008
1600139402,6028.22848,8500,0.7355999947
1600139548,6173.76248,8750,0.7371000051
1600139754,6379.36445,9000,0.7394000292
1600139899,6524.83331,9250,0.7412999868
1600140105,6730.59173,9500,0.7418000102
1600140250,6875.86575,9750,0.7418000102
1600140455,7081.21582,10000,0.7404999733
1600140601,7226.68501,10250,0.7404000163
1600140806,7432.25746,10500,0.7440999746
1600140952,7577.92532,10750,0.7432000041
1600141158,7783.63877,11000,0.7440000176
1600141303,7929.25873,11250,0.7455000281
1600141509,8135.05579,11500,0.7430999875
1600141655,8280.43922,11750,0.7440999746
1600141860,8486.0631,12000,0.744599998
1600142006,8631.36465,12250,0.7458000183
1600142211,8837.09229,12500,0.7461000085
1600142357,8982.43713,12750,0.7470999956
1600142562,9188.21452,13000,0.7475000024
1600142708,9333.76791,13250,0.7466999888
1600142914,9539.47735,13500,0.746999979
1600143059,9684.76963,13750,0.7475000024
1600143265,9890.47759,14000,0.7472000122
1600143410,10035.72137,14250,0.746999979
1600143616,10241.57529,14500,0.746999979
1600143822,10448.30965,14750,0.7459999919
1600143968,10593.91644,15000,0.747600019
1600144114,10739.83601,15250,0.7463999987
1600144320,10945.39742,15500,0.7479000092
1600144465,11091.26401,15750,0.7483000159
1600144671,11296.97794,16000,0.7487000227
