Wall time,Time,Step,Value
1600188709,0,1,7.000664711
1600188776,66.7640202,101,4.327987194
1600188841,132.53755,201,3.496070623
1600188918,209.7237201,301,3.13513875
1600188984,275.2966101,401,2.801998377
1600189064,355.6991301,501,2.393743038
1600189130,421.25983,601,2.055608273
1600189195,486.7178102,701,1.894858241
1600189273,564.1562202,801,1.657722831
1600189338,629.5327601,901,1.591592669
1600189419,709.8919101,1001,1.384936213
1600189484,775.2667701,1101,1.301842332
1600189550,840.8241301,1201,1.131577969
1600189625,916.7452302,1301,1.068783522
1600189691,982.29443,1401,0.9961438179
1600189766,1057.49041,1501,1.000426769
1600189832,1122.87518,1601,0.9563779831
1600189897,1188.11979,1701,0.8694483042
1600189972,1263.43962,1801,0.9071112871
1600190037,1328.63943,1901,0.870152235
1600190114,1405.74326,2001,0.817343235
1600190180,1470.96432,2101,0.8148705959
1600190245,1536.43393,2201,0.8084611893
1600190321,1611.85198,2301,0.6628861427
1600190386,1677.48138,2401,0.59169209
1600190467,1757.84242,2501,0.718878448
1600190532,1823.42345,2601,0.5700290203
1600190597,1888.66209,2701,0.6981467009
1600190673,1964.31032,2801,0.5413070917
1600190738,2029.53195,2901,0.6337388754
1600190816,2106.9533,3001,0.5212354064
1600190881,2172.26666,3101,0.5122157335
1600190947,2237.9502,3201,0.6223685741
1600191024,2315.15851,3301,0.5187100768
1600191089,2380.42425,3401,0.586823225
1600191167,2457.86742,3501,0.497033
1600191232,2523.25437,3601,0.597330153
1600191297,2588.46927,3701,0.5113331079
1600191378,2669.13246,3801,0.4591032565
1600191443,2734.52002,3901,0.5249865651
1600191523,2813.9563,4001,0.5130129457
1600191588,2879.28361,4101,0.5950101614
1600191654,2944.86854,4201,0.3904462457
1600191731,3022.55314,4301,0.4148491323
1600191797,3088.21147,4401,0.5239346027
1600191876,3166.85,4501,0.5344752073
1600191941,3232.20355,4601,0.4917075038
1600192006,3297.36206,4701,0.3675488234
1600192086,3377.13123,4801,0.4730547667
1600192151,3442.73405,4901,0.4482616782
1600192229,3520.07143,5001,0.4223245382
1600192294,3585.16441,5101,0.475143224
1600192360,3650.81503,5201,0.4298383892
1600192439,3730.34492,5301,0.4770554304
1600192505,3796.07111,5401,0.4498907328
1600192596,3887.55516,5501,0.4554128051
1600192662,3953.205,5601,0.4681613743
1600192727,4018.53114,5701,0.4505762756
1600192806,4097.51475,5801,0.3791274428
1600192872,4162.7804,5901,0.4951809645
1600192948,4238.99309,6001,0.5010866523
1600193013,4304.37879,6101,0.4722714722
1600193079,4369.87002,6201,0.4333072901
1600193169,4459.83336,6301,0.4232580662
1600193234,4525.29907,6401,0.3919424117
1600193313,4603.95169,6501,0.3876484036
1600193378,4669.71124,6601,0.4078653157
1600193444,4735.07189,6701,0.436330229
1600193525,4815.8856,6801,0.4136552811
1600193590,4881.25288,6901,0.401735723
1600193670,4961.07858,7001,0.4412512481
1600193735,5026.38261,7101,0.49481076
1600193801,5091.88857,7201,0.5059478283
1600193880,5171.0114,7301,0.4249633551
1600193946,5236.84349,7401,0.4589722157
1600194024,5315.63256,7501,0.4365492463
1600194090,5381.46834,7601,0.4272372723
1600194156,5446.9163,7701,0.4834233522
1600194233,5524.08879,7801,0.4024078846
1600194298,5589.44874,7901,0.3769858479
1600194380,5670.91584,8001,0.4152085483
1600194445,5736.38184,8101,0.1529686302
1600194511,5802.08913,8201,0.08207058161
1600194589,5880.51614,8301,0.05527053028
1600194655,5946.27232,8401,0.0516410321
1600194733,6024.67798,8501,0.06031263992
1600194799,6090.42248,8601,0.03834501281
1600194865,6155.85602,8701,0.03737415373
1600194946,6236.8771,8801,0.02363923565
1600195011,6302.66756,8901,0.02012644894
1600195089,6380.68893,9001,0.02704938874
1600195155,6446.2088,9101,0.01523190644
1600195221,6512.03071,9201,0.01717007719
1600195299,6589.91261,9301,0.02939305082
1600195364,6655.43922,9401,0.02120988443
1600195441,6732.61076,9501,0.01859386824
1600195507,6798.33116,9601,0.01297442056
1600195573,6863.82681,9701,0.01278574951
1600195650,6941.54384,9801,0.009948955849
1600195716,7006.98398,9901,0.02361287549
1600195796,7086.94256,10001,0.01617506891
1600195861,7152.53505,10101,0.01031064056
1600195927,7218.13635,10201,0.01395698264
1600196009,7300.59349,10301,0.008461972699
1600196075,7366.4883,10401,0.01323501579
1600196154,7444.90374,10501,0.009508245625
1600196219,7510.5337,10601,0.007990531623
1600196285,7575.95332,10701,0.01124188211
1600196362,7653.17198,10801,0.009667288512
1600196427,7718.57433,10901,0.005569790956
1600196504,7795.4672,11001,0.01121388376
1600196570,7860.87678,11101,0.009473141283
1600196635,7926.50238,11201,0.01768983342
1600196713,8004.69177,11301,0.007162614726
1600196779,8070.57501,11401,0.007073380984
1600196854,8144.8163,11501,0.007222848013
1600196919,8210.58494,11601,0.006550544873
1600196985,8276.1041,11701,0.0068428698
