Wall time,Time,Step,Value
1590076893,0,91,8.702629089
1590076899,6.250329971,223,2.362660885
1590076904,10.37538981,337,2.311443806
1590076907,13.94931984,450,2.181061268
1590076911,17.32588005,564,2.096706629
1590076913,20.16615987,679,1.871199846
1590076916,23.21110988,800,1.900122166
1590076919,26.02560997,918,1.907021046
1590076922,28.87024999,1039,1.824462771
1590076925,31.71859002,1157,1.981661677
1590076928,34.53568983,1277,1.947698355
1590076931,37.35058999,1396,1.823312759
1590076933,39.99720001,1505,1.918564796
1590076936,42.63240004,1618,1.788619757
1590076939,45.49038982,1738,1.77199018
1590076941,48.28332996,1857,1.648175359
1590076944,50.95692992,1970,1.789747596
1590076953,59.67660999,2299,1.786878228
1590076956,62.52847004,2419,1.691254139
1590076959,65.33796,2539,1.566123247
1590076961,68.01302004,2652,1.644789457
1590076964,70.84824991,2771,1.743285656
1590076967,73.52998996,2885,1.63169241
1590076970,76.3299799,3004,1.857002735
1590076972,79.16612983,3124,1.654672742
1590076975,82.03354001,3243,1.656556964
1590076978,84.86141992,3363,1.84715867
1590076981,87.66866994,3482,1.674419761
1590076984,90.49759984,3600,1.507677555
1590076986,93.15475988,3714,1.493444562
1590076989,95.97377992,3833,1.46283102
1590076992,98.80667996,3951,1.58108449
1590077004,111.2486398,4422,1.243934631
1590077007,114.0915098,4542,1.51024437
1590077010,116.93448,4661,1.441306949
1590077013,119.6160898,4774,1.501921892
1590077015,122.2846,4887,1.442684174
1590077018,124.9742799,5000,1.265897751
1590077021,127.6793098,5114,1.683366537
1590077024,130.3789599,5229,1.401924849
1590077026,133.2399499,5349,1.260726929
1590077029,136.07565,5468,1.481671333
1590077032,138.73999,5581,1.306509376
1590077035,141.6015198,5700,1.235062242
1590077038,144.45242,5820,1.283720732
1590077040,147.28321,5940,1.176594734
1590077052,158.4388599,6366,1.060339808
1590077054,161.29017,6486,1.059202909
1590077057,164.1463299,6605,1.037784815
1590077060,167.0009699,6724,1.094455957
1590077063,169.8302999,6843,1.125077724
