Wall time,Time,Step,Value
1590076893,0,91,0.2441616207
1590076899,6.250329971,223,0.287494719
1590076904,10.37538981,337,0.2848967016
1590076907,13.94931984,450,0.2824105024
1590076911,17.32588005,564,0.280446142
1590076913,20.16615987,679,0.2784967124
1590076916,23.21110988,800,0.2763744295
1590076919,26.02560997,918,0.2744221985
1590076922,28.87024999,1039,0.2725947797
1590076925,31.71859002,1157,0.2706961036
1590076928,34.53568983,1277,0.2687849998
1590076931,37.35058999,1396,0.2669964433
1590076933,39.99720001,1505,0.2653445601
1590076936,42.63240004,1618,0.2637919486
1590076939,45.49038982,1738,0.2620305717
1590076941,48.28332996,1857,0.2604211569
1590076944,50.95692992,1970,0.258800149
1590076953,59.67660999,2299,0.2545264959
1590076956,62.52847004,2419,0.2530805171
1590076959,65.33796,2539,0.2516769767
1590076961,68.01302004,2652,0.2504267395
1590076964,70.84824991,2771,0.2491237521
1590076967,73.52998996,2885,0.2480745316
1590076970,76.3299799,3004,0.2467593998
1590076972,79.16612983,3124,0.2454794794
1590076975,82.03354001,3243,0.2442260385
1590076978,84.86141992,3363,0.2430071533
1590076981,87.66866994,3482,0.2418529242
1590076984,90.49759984,3600,0.2407335639
1590076986,93.15475988,3714,0.2397873998
1590076989,95.97377992,3833,0.2386720181
1590076992,98.80667996,3951,0.237563476
1590077004,111.2486398,4422,0.2337485254
1590077007,114.0915098,4542,0.2330620736
1590077010,116.93448,4661,0.2322029471
1590077013,119.6160898,4774,0.2314288318
1590077015,122.2846,4887,0.2307430059
1590077018,124.9742799,5000,0.2300590724
1590077021,127.6793098,5114,0.2293804586
1590077024,130.3789599,5229,0.2287699878
1590077026,133.2399499,5349,0.2281912714
1590077029,136.07565,5468,0.2276098132
1590077032,138.73999,5581,0.2270307243
1590077035,141.6015198,5700,0.2265329808
1590077038,144.45242,5820,0.2261738032
1590077040,147.28321,5940,0.2255434096
1590077052,158.4388599,6366,0.223381564
1590077054,161.29017,6486,0.2229831219
1590077057,164.1463299,6605,0.2223981619
1590077060,167.0009699,6724,0.221971482
1590077063,169.8302999,6843,0.2214942873
1590077066,172.6714199,6963,0.2210346907
1590077069,175.50425,7084,0.2206545174
1590077072,178.3519099,7202,0.2202131003
1590077074,181.1687698,7322,0.2198310792
1590077077,184.01983,7443,0.2193779796
1590077080,186.8740299,7563,0.2190829962
1590077083,189.73595,7683,0.2186596394
1590077086,192.4143,7794,0.2181336433
1590077088,195.10305,7907,0.2180305123
1590077091,197.7547898,8019,0.2176927924
1590077101,208.02597,8404,0.2159493119
1590077104,210.7042499,8516,0.215646252
1590077107,213.37026,8628,0.2154191285
1590077109,216.1591699,8747,0.2152207643
1590077112,218.9983799,8866,0.2150163949
1590077115,221.6580799,8979,0.2147006094
1590077118,224.5016499,9099,0.2143249214
1590077121,227.34464,9218,0.2139595449
1590077123,230.0162799,9331,0.2135576904
1590077126,232.89957,9452,0.213070333
1590077129,235.7321301,9571,0.2125591934
1590077132,238.5639899,9689,0.2121949643
1590077135,241.39621,9809,0.2118976712
1590077137,244.22405,9929,0.2116461843
1590077140,247.07882,10049,0.2112152278
1590077149,256.1449699,10389,0.2098686993
1590077152,258.8694201,10503,0.2094845921
1590077155,261.6911099,10622,0.2091941386
1590077158,264.5127399,10742,0.2088996023
1590077161,267.3590999,10861,0.2084989399
1590077163,270.19824,10981,0.2083039433
1590077166,273.0213599,11101,0.2079675794
1590077169,275.7102399,11215,0.2075103521
1590077172,278.5937099,11333,0.2071257234
1590077175,281.43467,11452,0.2067139596
1590077177,284.2453299,11573,0.2063503563
1590077180,287.0950699,11691,0.2060582489
1590077183,289.7795999,11805,0.2059158832
1590077186,292.4467199,11917,0.2056425661
1590077188,295.28141,12037,0.2052315176
1590077197,303.6732399,12354,0.2039043903
1590077200,306.3677199,12467,0.2033726126
1590077202,309.07287,12582,0.2030147761
1590077205,311.9302499,12699,0.2026738971
1590077208,314.7718599,12819,0.2023611963
1590077211,317.6213999,12940,0.2020972669
1590077214,320.4509299,13058,0.2018629014
1590077216,323.14101,13173,0.2015932798
1590077219,325.9879398,13292,0.2015046775
1590077222,328.6742799,13405,0.2014600784
1590077225,331.5060599,13525,0.2011075169
1590077228,334.3371599,13645,0.2006774694
1590077230,337.1746199,13763,0.2003908604
