Wall time,Time,Step,Value
1590042909,0,0,0.1124000028
1590043220,311.0234101,250,0.4566000104
1590043592,682.93729,500,0.7817000151
1590043903,993.8856101,750,0.826300025
1590044214,1305.01688,1000,0.8568000197
1590044585,1676.21217,1250,0.8723999858
1590044896,1987.35303,1500,0.8682000041
1590045208,2298.60616,1750,0.8658999801
1590045579,2670.00254,2000,0.8799999952
1590045891,2981.75888,2250,0.8874999881
1590046202,3293.00548,2500,0.8776000142
1590046574,3664.77237,2750,0.8880000114
1590046885,3976.08729,3000,0.8863999844
1590047196,4287.05023,3250,0.8899999857
1590047568,4658.38492,3500,0.8944000006
1590047879,4969.62742,3750,0.8938000202
1590048190,5281.29343,4000,0.8925999999
1590048562,5652.80668,4250,0.9174000025
1590048874,5964.48614,4500,0.918900013
1590049185,6275.70388,4750,0.9192000031
1590049556,6647.2347,5000,0.9186999798
1590049868,6958.72609,5250,0.9200000167
1590050239,7330.04202,5500,0.9185000062
1590050550,7641.29288,5750,0.9187999964
1590050862,7952.66489,6000,0.9185000062
1590051233,8324.27332,6250,0.9186000228
1590051545,8635.46092,6500,0.9185000062
1590051856,8946.95942,6750,0.9187999964
1590052227,9318.33168,7000,0.9186000228
1590052539,9629.58536,7250,0.918900013
1590052850,9940.87369,7500,0.9186999798
1590053221,10312.19876,7750,0.9192000031
1590053533,10623.40952,8000,0.9187999964
