Wall time,Time,Step,Value
1590042853,0,1,3.510947943
1590042998,145.17362,101,2.090691805
1590043125,271.8113399,201,1.520427227
1590043262,409.40889,301,1.206064701
1590043389,536.2971399,401,0.7606283426
1590043530,676.7925699,501,0.3991324902
1590043657,804.13761,601,0.2360283732
1590043784,931.36993,701,0.1656202972
1590043925,1071.85515,801,0.1052477881
1590044052,1199.10659,901,0.09399473667
1590044191,1337.9106,1001,0.07270628214
1590044318,1465.04789,1101,0.0707501471
1590044445,1592.54205,1201,0.05744909123
1590044587,1733.80988,1301,0.03212216869
1590044714,1860.96219,1401,0.0245590508
1590044854,2000.96957,1501,0.0209174566
1590044982,2128.67632,1601,0.03122307174
1590045109,2256.27583,1701,0.03364187479
1590045252,2399.17494,1801,0.02837760374
1590045379,2526.50429,1901,0.03281265497
1590045519,2666.30311,2001,0.0322657153
1590045647,2793.82796,2101,0.02385383844
1590045774,2921.09823,2201,0.02430414781
1590045918,3064.83663,2301,0.02757141553
1590046045,3192.18071,2401,0.02395439148
1590046185,3331.68268,2501,0.03177871555
1590046312,3458.8746,2601,0.02780234814
1590046439,3586.3092,2701,0.02614844032
1590046581,3727.75521,2801,0.03158323094
1590046708,3855.08031,2901,0.02621378377
1590046848,3995.39539,3001,0.02197996713
1590046976,4122.82186,3101,0.02168497629
1590047103,4250.44537,3201,0.0300101731
1590047246,4393.4661,3301,0.01833972335
1590047374,4520.98335,3401,0.02478256077
1590047515,4662.39627,3501,0.02338719741
1590047643,4789.74204,3601,0.02064438537
1590047770,4916.94355,3701,0.02212428674
1590047910,5057.08519,3801,0.02162986994
1590048037,5184.45681,3901,0.02620036155
1590048176,5323.05279,4001,0.01901705191
1590048303,5450.32955,4101,0.001138702151
1590048431,5577.96296,4201,0.0009012891096
1590048572,5718.62991,4301,0.0008108779439
1590048699,5846.14164,4401,0.0003479103325
1590048839,5985.80864,4501,0.000489873928
1590048966,6113.52049,4601,0.0002986222389
1590049094,6241.3354,4701,0.0004214317887
1590049238,6385.22778,4801,0.000311272539
1590049366,6512.89013,4901,0.000314003526
1590049505,6652.4766,5001,0.0002731117129
1590049633,6779.98252,5101,0.0002675075084
1590049761,6907.5811,5201,0.0003438938875
1590049906,7053.10111,5301,0.0002302143403
1590050034,7180.57174,5401,0.0003075936693
1590050176,7323.4521,5501,0.0002342670923
1590050304,7450.77358,5601,0.0002800320217
1590050431,7578.10422,5701,0.0002432568435
1590050572,7719.09457,5801,0.0002862486872
1590050700,7846.59832,5901,0.0002989878121
1590050842,7989.11522,6001,0.0002944899607
1590050970,8116.57646,6101,0.0003100685717
1590051097,8243.99672,6201,0.0002923044085
1590051237,8383.98606,6301,0.0002692407288
1590051364,8511.27312,6401,0.0002731169807
1590051504,8651.20594,6501,0.0002535367385
1590051632,8778.67936,6601,0.000301326625
1590051759,8906.01022,6701,0.0002446668223
1590051901,9048.29979,6801,0.0002740849159
1590052029,9175.81858,6901,0.0002873516642
1590052172,9319.41958,7001,0.0002935125958
1590052301,9448.1744,7101,0.0002554794482
1590052429,9575.70873,7201,0.0003158686159
1590052570,9717.03601,7301,0.00029511092
1590052697,9844.42404,7401,0.0002548078191
1590052840,9987.02404,7501,0.000230603182
1590052967,10114.553,7601,0.0003015808761
1590053095,10241.73406,7701,0.0002593581739
1590053234,10380.69536,7801,0.0002725440718
1590053361,10508.2452,7901,0.000267141615
