Wall time,Step,Value
1576555994.385989,0,0.10000000149011612
1576556063.463207,783,0.26600000262260437
1576556132.542406,1566,0.3537999987602234
1576556148.835162,2350,0.3862000107765198
1576556217.750294,3133,0.4041000008583069
1576556286.688601,3917,0.461899995803833
1576556355.733395,4699,0.5519999861717224
1576556424.949358,5482,0.5823000073432922
1576556494.172504,6266,0.6327999830245972
1576556502.807695,7050,0.6884999871253967
1576556573.462816,7833,0.6990000009536743
1576556642.540598,8614,0.6650999784469604
1576556711.521032,9398,0.7368000149726868
1576556780.354225,10180,0.691100001335144
1576556849.148325,10964,0.7196999788284302
1576556918.257228,11746,0.7559000253677368
1576556927.319232,12528,0.7736999988555908
1576556996.211283,13312,0.7753999829292297
1576557065.596795,14094,0.816100001335144
1576557134.632059,14877,0.807200014591217
1576557203.404236,15661,0.8194000124931335
1576557272.225685,16444,0.8138999938964844
1576557340.990751,17227,0.8075000047683716
1576557349.842717,18011,0.8235999941825867
1576557418.689167,18794,0.828499972820282
1576557487.729739,19574,0.8393999934196472
1576557556.539194,20358,0.7321000099182129
1576557625.541243,21142,0.8406000137329102
1576557694.345569,21926,0.8421000242233276
1576557763.122337,23402,0.8302000164985657
