Wall time,Step,Value
1576213428.83106,115,9.209260940551758
1576213436.285568,218,13.817124366760254
1576213443.901953,318,13.129515647888184
1576213451.313639,421,13.897032737731934
1576213463.117963,558,11.605914115905762
1576213470.448579,658,13.641433715820312
1576213477.867301,761,13.883901596069336
1576213485.353243,864,13.759156227111816
1576213492.765523,966,13.760767936706543
1576213501.91701,1068,11.145732879638672
1576213509.62345,1172,13.495231628417969
1576213517.052116,1274,13.73069953918457
1576213524.482326,1376,13.72761344909668
1576213531.943277,1479,13.805270195007324
1576213541.222666,1582,11.099806785583496
1576213548.708533,1685,13.759257316589355
1576213556.175511,1788,13.794198989868164
1576213563.641884,1890,13.661172866821289
1576213570.948372,1990,13.686573028564453
1576213580.121777,2091,11.010007858276367
1576213587.626699,2195,13.857600212097168
1576213595.064829,2297,13.71310806274414
1576213602.556207,2400,13.749174118041992
1576213610.064548,2503,13.718050003051758
1576213619.168622,2606,11.313587188720703
1576213626.762607,2710,13.695110321044922
1576213634.269874,2812,13.586793899536133
1576213641.753488,2914,13.629791259765625
1576213649.019106,3014,13.763410568237305
1576213658.018372,3117,11.445432662963867
1576213665.487687,3219,13.655908584594727
1576213673.019826,3322,13.674625396728516
1576213680.53026,3426,13.84740161895752
1576213692.793431,3571,11.8240385055542
1576213700.378166,3675,13.711849212646484
1576213707.924426,3778,13.649038314819336
1576213715.408752,3881,13.762116432189941
1576213722.896157,3983,13.622851371765137
1576213732.14593,4087,11.24350357055664
1576213739.58023,4189,13.720248222351074
1576213747.033017,4292,13.820329666137695
1576213754.644303,4395,13.5326509475708
1576213762.133259,4498,13.753432273864746
1576213771.316369,4601,11.21626091003418
1576213778.745223,4704,13.864931106567383
1576213786.229274,4807,13.762528419494629
1576213793.677076,4909,13.6953763961792
