Wall time,Time,Progress,Step,Value
1588298433,0,0,0,0.1
1588298504,71,0.01580928874,1012,0.20460001
1588298514,81,0.03194663584,2045,0.27219999
1588298584,151,0.06315904582,4043,0.3256
1588298595,162,0.07890584725,5051,0.3926
1588298665,232,0.1104150719,7068,0.44150001
1588298675,242,0.1261306297,8074,0.40310001
1588298745,312,0.1579679128,10112,0.46869999
1588298755,322,0.1734491431,11103,0.56230003
1588298826,393,0.2050833424,13128,0.62169999
1588298836,403,0.2210800931,14152,0.68580002
1588298906,473,0.2522925031,16150,0.71780002
1588298916,483,0.2681174137,17163,0.73250002
1588298986,553,0.2999390749,19200,0.73879999
1588298997,564,0.3154984144,20196,0.75300002
1588299067,634,0.3470545046,22216,0.78909999
1588299077,644,0.3628637933,23228,0.82920003
1588299148,715,0.3944198835,25248,0.82779998
1588299158,725,0.4108540453,26300,0.80360001
1588299229,796,0.4416915314,28274,0.81150001
1588299239,806,0.4582975333,29337,0.82999998
1588299309,876,0.4893693469,31326,0.83060002
1588299319,886,0.5048818209,32319,0.8858
1588299389,956,0.5364847765,34342,0.89240003
1588299399,966,0.5522003343,35348,0.89069998
1588299470,1037,0.5837720463,37369,0.8915
1588299480,1047,0.5994407386,38372,0.89289999
1588299550,1117,0.6310749379,40397,0.89179999
1588299620,1187,0.678424695,43428,0.89139998
1588299691,1258,0.7098558105,45440,0.89240003
1588299701,1268,0.7257119648,46455,0.89289999
1588299772,1339,0.7575180042,48491,0.89279997
1588299782,1349,0.7730617218,49486,0.89300001
1588299852,1419,0.8048208958,51519,0.89319998
1588299863,1430,0.82067705,52534,0.89310002
1588299933,1500,0.8519207036,54534,0.89130002
1588299943,1510,0.8677456142,55547,0.89380002
1588300014,1581,0.900145283,57621,0.89179999
1588300024,1591,0.9150953713,58578,0.8926
1588300094,1661,0.9466983269,60601,0.89139998
1588300104,1671,0.962382641,61605,0.8926
1588300175,1742,1,64013,0.89240003
