Wall time,Time,Progress,Step,Value,
1588298433,0,0,0,0.1,
1588298504,71,0.01580928874,1012,0.20460001,0.10460001
1588298514,81,0.03194663584,2045,0.27219999,0.06759998
1588298584,151,0.06315904582,4043,0.3256,0.05340001
1588298595,162,0.07890584725,5051,0.3926,0.067
1588298665,232,0.1104150719,7068,0.44150001,0.04890001
1588298675,242,0.1261306297,8074,0.40310001,-0.0384
1588298745,312,0.1579679128,10112,0.46869999,0.06559998
1588298755,322,0.1734491431,11103,0.56230003,0.09360004
1588298826,393,0.2050833424,13128,0.62169999,0.05939996
1588298836,403,0.2210800931,14152,0.68580002,0.06410003
1588298906,473,0.2522925031,16150,0.71780002,0.032
1588298916,483,0.2681174137,17163,0.73250002,0.0147
1588298986,553,0.2999390749,19200,0.73879999,0.00629997
1588298997,564,0.3154984144,20196,0.75300002,0.01420003
1588299067,634,0.3470545046,22216,0.78909999,0.03609997
1588299077,644,0.3628637933,23228,0.82920003,0.04010004
1588299148,715,0.3944198835,25248,0.82779998,-0.00140005
1588299158,725,0.4108540453,26300,0.80360001,-0.02419997
1588299229,796,0.4416915314,28274,0.81150001,0.0079
1588299239,806,0.4582975333,29337,0.82999998,0.01849997
1588299309,876,0.4893693469,31326,0.83060002,0.00060004
1588299319,886,0.5048818209,32319,0.8858,0.05519998
1588299389,956,0.5364847765,34342,0.89240003,0.00660003
1588299399,966,0.5522003343,35348,0.89069998,-0.00170005
1588299470,1037,0.5837720463,37369,0.8915,0.00080002
1588299480,1047,0.5994407386,38372,0.89289999,0.00139999
1588299550,1117,0.6310749379,40397,0.89179999,-0.0011
1588299620,1187,0.678424695,43428,0.89139998,-0.00040001
1588299691,1258,0.7098558105,45440,0.89240003,0.00100005
