Wall time,Time,Progress,Step,Norm loss,Value
1588298420,0,0.0002673124096,17,1,2.98378992
1588298430,10,0.002122775017,135,0.7820628035,2.33351111
1588298436,16,0.003836719291,244,0.8004661166,2.38842273
1588298440,20,0.005566387823,354,0.7161183251,2.13674664
1588298445,25,0.007296056356,464,0.7416319511,2.21287394
1588298449,29,0.009057173407,576,0.676842812,2.01955676
1588298453,33,0.0108811875,692,0.7523111212,2.24473834
1588298456,36,0.01265802881,805,0.7142522353,2.13117862
1588298459,39,0.01445059438,919,0.6766269892,2.01891279
1588298469,49,0.02006415498,1276,0.663855517,1.9808054
1588298472,52,0.02188816907,1392,0.6556049663,1.95618749
1588298475,55,0.02368073464,1506,0.6627976577,1.97764897
1588298478,58,0.02545757595,1619,0.6292040024,1.87741256
1588298481,61,0.02723441726,1732,0.6161398387,1.83843184
1588298484,64,0.02912132839,1852,0.6568544745,1.95991576
1588298487,67,0.03100823951,1972,0.678875187,2.02562094
1588298496,76,0.03616579659,2300,0.6068119735,1.81059945
1588298499,79,0.03805270772,2420,0.6183737292,1.8450973
1588298502,82,0.03993961884,2540,0.6407640823,1.91190541
1588298505,85,0.04176363293,2656,0.5710884163,1.70400786
1588298508,88,0.04352474998,2768,0.596216422,1.77898455
1588298511,91,0.04531731555,2882,0.6079884471,1.8141098
1588298514,94,0.04721995094,3003,0.6514229561,1.94370925
1588298526,106,0.05354110321,3405,0.5750210021,1.71574187
1588298529,109,0.05542801434,3525,0.5883215263,1.75542784
1588298532,112,0.05720485565,3638,0.6165924979,1.83978248
1588298535,115,0.05902886974,3754,0.6002364603,1.7909795
1588298538,118,0.06080571105,3867,0.5754502515,1.71702266
1588298540,120,0.06261400088,3982,0.5959997211,1.77833796
1588298549,129,0.06756714259,4297,0.5676774087,1.69383013
1588298552,132,0.06935970816,4411,0.5195956088,1.55036414
1588298555,135,0.07118372225,4527,0.5672384134,1.69252026
1588298558,138,0.0730234606,4644,0.5374343513,1.6035912
1588298561,141,0.07483175042,4759,0.5314229696,1.5856545
1588298564,144,0.07671866155,4879,0.5607214733,1.67307508
1588298567,147,0.07858984842,4998,0.5544683387,1.65441704
1588298577,157,0.08385747531,5333,0.5642253695,1.68352997
1588298580,160,0.08574438644,5453,0.5654066389,1.68705463
1588298583,163,0.08752122775,5566,0.4896104013,1.46089458
1588298586,166,0.08934524184,5682,0.4909763721,1.46497035
1588298589,169,0.09115353167,5797,0.5587021622,1.66704988
1588298592,172,0.09291464872,5909,0.5188343153,1.5480926
1588298595,175,0.09473866281,6025,0.4867824977,1.45245671
1588298603,183,0.09945594063,6325,0.5568603637,1.66155434
1588298607,187,0.1013428518,6445,0.5145329702,1.53525829
1588298609,189,0.1031196931,6558,0.5328004828,1.58976471
1588298612,192,0.1049122586,6672,0.5246071848,1.56531763
1588298615,195,0.1067991698,6792,0.5257371169,1.56868911
1588298618,198,0.1086546324,6910,0.5972923355,1.78219485
1588298621,201,0.1104471979,7024,0.5311415859,1.58481491
1588298631,211,0.1154475124,7342,0.4497394006,1.34192789
1588298633,213,0.117240078,7456,0.4975313476,1.48452902
1588298637,217,0.1191427134,7577,0.4601801758,1.37308097
1588298640,220,0.1209195547,7690,0.4810539376,1.43536389
1588298643,223,0.1228064658,7810,0.4892655345,1.45986557
1588298646,226,0.1245833071,7923,0.4574356931,1.36489201
1588298648,228,0.1263444242,8035,0.5067946875,1.51216888
1588298657,237,0.131124599,8339,0.5296329039,1.58031332
1588298660,240,0.1329486131,8455,0.4156373482,1.24017453
1588298663,243,0.1348198,8574,0.4713822815,1.4065057
1588298666,246,0.1367067111,8694,0.4895463585,1.46070349
1588298669,249,0.138577898,8813,0.4051553804,1.20889854
1588298672,252,0.1403704636,8927,0.4816495459,1.43714106
1588298675,255,0.1421473049,9040,0.4422229733,1.31950045
1588298688,268,0.1489559092,9473,0.3976549763,1.18651891
1588298690,270,0.1507170262,9585,0.4602613176,1.37332308
1588298693,273,0.1525095918,9699,0.4029836558,1.20241857
1588298696,276,0.1543493301,9816,0.4503380452,1.34371412
1588298700,280,0.1562519655,9937,0.4694590999,1.40076733
1588298703,283,0.1581546009,10058,0.4444970978,1.32628596
1588298713,293,0.164098371,10436,0.386615114,1.15357828
1588298717,297,0.1660010064,10557,0.4505527889,1.34435487
1588298719,299,0.1677621234,10669,0.3604911803,1.07562995
1588298722,302,0.1695861375,10785,0.4219673917,1.25906205
1588298725,305,0.1713629788,10898,0.538140708,1.60569882
1588298728,308,0.1731555444,11012,0.4294498186,1.28138804
1588298739,319,0.1789735203,11382,0.2831462109,0.84484881
1588298742,322,0.1808132587,11499,0.3559390937,1.06204748
1588298745,325,0.1825429272,11609,0.3558671014,1.06183267
1588298748,328,0.1843669413,11725,0.3473785949,1.03650475
1588298751,331,0.1861437826,11838,0.3413138349,1.01840878
1588298753,333,0.1879520725,11953,0.3572233195,1.06587934
1588298757,337,0.1898389836,12073,0.3357527128,1.00181556
1588298770,350,0.1972765583,12546,0.2794348605,0.83377492
1588298773,353,0.1991634694,12666,0.3265546523,0.97437048
1588298776,356,0.2010661048,12787,0.3489528747,1.04120207
1588298779,359,0.2029372917,12906,0.4380764414,1.30712807
1588298782,362,0.2048084785,13025,0.3303224746,0.98561287
1588298793,373,0.2107050758,13400,0.3050871792,0.91031605
1588298796,376,0.2125605384,13518,0.2766613341,0.8254993
1588298799,379,0.2144631738,13639,0.3238353791,0.96625674
1588298802,382,0.2163658092,13760,0.2301146992,0.68661392
1588298805,385,0.2181583747,13874,0.2555618192,0.76254278
1588298808,388,0.2199509403,13988,0.2876136769,0.85817879
1588298811,391,0.2218378514,14108,0.2762837439,0.82437265
1588298821,401,0.227325618,14457,0.1899546601,0.5667848
1588298824,404,0.2291968048,14576,0.3244632685,0.96813023
1588298827,407,0.2310679917,14695,0.2112958442,0.63046241
1588298830,410,0.2328605573,14809,0.2019389522,0.60254341
