Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588298420,0,0.0002673124096,17,1,2.98378992,0,0
1588298430,10,0.002122775017,135,0.7820628035,2.33351111,0.65027881,0.65027881
1588298436,16,0.003836719291,244,0.8004661166,2.38842273,-0.05491162,0.05491162
1588298440,20,0.005566387823,354,0.7161183251,2.13674664,0.25167609,0.25167609
1588298445,25,0.007296056356,464,0.7416319511,2.21287394,-0.0761273,0.0761273
1588298449,29,0.009057173407,576,0.676842812,2.01955676,0.19331718,0.19331718
1588298453,33,0.0108811875,692,0.7523111212,2.24473834,-0.22518158,0.22518158
1588298456,36,0.01265802881,805,0.7142522353,2.13117862,0.11355972,0.11355972
1588298459,39,0.01445059438,919,0.6766269892,2.01891279,0.11226583,0.11226583
1588298469,49,0.02006415498,1276,0.663855517,1.9808054,0.03810739,0.03810739
1588298472,52,0.02188816907,1392,0.6556049663,1.95618749,0.02461791,0.02461791
1588298475,55,0.02368073464,1506,0.6627976577,1.97764897,-0.02146148,0.02146148
1588298478,58,0.02545757595,1619,0.6292040024,1.87741256,0.10023641,0.10023641
1588298481,61,0.02723441726,1732,0.6161398387,1.83843184,0.03898072,0.03898072
1588298484,64,0.02912132839,1852,0.6568544745,1.95991576,-0.12148392,0.12148392
1588298487,67,0.03100823951,1972,0.678875187,2.02562094,-0.06570518,0.06570518
1588298496,76,0.03616579659,2300,0.6068119735,1.81059945,0.21502149,0.21502149
1588298499,79,0.03805270772,2420,0.6183737292,1.8450973,-0.03449785,0.03449785
1588298502,82,0.03993961884,2540,0.6407640823,1.91190541,-0.06680811,0.06680811
1588298505,85,0.04176363293,2656,0.5710884163,1.70400786,0.20789755,0.20789755
1588298508,88,0.04352474998,2768,0.596216422,1.77898455,-0.07497669,0.07497669
1588298511,91,0.04531731555,2882,0.6079884471,1.8141098,-0.03512525,0.03512525
1588298514,94,0.04721995094,3003,0.6514229561,1.94370925,-0.12959945,0.12959945
1588298526,106,0.05354110321,3405,0.5750210021,1.71574187,0.22796738,0.22796738
1588298529,109,0.05542801434,3525,0.5883215263,1.75542784,-0.03968597,0.03968597
1588298532,112,0.05720485565,3638,0.6165924979,1.83978248,-0.08435464,0.08435464
1588298535,115,0.05902886974,3754,0.6002364603,1.7909795,0.04880298,0.04880298
1588298538,118,0.06080571105,3867,0.5754502515,1.71702266,0.07395684,0.07395684
1588298540,120,0.06261400088,3982,0.5959997211,1.77833796,-0.0613153,0.0613153
1588298549,129,0.06756714259,4297,0.5676774087,1.69383013,0.08450783,0.08450783
1588298552,132,0.06935970816,4411,0.5195956088,1.55036414,0.14346599,0.14346599
1588298555,135,0.07118372225,4527,0.5672384134,1.69252026,-0.14215612,0.14215612
1588298558,138,0.0730234606,4644,0.5374343513,1.6035912,0.08892906,0.08892906
1588298561,141,0.07483175042,4759,0.5314229696,1.5856545,0.0179367,0.0179367
1588298564,144,0.07671866155,4879,0.5607214733,1.67307508,-0.08742058,0.08742058
1588298567,147,0.07858984842,4998,0.5544683387,1.65441704,0.01865804,0.01865804
1588298577,157,0.08385747531,5333,0.5642253695,1.68352997,-0.02911293,0.02911293
1588298580,160,0.08574438644,5453,0.5654066389,1.68705463,-0.00352466,0.00352466
1588298583,163,0.08752122775,5566,0.4896104013,1.46089458,0.22616005,0.22616005
1588298586,166,0.08934524184,5682,0.4909763721,1.46497035,-0.00407577,0.00407577
1588298589,169,0.09115353167,5797,0.5587021622,1.66704988,-0.20207953,0.20207953
1588298592,172,0.09291464872,5909,0.5188343153,1.5480926,0.11895728,0.11895728
1588298595,175,0.09473866281,6025,0.4867824977,1.45245671,0.09563589,0.09563589
1588298603,183,0.09945594063,6325,0.5568603637,1.66155434,-0.20909763,0.20909763
1588298607,187,0.1013428518,6445,0.5145329702,1.53525829,0.12629605,0.12629605
1588298609,189,0.1031196931,6558,0.5328004828,1.58976471,-0.05450642,0.05450642
1588298612,192,0.1049122586,6672,0.5246071848,1.56531763,0.02444708,0.02444708
1588298615,195,0.1067991698,6792,0.5257371169,1.56868911,-0.00337148,0.00337148
1588298618,198,0.1086546324,6910,0.5972923355,1.78219485,-0.21350574,0.21350574
1588298621,201,0.1104471979,7024,0.5311415859,1.58481491,0.19737994,0.19737994
1588298631,211,0.1154475124,7342,0.4497394006,1.34192789,0.24288702,0.24288702
1588298633,213,0.117240078,7456,0.4975313476,1.48452902,-0.14260113,0.14260113
1588298637,217,0.1191427134,7577,0.4601801758,1.37308097,0.11144805,0.11144805
1588298640,220,0.1209195547,7690,0.4810539376,1.43536389,-0.06228292,0.06228292
1588298643,223,0.1228064658,7810,0.4892655345,1.45986557,-0.02450168,0.02450168
1588298646,226,0.1245833071,7923,0.4574356931,1.36489201,0.09497356,0.09497356
1588298648,228,0.1263444242,8035,0.5067946875,1.51216888,-0.14727687,0.14727687
