Wall time,Time,Step,Value
1590078675,0,1,0.1009000018
1590078745,70.51926994,2019,0.2964000106
1590078755,80.44056988,4033,0.3831999898
1590078826,151.10145,6052,0.5040000081
1590078897,221.8090599,8055,0.5221999884
1590078907,232.01578,10109,0.6103000045
1590078977,302.25488,12131,0.690500021
1590079048,372.90605,14080,0.6783999801
1590079058,383.3613598,16092,0.7749999762
1590079129,453.7088399,18100,0.7814000249
1590079199,524.11007,22124,0.7900999784
1590079269,594.60567,24130,0.8097000122
1590079341,665.9883499,26223,0.8015000224
1590079351,676.2645299,28152,0.8303999901
1590079422,746.7228,30156,0.8156999946
1590079492,816.9416399,34277,0.8830000162
1590079562,887.2649899,36193,0.882799983
1590079633,957.6386299,38202,0.8866000175
1590079643,967.9632299,40270,0.8852999806
1590079713,1038.3962,42288,0.8830999732
1590079783,1108.5611,46368,0.8817999959
1590079854,1179.05413,48418,0.8835999966
1590079924,1249.45503,50256,0.8859999776
1590079934,1259.37475,52371,0.8851000071
1590080005,1329.83905,54308,0.8867999911
1590080075,1400.23355,58353,0.8849999905
1590080146,1470.77073,60414,0.8870000243
1590080216,1541.17126,64014,0.8849999905
