Wall time,Time,Step,Value
1590078636,0,84,4.159476757
1590078642,6.610610008,220,3.156647682
1590078646,10.75919008,331,2.311640978
1590078650,14.31817007,441,2.007045507
1590078653,17.88186002,558,2.148190737
1590078656,20.8958199,671,2.17394352
1590078659,23.84454012,786,2.015909672
1590078662,26.54201007,901,2.051862955
1590078665,29.40199995,1020,1.890202165
1590078668,32.24835992,1140,1.887200832
1590078671,35.06991005,1260,1.961293459
1590078674,37.91496992,1378,1.900455713
1590078676,40.58756995,1490,1.958648324
1590078679,43.24962997,1604,2.006634474
1590078682,46.11131001,1722,1.845566034
1590078684,48.78505993,1837,1.897629142
1590078687,51.61630011,1956,1.736526966
1590078698,62.42521,2365,1.838556886
1590078701,65.12102008,2479,1.779543757
1590078704,67.97969007,2600,1.863792419
1590078706,70.8282299,2721,1.810739875
1590078709,73.66792989,2839,1.651173472
1590078712,76.33722997,2951,1.702129722
1590078715,79.13615012,3069,1.760644436
1590078718,81.95272994,3189,1.729283929
1590078720,84.65661001,3303,1.850393414
1590078723,87.51729012,3419,1.578960299
1590078726,90.33779001,3539,1.56280148
1590078729,93.14857006,3659,1.672829747
1590078732,95.99991989,3776,1.607449055
1590078734,98.8152101,3896,1.741019726
1590078737,101.5085299,4010,1.668985248
1590078745,109.35778,4303,1.70347631
1590078748,112.0554199,4416,1.613596678
1590078750,114.7335899,4530,1.527769685
1590078753,117.57742,4649,1.545162916
1590078756,120.26981,4761,1.634456873
1590078759,122.95364,4872,1.485357523
1590078761,125.6431999,4987,1.546374321
1590078764,128.3148,5097,1.437312961
1590078767,131.0224099,5213,1.472756863
1590078769,133.7310801,5326,1.508077979
1590078772,136.4093399,5439,1.396405935
1590078775,139.2274899,5558,1.64663744
1590078778,142.0511899,5676,1.251905203
1590078780,144.8677399,5797,1.356884837
1590078783,147.72278,5917,1.405621767
1590078786,150.5537801,6035,1.238870621
1590078793,157.85007,6307,1.408706546
1590078796,160.52613,6421,1.317645192
1590078799,163.3579099,6540,1.375342488
1590078802,166.0332501,6652,1.241826534
1590078804,168.8438799,6771,1.449128985
1590078807,171.6612301,6890,1.30471611
1590078810,174.5092399,7010,1.258334994
1590078813,177.3299301,7129,1.286010265
1590078816,180.17191,7248,1.26663518
1590078818,182.8791699,7363,1.263463259
1590078821,185.7216699,7483,1.364263535
1590078824,188.59045,7603,1.24676466
1590078827,191.4300799,7722,1.173918724
1590078830,194.0978,7836,0.9646078348
1590078833,196.94735,7955,1.310675144
1590078844,208.2704799,8386,1.10103786
1590078847,211.14183,8507,0.9481058121
1590078850,213.95439,8627,0.9763339758
1590078852,216.77423,8747,1.122400522
1590078855,219.6150701,8866,1.017770529
1590078858,222.2919099,8980,0.9422947168
1590078861,225.08674,9094,0.9968085885
1590078863,227.74068,9207,1.031973243
1590078866,230.58813,9328,0.7491524816
1590078869,233.4702899,9447,0.9209513664
1590078872,236.33881,9567,0.8535983562
1590078875,239.16733,9688,0.8808652163
1590078878,242.00787,9805,1.010175705
1590078880,244.83058,9925,0.7863547802
1590078883,247.63903,10044,0.8830961585
1590078892,256.4684899,10373,1.1852355
1590078895,259.1503501,10485,0.8809369206
1590078897,261.8183401,10596,0.8671314716
1590078900,264.5225501,10710,0.9068377614
1590078903,267.22892,10823,0.8539454937
1590078906,270.0612199,10943,0.8567961454
1590078909,272.90238,11063,0.88541466
1590078911,275.7205701,11181,0.6444431543
1590078914,278.5799601,11300,0.7628087997
1590078917,281.4222,11419,0.7625488043
1590078920,284.2297201,11539,0.822919488
1590078923,287.0758801,11658,0.9540690184
1590078925,289.8903799,11776,0.7295718193
1590078928,292.7265999,11896,0.810569942
1590078931,295.5887201,12013,0.872148037
1590078941,305.18911,12376,0.673851192
1590078943,307.8877201,12489,0.743468821
1590078946,310.5204999,12601,0.696480453
1590078949,313.34341,12719,0.5631275773
1590078952,316.1674399,12839,0.8046275377
1590078954,318.8071599,12950,0.5568045378
1590078957,321.63991,13069,0.4790629148
1590078960,324.4985199,13187,0.7131390572
1590078963,327.3092301,13307,0.6044138074
1590078966,330.1695299,13427,0.6266211271
1590078969,333.04197,13547,0.6882654428
1590078972,335.92559,13667,0.5143455267
1590078974,338.7686901,13788,0.6615337133
1590078977,341.62362,13909,0.591059804
1590078980,344.48226,14026,0.5313450098
1590078988,352.48121,14326,0.5948392153
1590078991,355.3090999,14445,0.6886388063
1590078994,358.15925,14565,0.74936378
1590078997,360.98421,14683,0.7348147631
1590078999,363.8024499,14802,0.7823051214
1590079002,366.6328499,14922,0.6468066573
1590079005,369.4298601,15041,0.6399747133
1590079008,372.2629399,15159,0.5807455778
1590079011,375.08442,15278,0.7681103349
1590079013,377.7165101,15390,0.6334909201
1590079016,380.53373,15507,0.6834456921
1590079019,383.3755,15627,0.5923595428
1590079022,386.2059,15747,0.5171175003
1590079025,389.03391,15865,0.4399766326
1590079028,391.9028499,15984,0.5753728151
1590079041,405.29019,16492,0.5460435152
1590079044,408.1408701,16612,0.4688234925
1590079047,410.9665699,16732,0.5099257231
1590079049,413.80582,16851,0.4251332581
1590079052,416.4781899,16963,0.5215903521
1590079055,419.16257,17074,0.6724946499
1590079057,421.8395901,17186,0.5118156672
1590079060,424.6900201,17307,0.5992805958
1590079063,427.51332,17427,0.7520961165
1590079066,430.33604,17544,0.5859791636
1590079069,432.9958899,17657,0.4253102541
1590079071,435.8366899,17776,0.6521656513
1590079074,438.7051001,17895,0.5348335505
1590079077,441.3985901,18010,0.3795818686
1590079087,451.023,18376,0.382355988
1590079089,453.7002399,18488,0.5916024446
1590079092,456.55159,18609,0.3635000885
1590079095,459.2226,18720,0.4796543717
1590079098,462.0945699,18840,0.4479020536
1590079101,464.9358101,18960,0.3550612926
1590079103,467.6649201,19072,0.524066329
1590079106,470.36517,19187,0.4013998806
1590079109,473.2218101,19305,0.4975638986
1590079112,476.0652299,19425,0.404035151
1590079115,478.9043,19544,0.4511615038
