Wall time,Time,Step,Value
1590078636,0,84,0.2440979481
1590078642,6.610610008,220,0.65459162
1590078646,10.75919008,331,0.6471377015
1590078650,14.31817007,441,0.6421403289
1590078653,17.88186002,558,0.6369353533
1590078656,20.8958199,671,0.6319354773
1590078659,23.84454012,786,0.6270338893
1590078662,26.54201007,901,0.6222980618
1590078665,29.40199995,1020,0.6173731089
1590078668,32.24835992,1140,0.6124616265
1590078671,35.06991005,1260,0.6075312495
1590078674,37.91496992,1378,0.60271734
1590078676,40.58756995,1490,0.598305881
1590078679,43.24962997,1604,0.5938931108
1590078682,46.11131001,1722,0.5892807841
1590078684,48.78505993,1837,0.584888339
1590078687,51.61630011,1956,0.5805494785
1590078698,62.42521,2365,0.5654619932
1590078701,65.12102008,2479,0.5613366961
1590078704,67.97969007,2600,0.557222724
1590078706,70.8282299,2721,0.5531045794
1590078709,73.66792989,2839,0.5489213467
1590078712,76.33722997,2951,0.5451882482
1590078715,79.13615012,3069,0.5411565304
1590078718,81.95272994,3189,0.5373905897
1590078720,84.65661001,3303,0.5337283611
1590078723,87.51729012,3419,0.5299831033
1590078726,90.33779001,3539,0.52612257
1590078729,93.14857006,3659,0.5223147869
1590078732,95.99991989,3776,0.5187385082
1590078734,98.8152101,3896,0.5150616765
1590078737,101.5085299,4010,0.5115073919
1590078745,109.35778,4303,0.5027039647
1590078748,112.0554199,4416,0.4993745983
1590078750,114.7335899,4530,0.4963003397
1590078753,117.57742,4649,0.4929471612
1590078756,120.26981,4761,0.4897588193
1590078759,122.95364,4872,0.4867128432
1590078761,125.6431999,4987,0.4837506115
1590078764,128.3148,5097,0.4808911383
1590078767,131.0224099,5213,0.4778725505
1590078769,133.7310801,5326,0.4750269055
1590078772,136.4093399,5439,0.4721826017
1590078775,139.2274899,5558,0.46927616
1590078778,142.0511899,5676,0.4667396247
1590078780,144.8677399,5797,0.463929683
1590078783,147.72278,5917,0.4611106813
1590078786,150.5537801,6035,0.4583658576
1590078793,157.85007,6307,0.4520302713
1590078796,160.52613,6421,0.4495046735
1590078799,163.3579099,6540,0.4471130669
1590078802,166.0332501,6652,0.4448014498
1590078804,168.8438799,6771,0.442204684
1590078807,171.6612301,6890,0.439838022
1590078810,174.5092399,7010,0.4372383058
1590078813,177.3299301,7129,0.4348745942
