Wall time,Step,Value
1576245064.091689,101,3.6339638233184814
1576245088.625046,201,4.0761027336120605
1576245113.335907,301,4.046786785125732
1576245137.893181,401,4.07210636138916
1576245170.135678,501,3.101496934890747
1576245194.786203,601,4.056707859039307
1576245219.393401,701,4.063851833343506
1576245243.909911,801,4.078887462615967
1576245268.467588,901,4.072046756744385
1576245303.660936,1001,2.8414463996887207
1576245328.191931,1101,4.076476573944092
1576245352.662571,1201,4.08652400970459
1576245377.165366,1301,4.081167697906494
1576245401.684959,1401,4.0783796310424805
1576245433.62836,1501,3.130535840988159
1576245458.079362,1601,4.089816093444824
1576245482.595962,1701,4.078862190246582
1576245507.101995,1801,4.080624580383301
1576245531.873116,1901,4.036960124969482
1576245563.439766,2001,3.1678993701934814
1576245587.896627,2101,4.088832855224609
1576245612.572057,2201,4.0526123046875
1576245637.049772,2301,4.085360050201416
1576245661.526738,2401,4.085466384887695
1576245693.462446,2501,3.131293535232544
1576245718.130702,2601,4.053797721862793
1576245742.610031,2701,4.085069179534912
1576245767.044753,2801,4.092536449432373
1576245791.591849,2901,4.073817729949951
1576245822.833204,3001,3.2008779048919678
1576245847.641487,3101,4.030914783477783
1576245872.212061,3201,4.069908618927002
1576245896.77713,3301,4.070813179016113
1576245921.349126,3401,4.069689750671387
1576245952.958937,3501,3.1635682582855225
1576245977.486293,3601,4.077084541320801
1576246001.912338,3701,4.093987464904785
1576246026.538398,3801,4.060739517211914
1576246051.135034,3901,4.065588474273682
1576246082.79071,4001,3.158991813659668
1576246107.262272,4101,4.086376190185547
1576246131.730987,4201,4.086849212646484
1576246156.478097,4301,4.040874481201172
1576246181.037785,4401,4.071717262268066
1576246214.151873,4501,3.019862651824951
1576246238.692597,4601,4.0748748779296875
1576246263.186184,4701,4.082695007324219
1576246287.660543,4801,4.085896968841553
1576246312.143919,4901,4.084403038024902
