Wall time,Time,Progress,Step,Value,
1588275158,0,0,0,0.0994,
1588275469,311,0.015625,125,0.27509999,0.17569999
1588275720,562,0.03125,250,0.48980001,0.21470002
1588276031,873,0.046875,375,0.64819998,0.15839997
1588276343,1185,0.0625,500,0.73180002,0.08360004
1588276594,1436,0.078125,625,0.80290002,0.0711
1588276905,1747,0.09375,750,0.82630002,0.0234
1588277156,1998,0.109375,875,0.83960003,0.01330001
1588277468,2310,0.125,1000,0.8452,0.00559997
1588277779,2621,0.140625,1125,0.85579997,0.01059997
1588278031,2873,0.15625,1250,0.8581,0.00230003
1588278342,3184,0.171875,1375,0.85879999,0.00069999
1588278594,3436,0.1875,1500,0.87059999,0.0118
1588278905,3747,0.203125,1625,0.87599999,0.0054
1588279217,4059,0.21875,1750,0.86339998,-0.01260001
1588279468,4310,0.234375,1875,0.88010001,0.01670003
1588279779,4621,0.25,2000,0.88260001,0.0025
1588280091,4933,0.265625,2125,0.87300003,-0.00959998
1588280342,5184,0.28125,2250,0.88810003,0.0151
1588280654,5496,0.296875,2375,0.87720001,-0.01090002
1588280905,5747,0.3125,2500,0.88429999,0.00709998
1588281217,6059,0.328125,2625,0.89069998,0.00639999
1588281529,6371,0.34375,2750,0.86580002,-0.02489996
1588281780,6622,0.359375,2875,0.89380002,0.028
1588282091,6933,0.375,3000,0.88800001,-0.00580001
1588282402,7244,0.390625,3125,0.89340001,0.0054
1588282654,7496,0.40625,3250,0.90109998,0.00769997
1588282965,7807,0.421875,3375,0.89130002,-0.00979996
1588283216,8058,0.4375,3500,0.88800001,-0.00330001
1588283528,8370,0.453125,3625,0.8951,0.00709999
1588283839,8681,0.46875,3750,0.8919,-0.0032
1588284090,8932,0.484375,3875,0.89319998,0.00129998
1588284402,9244,0.5,4000,0.88999999,-0.00319999
1588284713,9555,0.515625,4125,0.9224,0.03240001
1588284965,9807,0.53125,4250,0.9235,0.0011
1588285276,10118,0.546875,4375,0.92339998,-0.00010002
1588285527,10369,0.5625,4500,0.92439997,0.00099999
1588285838,10680,0.578125,4625,0.92320001,-0.00119996
1588286089,10931,0.59375,4750,0.92320001,0
1588286400,11242,0.609375,4875,0.92400002,0.00080001
1588286652,11494,0.625,5000,0.92269999,-0.00130003
1588290587,12650,0.6875,5500,0.92400002,0.00130003
1588291020,13083,0.703125,5625,0.9242,0.00019998
1588291271,13334,0.71875,5750,0.92339998,-0.00080002
1588291583,13646,0.734375,5875,0.92470002,0.00130004
1588291895,13958,0.75,6000,0.92409998,-0.00060004
1588292146,14209,0.765625,6125,0.92449999,0.00040001
1588292458,14521,0.78125,6250,0.92559999,0.0011
1588292709,14772,0.796875,6375,0.9249,-0.00069999
1588293020,15083,0.8125,6500,0.92589998,0.00099998
1588293332,15395,0.828125,6625,0.92500001,-0.00089997
1588293583,15646,0.84375,6750,0.92519999,0.00019998
