Wall time,Time,Progress,Step,Value
1588275158,0,0,0,0.0994
1588275469,311,0.015625,125,0.27509999
1588275720,562,0.03125,250,0.48980001
1588276031,873,0.046875,375,0.64819998
1588276343,1185,0.0625,500,0.73180002
1588276594,1436,0.078125,625,0.80290002
1588276905,1747,0.09375,750,0.82630002
1588277156,1998,0.109375,875,0.83960003
1588277468,2310,0.125,1000,0.8452
1588277779,2621,0.140625,1125,0.85579997
1588278031,2873,0.15625,1250,0.8581
1588278342,3184,0.171875,1375,0.85879999
1588278594,3436,0.1875,1500,0.87059999
1588278905,3747,0.203125,1625,0.87599999
1588279217,4059,0.21875,1750,0.86339998
1588279468,4310,0.234375,1875,0.88010001
1588279779,4621,0.25,2000,0.88260001
1588280091,4933,0.265625,2125,0.87300003
1588280342,5184,0.28125,2250,0.88810003
1588280654,5496,0.296875,2375,0.87720001
1588280905,5747,0.3125,2500,0.88429999
1588281217,6059,0.328125,2625,0.89069998
1588281529,6371,0.34375,2750,0.86580002
1588281780,6622,0.359375,2875,0.89380002
1588282091,6933,0.375,3000,0.88800001
1588282402,7244,0.390625,3125,0.89340001
1588282654,7496,0.40625,3250,0.90109998
1588282965,7807,0.421875,3375,0.89130002
1588283216,8058,0.4375,3500,0.88800001
1588283528,8370,0.453125,3625,0.8951
1588283839,8681,0.46875,3750,0.8919
1588284090,8932,0.484375,3875,0.89319998
1588284402,9244,0.5,4000,0.88999999
1588284713,9555,0.515625,4125,0.9224
1588284965,9807,0.53125,4250,0.9235
1588285276,10118,0.546875,4375,0.92339998
1588285527,10369,0.5625,4500,0.92439997
1588285838,10680,0.578125,4625,0.92320001
1588286089,10931,0.59375,4750,0.92320001
1588286400,11242,0.609375,4875,0.92400002
1588286652,11494,0.625,5000,0.92269999
1588290587,12650,0.6875,5500,0.92400002
1588291020,13083,0.703125,5625,0.9242
1588291271,13334,0.71875,5750,0.92339998
1588291583,13646,0.734375,5875,0.92470002
1588291895,13958,0.75,6000,0.92409998
1588292146,14209,0.765625,6125,0.92449999
1588292458,14521,0.78125,6250,0.92559999
1588292709,14772,0.796875,6375,0.9249
1588293020,15083,0.8125,6500,0.92589998
1588293332,15395,0.828125,6625,0.92500001
1588293583,15646,0.84375,6750,0.92519999
1588293896,15959,0.859375,6875,0.92510003
1588294147,16210,0.875,7000,0.92510003
1588294459,16522,0.890625,7125,0.926
1588294771,16834,0.90625,7250,0.92510003
1588295022,17085,0.921875,7375,0.92519999
1588295334,17397,0.9375,7500,0.9253
1588295585,17648,0.953125,7625,0.92549998
1588295897,17960,0.96875,7750,0.92540002
1588296148,18211,0.984375,7875,0.92580003
1588296460,18523,1,8000,0.92629999
