Wall time,Time,Step,Value
1590017294,0,1,0.2442851216
1590017440,145.57671,101,0.243100509
1590017567,272.9456401,201,0.2517800927
1590017711,416.52367,301,0.2370919585
1590017838,544.1461501,401,0.2212276757
1590017979,684.8438201,501,0.2084817588
1590018107,812.3909001,601,0.2012179494
1590018234,939.8512101,701,0.1948621571
1590018376,1081.63989,801,0.1881657839
1590018503,1209.08309,901,0.1799397618
1590018646,1351.41127,1001,0.1712060571
1590018773,1478.83371,1101,0.1639791578
1590018900,1606.07211,1201,0.1513317525
1590019040,1746.21562,1301,0.1413873434
1590019168,1873.67349,1401,0.1338859648
1590019310,2015.53477,1501,0.1282275319
1590019437,2142.76299,1601,0.1222032681
1590019564,2270.16787,1701,0.119169943
1590019706,2412.25037,1801,0.1176632643
1590019834,2539.70669,1901,0.1156533435
1590019974,2679.96808,2001,0.1095992625
1590020102,2807.28771,2101,0.106519334
1590020229,2934.45907,2201,0.1043799296
1590020371,3076.82002,2301,0.1025611088
1590020499,3204.49925,2401,0.101249449
1590020642,3348.20986,2501,0.1005031094
1590020770,3475.50903,2601,0.0997589305
1590020897,3602.87885,2701,0.09670221806
1590021042,3747.3809,2801,0.09290810674
1590021169,3874.61801,2901,0.09377928078
1590021309,4015.21379,3001,0.09416563064
1590021437,4142.53876,3101,0.093001917
1590021564,4269.63825,3201,0.09310356528
1590021707,4413.1218,3301,0.09055691212
1590021835,4540.38622,3401,0.08921381831
1590021985,4691.10303,3501,0.08862762153
1590022113,4818.47139,3601,0.08798468858
1590022240,4945.71913,3701,0.08669541776
1590022383,5088.85485,3801,0.08725839853
1590022510,5215.96043,3901,0.08671284467
1590022652,5357.81393,4001,0.08530045301
1590022779,5484.98669,4101,0.08419356495
1590022906,5612.20044,4201,0.08291342854
1590023050,5755.5545,4301,0.08164102584
1590023177,5882.86505,4401,0.08038298041
1590023317,6022.98659,4501,0.07914214581
1590023445,6151.17302,4601,0.07791921496
1590023573,6278.39313,4701,0.07671479881
1590023714,6420.23988,4801,0.0755282566
1590023842,6547.67078,4901,0.07436037064
1590023986,6691.38718,5001,0.0732101202
1590024113,6818.71543,5101,0.07207808644
1590024246,6951.29768,5201,0.07096391171
1590024391,7096.60807,5301,0.06986723095
1590024518,7223.99907,5401,0.06878834963
1590024662,7367.70935,5501,0.06772675365
1590024789,7495.06884,5601,0.06668235362
1590024917,7622.2734,5701,0.0656548366
1590025060,7766.00473,5801,0.06464391947
1590025187,7893.22719,5901,0.06364928931
1590025330,8035.81743,6001,0.06267040968
1590025457,8163.06844,6101,0.06256480515
1590025585,8290.33987,6201,0.06246807054
1590025727,8432.91192,6301,0.06237148866
1590025854,8560.20908,6401,0.06227505952
1590025996,8702.14512,6501,0.06217879057
1590026124,8829.41802,6601,0.06208271161
1590026251,8956.45144,6701,0.06198672205
1590026392,9097.54528,6801,0.06189092994
1590026519,9224.64238,6901,0.06179527566
1590026659,9364.80599,7001,0.06169977784
1590026786,9491.9645,7101,0.06160446629
1590026914,9619.32367,7201,0.06150927395
1590027057,9762.5159,7301,0.06141424552
1590027184,9889.87979,7401,0.0613193512
1590027328,10033.55009,7501,0.06122465059
1590027455,10160.79876,7601,0.06113010645
1590027582,10288.06335,7701,0.06103567779
1590027725,10430.32939,7801,0.06094144657
1590027852,10557.51647,7901,0.06084734201
