Wall time,Time,Step,Value
1590061077,0,0,0.0970999971
1590061449,371.2730901,250,0.5163000226
1590061759,682.1687601,500,0.772300005
1590062070,993.2282,750,0.8331000209
1590062442,1364.36903,1000,0.8565000296
1590062753,1675.63246,1250,0.8736000061
1590063064,1986.59887,1500,0.878099978
1590063435,2357.91983,1750,0.88349998
1590063746,2669.00795,2000,0.881099999
1590064057,2980.23767,2250,0.8899000287
1590064429,3351.49458,2500,0.8797000051
1590064740,3662.59607,2750,0.8896999955
1590065051,3973.87119,3000,0.8916000128
1590065422,4345.104,3250,0.8941000104
1590065733,4656.17993,3500,0.8999999762
1590066105,5027.34566,3750,0.894299984
1590066416,5338.44734,4000,0.8978999853
1590066727,5649.61678,4250,0.9204000235
1590067099,6021.46431,4500,0.9203000069
1590067410,6332.66161,4750,0.9211000204
1590067721,6643.87888,5000,0.9211000204
1590068093,7015.46196,5250,0.9218999743
1590068404,7326.82813,5500,0.9221000075
1590068715,7638.01042,5750,0.9218999743
1590069087,8009.44627,6000,0.9218999743
1590069398,8320.57781,6250,0.9223999977
1590069709,8631.91863,6500,0.9222000241
1590070080,9003.20207,6750,0.9225999713
1590070392,9314.46506,7000,0.9225000143
1590070703,9625.76359,7250,0.9222000241
1590071074,9997.16224,7500,0.9225000143
1590071386,10308.39855,7750,0.9218000174
1590071757,10679.94813,8000,0.9223999977
