Wall time,Raw Time,Step,Value,Time
1589853391,0,0,0.1000000015,0
1589853462,70.61858988,2015,0.3197000027,70.61858988
1589853532,141.0533299,4059,0.4363999963,141.0533299
1589853603,211.49384,8119,0.5670999885,211.49384
1589853673,282.2151299,10061,0.5692999959,282.2151299
1589853744,352.6475499,14104,0.7164000273,352.6475499
1589853814,423.3136799,16091,0.7218999863,423.3136799
1589853885,493.82616,18101,0.7174999714,493.82616
1589853895,504.2490499,20209,0.790199995,504.2490499
1589853966,574.64147,22113,0.7699000239,574.64147
1589854036,645.1574099,24128,0.8259999752,645.1574099
1589854047,655.6494298,26228,0.7670000196,655.6494298
1589854117,726.3561099,28146,0.8386999965,726.3561099
1589854188,796.7589798,32173,0.8855999708,796.7589798
1589854259,867.8101599,34312,0.8927000165,867.8101599
1589854329,938.3096199,38196,0.8924999833,938.3096199
1589854400,1008.75456,40244,0.8932999969,1008.75456
1589854470,1079.31145,42213,0.8914999962,1079.31145
1589854481,1089.66393,44342,0.8887000084,1089.66393
1589854551,1160.00648,46238,0.8876000047,1160.00648
1589854561,1169.90421,48021,0.8909000158,1169.90421
1589855063,1672.41861,48271,0.8910999894,1541.44746
1589855435,2043.83411,48521,0.8901000023,1912.86296
1589855746,2355.38427,48771,0.8894000053,2224.41312
1589856058,2667.38705,49021,0.888800025,2536.4159
1589856370,2978.60407,49271,0.8892999887,2847.63292
1589856741,3350.12674,49521,0.8885999918,3219.15559
1589857053,3661.51106,49771,0.8884999752,3530.53991
1589857364,3973.23149,50000,0.8894000053,3842.26034
