Wall time,Raw Time,Step,Value,Time
1589828394,0,35,2.295574665,0
1589828402,7.685080051,141,3.441152573,7.685080051
1589828408,13.46231008,247,2.323189259,13.46231008
1589828413,18.52879,355,2.099274635,18.52879
1589828417,22.82641006,466,2.115266323,22.82641006
1589828421,26.93262005,577,1.967429161,26.93262005
1589828425,30.47198009,686,2.127751827,30.47198009
1589828428,33.85471988,795,1.92538476,33.85471988
1589828431,37.07257009,913,1.905553102,37.07257009
1589828434,40.10544991,1025,1.911227226,40.10544991
1589828437,43.12660003,1146,2.015184402,43.12660003
1589828440,45.96781993,1266,1.995562911,45.96781993
1589828443,48.82487011,1385,1.874677777,48.82487011
1589828446,51.66205001,1503,1.938034654,51.66205001
1589828449,54.47283006,1623,2.074430466,54.47283006
1589828451,57.12367988,1735,1.89261055,57.12367988
1589828454,59.94345999,1855,1.761214972,59.94345999
1589828457,62.75837994,1976,1.879121304,62.75837994
1589828468,73.91304994,2395,1.915965319,73.91304994
1589828471,76.55344009,2508,1.825492859,76.55344009
1589828474,79.39650989,2629,1.754640818,79.39650989
1589828476,82.2181499,2748,1.674018264,82.2181499
1589828479,85.02559996,2867,1.812824965,85.02559996
1589828482,87.87393999,2988,1.709516525,87.87393999
1589828485,90.75638008,3109,1.735020638,90.75638008
1589828488,93.55791998,3229,1.745422602,93.55791998
1589828491,96.40206003,3349,1.768719077,96.40206003
1589828493,99.24405003,3467,1.820477843,99.24405003
1589828496,102.11164,3587,1.691447616,102.11164
1589828499,104.93452,3705,1.732863903,104.93452
1589828502,107.7841599,3825,1.542205334,107.7841599
1589828505,110.4813299,3939,1.671251416,110.4813299
1589828516,121.73316,4368,1.645405173,121.73316
1589828519,124.4164901,4479,1.566321611,124.4164901
1589828521,127.10779,4596,1.807272077,127.10779
1589828524,129.94524,4715,1.660114527,129.94524
1589828527,132.79,4835,1.457468152,132.79
1589828530,135.6204901,4955,1.629495621,135.6204901
1589828533,138.47492,5073,1.636356115,138.47492
1589828535,141.29634,5194,1.713760495,141.29634
1589828538,144.1491399,5315,1.461873651,144.1491399
1589828541,146.96117,5433,1.616347075,146.96117
1589828544,149.6317999,5547,1.710253477,149.6317999
1589828547,152.4712601,5666,1.408818722,152.4712601
1589828549,155.3124001,5785,1.464104056,155.3124001
1589828552,158.0989799,5904,1.556851149,158.0989799
1589828555,160.74123,6016,1.503899097,160.74123
1589828562,168.30884,6301,1.248841763,168.30884
1589828565,171.1475201,6421,1.391428351,171.1475201
1589828568,174.00015,6542,1.490680575,174.00015
1589828571,176.8579199,6661,1.318973303,176.8579199
1589828574,179.68189,6781,1.418167472,179.68189
1589828577,182.52948,6898,1.436929107,182.52948
1589828580,185.3828399,7018,1.405618906,185.3828399
1589828582,188.2325201,7139,1.531565666,188.2325201
1589828585,190.89799,7252,1.357896566,190.89799
