Wall time,Raw Time,Step,Value,Time
1589841392,0,0,0.09870000184,0
1589841462,70.37214994,2028,0.2795999944,70.37214994
1589841533,140.8917501,4040,0.332100004,140.8917501
1589841543,151.1624701,6074,0.4232000113,151.1624701
1589841613,221.69678,8055,0.5568000078,221.69678
1589841684,292.3194101,10097,0.600399971,292.3194101
1589841694,302.5478301,12075,0.6880999804,302.5478301
1589841765,373.4304101,14118,0.7128000259,373.4304101
1589841836,443.9298201,18163,0.7771999836,443.9298201
1589841906,514.3801701,20259,0.7360000014,514.3801701
1589841977,584.9024401,22168,0.8100000024,584.9024401
1589841987,595.6414001,24164,0.8332999945,595.6414001
1589842058,666.3399701,26144,0.8332999945,666.3399701
1589842129,737.04549,30151,0.858099997,737.04549
1589842741,1349.1371,30151,0.858099997,1349.1371
1589842872,1480.00935,30250,0.8847000003,1480.00935
1589843123,1730.85244,34341,0.8986999989,1730.85244
1589843194,1801.83941,36368,0.899699986,1801.83941
1589843264,1872.27696,38363,0.9006999731,1872.27696
1589843274,1882.74855,40316,0.9028000236,1882.74855
1589843345,1953.12675,42318,0.8998000026,1953.12675
1589843415,2023.43171,46405,0.9010999799,2023.43171
1589844098,2706.39025,46416,0.8960000277,2094.15226
1589844289,2897.13722,48434,0.9014999866,2284.89923
1589844299,2907.59321,50440,0.9013000131,2295.35522
1589844370,2978.13908,52508,0.9018999934,2365.90109
1589844440,3048.73328,56597,0.9017000198,2436.49529
1589844511,3119.27555,58473,0.9014999866,2507.03756
1589844582,3190.73837,60534,0.9011999965,2578.50038
1589845326,3933.95387,60770,0.9031999707,2950.01843
