Wall time,Time,Step,Value
1597691247,0,0,0.1000000015
1597691558,311.4196301,250,0.459100008
1597691869,622.60392,500,0.6862999797
1597692241,994.42979,750,0.8130999804
1597692312,1065.31517,800,0.8194000125
1597693285,1108.21422,2814,0.8519999981
1597693787,1208.45933,4812,0.8524000049
1597693989,1256.89819,6814,0.8335999846
1597694180,1318.0413,8814,0.8489999771
1597694311,1327.7437,10814,0.7979000211
1597694441,1344.5849,10851,0.8249999881
1597694512,1415.28755,12812,0.8058999777
1597694784,1437.17922,14847,0.7871000171
1597694855,1507.7926,16826,0.7796000242
1597694925,1578.67636,20931,0.8235999942
1597694996,1649.40411,22944,0.8262000084
1597695067,1720.24507,26895,0.899699986
1597695138,1790.99727,29021,0.9052000046
1597695208,1861.64439,30948,0.9035999775
1597695219,1872.06221,32996,0.9057999849
1597695289,1942.67195,34913,0.9049999714
1597695360,2013.3285,36959,0.9052000046
1597695371,2023.86949,39132,0.9057999849
1597695441,2094.66693,40941,0.9063000083
1597695512,2165.39992,45021,0.9049000144
1597695583,2236.43202,47043,0.9054999948
1597695654,2306.84992,51006,0.9053000212
1597695724,2377.37174,53007,0.904399991
1597695795,2447.89655,55019,0.9064999819
1597695805,2458.32907,57030,0.9067000151
1597695876,2529.10317,58409,0.905099988
