Wall time,Time,Step,Value
1594088487,0,0,0.1000000015
1594088558,70.54916,2019,0.2453999966
1594088568,80.70739007,4075,0.3833000064
1594088639,151.3652499,6053,0.3860000074
1594088709,221.97981,8055,0.4465999901
1594088720,232.4520099,10205,0.4979000092
1594088791,303.11588,12073,0.6028000116
1594088861,373.7990301,16129,0.6804999709
1594088932,444.4034801,18102,0.7433000207
1594089003,515.1055501,20011,0.6784999967
1594089204,586.65288,22052,0.7706999779
1594089275,657.0985401,26047,0.8361999989
1594089345,727.6161699,28090,0.8475000262
1594089416,798.1075101,30099,0.8288000226
1594089426,808.27753,32163,0.878000021
1594089496,878.79965,34130,0.8902000189
1594089567,949.3558199,36106,0.8906000257
1594089578,960.75384,38104,0.8909999728
1594089649,1031.56719,40014,0.8905000091
