Wall time,Step,Value
1594084836.038992,1,3.258923053741455
1594084974.238137,101,1.6328275203704834
1594085102.145621,201,0.8559260368347168
1594085242.802991,301,0.48443615436553955
1594085370.783799,401,0.23767751455307007
1594085508.934122,501,0.14536675810813904
1594085636.626932,601,0.08572070300579071
1594085764.425852,701,0.07068556547164917
1594085905.467811,801,0.03957713395357132
1594086033.033067,901,0.04164709895849228
1594086349.126993,1001,0.0447077602148056
1594086492.363642,1101,0.033852189779281616
1594086620.182338,1201,0.02572052925825119
1594086760.6288,1301,0.024717852473258972
1594086888.256356,1401,0.025357641279697418
