Wall time,Time,Step,Value
1597107518,0,0,0.1000000015
1597107889,371.49945,250,0.6547999978
1597108200,682.8306699,500,0.8508999944
1597108572,1054.30691,750,0.8492000103
1597108643,1125.12146,800,0.8598999977
1597108834,1202.30777,4832,0.8938000202
1597108904,1272.75151,6950,0.8963999748
1597108975,1343.17874,8888,0.8924999833
1597108985,1353.4203,10853,0.8917000294
1597109056,1423.96946,12865,0.8950999975
1597109126,1494.50074,14876,0.8985999823
1597109137,1504.95345,16944,0.8932999969
1597109208,1575.88756,18893,0.897300005
1597109278,1646.4117,22957,0.8963000178
1597109349,1717.03926,24985,0.8988000154
1597109419,1787.75273,26980,0.8962000012
1597109430,1798.11402,28936,0.8991000056
1597109500,1868.65445,30946,0.8984000087
1597109571,1939.19733,34966,0.9016000032
1597109641,2009.61402,36975,0.9010999799
1597109714,2082.44053,38990,0.9010999799
1597109724,2092.79906,40999,0.9010000229
1597109795,2163.52321,43005,0.8985999823
1597109866,2233.85703,45009,0.9010999799
1597109876,2244.12531,47106,0.9014999866
1597109948,2315.97031,49095,0.9011999965
1597110018,2386.50463,53055,0.9010999799
1597110089,2457.05632,55074,0.9011999965
1597110159,2527.78566,58413,0.90200001
