Wall time,Time,Step,Value
1597089658,0,0,0.09889999777
1597090029,371.5343199,250,0.4011999965
1597090400,742.7767,500,0.7925999761
1597090772,1114.11046,750,0.8109999895
1597090843,1185.23323,800,0.8346999884
1597096748,1213.25351,2882,0.8704000115
1597096818,1283.54648,4830,0.8740000129
1597096889,1353.90377,8903,0.8720999956
1597096959,1424.65554,10916,0.86650002
1597097030,1495.1225,12876,0.8675000072
1597097040,1505.19642,14892,0.8697000146
1597097110,1575.55108,16960,0.868900001
1597097181,1645.90482,18908,0.8679999709
1597097191,1656.25667,20914,0.8679000139
1597097262,1726.87906,23044,0.8743000031
1597097332,1797.27146,26947,0.8687000275
1597097402,1867.69503,28953,0.8677999973
1597097473,1938.24496,31056,0.8705999851
1597097483,1948.21681,33032,0.8731999993
1597097553,2018.69311,34989,0.8748000264
1597097624,2089.22042,37000,0.8763999939
1597097634,2099.44418,39010,0.8759999871
1597097705,2169.86873,41024,0.8758000135
1597097775,2240.16319,45051,0.8772000074
1597097845,2310.54306,47170,0.8769999743
1597097916,2381.09019,49100,0.8758999705
1597097926,2391.49857,51072,0.8754000068
1597097997,2462.02746,53080,0.8762999773
1597098067,2532.38558,55093,0.8765000105
1597098077,2542.7579,57095,0.8762999773
1597098148,2613.18166,58413,0.877300024
