Wall time,Step,Value
1597086482.366516,0,0.10000000149011612
1597086793.716755,250,0.4348999857902527
1597087105.187683,500,0.7294999957084656
1597087476.804161,750,0.8226000070571899
1597087547.859227,800,0.8303999900817871
1597087799.00607,2816,0.8544999957084656
1597087869.361796,6901,0.8531000018119812
1597087939.896372,8858,0.8547000288963318
1597088010.333425,10873,0.8496000170707703
1597088020.644627,12869,0.8561000227928162
1597088091.187305,14881,0.8555999994277954
1597088161.503349,18895,0.8521000146865845
1597088231.922814,20902,0.8500999808311462
1597088302.45326,22915,0.8547999858856201
1597088312.827266,24922,0.8557000160217285
1597088383.265172,27009,0.8575000166893005
1597088453.636216,30944,0.8568000197410583
1597088524.237299,33061,0.8601999878883362
1597088594.945784,35100,0.8610000014305115
1597088605.256499,36971,0.864300012588501
1597088675.909194,38983,0.8644999861717224
1597088746.410299,41045,0.8633999824523926
1597088756.894256,42999,0.8634999990463257
1597088827.642115,45007,0.8641999959945679
1597088897.942679,49110,0.8637999892234802
1597088968.649935,51033,0.8640000224113464
1597089039.202629,53083,0.8626999855041504
1597089049.429067,55058,0.8632000088691711
1597089119.865252,57157,0.8636999726295471
1597089129.933209,58414,0.8614000082015991
