Wall time,Time,Step,Value
1597086482,0,0,0.1000000015
1597086794,311.35024,250,0.4348999858
1597087105,622.8211701,500,0.7294999957
1597087477,994.4376502,750,0.8226000071
1597087548,1065.49271,800,0.8303999901
1597087799,1135.63956,2816,0.8544999957
1597087869,1205.99528,6901,0.8531000018
1597087940,1276.52986,8858,0.8547000289
1597088010,1346.96691,10873,0.8496000171
1597088021,1357.27811,12869,0.8561000228
1597088091,1427.82079,14881,0.8555999994
1597088162,1498.13683,18895,0.8521000147
1597088232,1568.5563,20902,0.8500999808
1597088302,1639.08675,22915,0.8547999859
1597088313,1649.46075,24922,0.855700016
1597088383,1719.89866,27009,0.8575000167
1597088454,1790.2697,30944,0.8568000197
1597088524,1860.87078,33061,0.8601999879
1597088595,1931.57927,35100,0.8610000014
1597088605,1941.88998,36971,0.8643000126
1597088676,2012.54268,38983,0.8644999862
1597088746,2083.04378,41045,0.8633999825
1597088757,2093.52774,42999,0.863499999
1597088828,2164.2756,45007,0.864199996
1597088898,2234.57616,49110,0.8637999892
1597088969,2305.28342,51033,0.8640000224
1597089039,2375.83611,53083,0.8626999855
1597089049,2386.06255,55058,0.8632000089
1597089120,2456.49874,57157,0.8636999726
1597089130,2466.56669,58414,0.8614000082
