Wall time,Raw Time,Step,Value,Time
1590089048,0,0,0.09449999779,0
1590089119,70.95406008,2136,0.2782999873,70.95406008
1590089130,81.11135006,4023,0.3323000073,81.11135006
1590089200,151.9256601,6031,0.3932000101,151.9256601
1590089271,222.48599,8039,0.4875000119,222.48599
1590089281,232.63288,10134,0.5837000012,232.63288
1590089351,303.00266,12065,0.6911000013,303.00266
1590089422,373.35727,14141,0.6838999987,373.35727
1590089432,383.6744499,16091,0.6985999942,383.6744499
1590089503,454.1423199,18119,0.7946000099,454.1423199
1590089573,525.06741,22165,0.7718999982,525.06741
1590089644,595.58742,24280,0.8461999893,595.58742
1590089714,665.8929901,26148,0.8276000023,665.8929901
1590089725,676.27175,28159,0.8446000218,676.27175
1590089795,746.9808099,30172,0.8388000131,746.9808099
1590089937,888.17414,32014,0.8513000011,817.8077898
1590090308,1259.5734,32264,0.9011999965,1189.20705
1590090620,1571.18061,32514,0.9006999731,1500.81426
1590090991,1942.69147,32764,0.9007999897,1872.32512
1590091303,2254.37343,33014,0.899600029,2184.00708
1590091674,2625.97193,33264,0.899600029,2555.60558
1590091986,2937.62096,33514,0.9007999897,2867.25461
1590092297,3248.72058,33764,0.9003000259,3178.35423
1590092668,3620.07682,34014,0.9014999866,3549.71047
1590092980,3931.27881,34264,0.90200001,3860.91246
1590093291,4242.55607,34514,0.9011999965,4172.18972
1590093663,4614.23277,34764,0.9014999866,4543.86642
1590093974,4925.58632,35014,0.9014999866,4855.21997
1590094285,5237.03928,35264,0.9021000266,5166.67293
1590094657,5608.45725,35514,0.9014999866,5538.0909
1590094968,5919.62895,35764,0.9018999934,5849.2626
1590095280,6231.53615,36000,0.9023000002,6161.1698
