Wall time,Raw Time,Step,Value,Time
1590096904,0,89,6.185237408,0
1590096910,6.584990025,225,2.172441483,6.584990025
1590096914,10.50486994,339,2.082326174,10.50486994
1590096918,14.08696008,453,2.163855553,14.08696008
1590096921,17.32642984,565,1.911516428,17.32642984
1590096924,20.38260984,679,1.835688949,20.38260984
1590096927,23.49322987,801,1.856331587,23.49322987
1590096930,26.33370996,919,1.92302084,26.33370996
1590096933,29.13208008,1036,1.890890956,29.13208008
1590096936,31.96272993,1155,1.93354857,31.96272993
1590096939,34.79061007,1275,1.87126112,34.79061007
1590096941,37.63600993,1394,1.804911494,37.63600993
1590096944,40.45232987,1513,1.78152132,40.45232987
1590096947,43.34215999,1633,1.732405066,43.34215999
1590096950,46.18849993,1752,1.613071442,46.18849993
1590096953,49.00962996,1871,1.616110325,49.00962996
1590096956,51.87258005,1990,1.611054897,51.87258005
1590096964,59.79233003,2284,1.569588423,59.79233003
1590096966,62.50620008,2398,1.678934813,62.50620008
1590096969,65.35896993,2518,1.807688832,65.35896993
1590096972,68.18342996,2637,1.528009176,68.18342996
1590096975,70.8629899,2750,1.637449265,70.8629899
1590096977,73.53565001,2862,1.663464069,73.53565001
1590096980,76.36953998,2981,1.583551764,76.36953998
1590096983,79.21289992,3099,1.695750117,79.21289992
1590096986,81.93066001,3212,1.51546216,81.93066001
1590096989,84.7594099,3332,1.596078753,84.7594099
1590096991,87.62606001,3452,1.629027367,87.62606001
1590096994,90.46265006,3572,1.481664896,90.46265006
1590096997,93.28985,3690,1.457862377,93.28985
1590097000,96.12259007,3808,1.51110065,96.12259007
1590097003,98.95426989,3927,1.482839108,98.95426989
1590097013,109.52754,4329,1.41190362,109.52754
1590097016,112.2244,4443,1.508089304,112.2244
1590097019,115.0938499,4563,1.368746996,115.0938499
1590097022,117.9779799,4682,1.33341527,117.9779799
1590097024,120.6649899,4794,1.461101174,120.6649899
1590097027,123.3473799,4907,1.365224361,123.3473799
1590097030,126.05266,5018,1.349019766,126.05266
1590097032,128.7265899,5132,1.274687052,128.7265899
1590097035,131.6020601,5252,1.55551362,131.6020601
1590097038,134.4227099,5371,1.502481461,134.4227099
1590097041,137.27812,5490,1.411212206,137.27812
1590097044,140.1043599,5610,1.350954294,140.1043599
1590097047,142.95223,5729,1.245165348,142.95223
1590097050,145.8002899,5849,1.59087801,145.8002899
1590097052,148.635,5967,1.276242137,148.635
1590097063,159.44348,6373,1.239875078,159.44348
1590097066,162.1324499,6485,1.322175264,162.1324499
1590097069,164.96838,6604,1.193510056,164.96838
1590097072,167.78547,6721,1.374569416,167.78547
1590097074,170.63901,6841,1.212899923,170.63901
1590097077,173.4713199,6959,1.108389378,173.4713199
1590097080,176.1605299,7072,1.117329359,176.1605299
1590097083,178.83881,7184,1.158214569,178.83881
1590097085,181.52249,7296,1.277459741,181.52249
1590097088,184.21419,7409,1.334672213,184.21419
1590097091,186.9156699,7522,1.236557722,186.9156699
1590097094,189.7655199,7640,1.262990952,189.7655199
1590097096,192.5994699,7759,1.138520956,192.5994699
1590097099,195.44491,7878,0.9752237797,195.44491
1590097102,198.2792699,7997,1.063863516,198.2792699
1590097110,206.37554,8300,1.035935044,206.37554
1590097113,209.2344499,8421,1.008087397,209.2344499
1590097116,212.1087899,8541,0.9271149039,212.1087899
1590097119,214.93102,8661,0.9690095782,214.93102
1590097121,217.6407299,8773,0.8369982243,217.6407299
1590097124,220.3041101,8884,0.8890758753,220.3041101
1590097127,223.1424401,9004,0.9825662374,223.1424401
1590097130,225.9659901,9123,1.023962975,225.9659901
1590097133,228.80724,9240,1.006829858,228.80724
1590097135,231.5859199,9356,1.142913103,231.5859199
1590097138,234.45643,9476,0.793153882,234.45643
1590097141,237.3043399,9596,0.8543182611,237.3043399
1590097144,240.15674,9717,1.061336517,240.15674
1590097147,243.02581,9837,0.9417808056,243.02581
1590097150,245.8578,9957,1.001122117,245.8578
1590097161,257.53793,10394,0.6020693779,257.53793
1590097164,260.40534,10514,0.8814572096,260.40534
1590097167,263.0627201,10627,0.9131794572,263.0627201
1590097170,265.9133301,10748,0.6250290871,265.9133301
1590097173,268.75965,10868,0.786227107,268.75965
1590097175,271.60075,10986,0.548686862,271.60075
1590097178,274.43996,11106,0.6922168732,274.43996
1590097181,277.1124699,11217,0.6881861687,277.1124699
1590097184,279.91448,11337,0.7732305527,279.91448
1590097187,282.7655098,11456,0.7063923478,282.7655098
1590097189,285.5948,11575,0.635586381,285.5948
1590097192,288.4384899,11694,0.6540301442,288.4384899
1590097195,291.26179,11814,0.5922183394,291.26179
1590097198,294.1210999,11934,0.6431500316,294.1210999
1590097210,306.2409101,12396,0.5987535715,306.2409101
1590097213,309.1779599,12516,0.7595022917,309.1779599
1590097216,312.0348001,12637,0.6696479321,312.0348001
1590097219,314.8729899,12757,0.5811196566,314.8729899
1590097221,317.73137,12873,0.6463234425,317.73137
1590097224,320.5777299,12993,0.4555503726,320.5777299
1590097227,323.4200299,13112,0.6459999084,323.4200299
1590097230,326.26472,13230,0.6191934347,326.26472
1590097233,329.0806499,13350,0.7007398009,329.0806499
1590097236,331.9368401,13470,0.5285240412,331.9368401
1590097239,334.7836599,13590,0.4973480403,334.7836599
1590097241,337.6310101,13708,0.456335783,337.6310101
1590097244,340.47031,13827,0.7420198917,340.47031
1590097247,343.28792,13946,0.5929322243,343.28792
1590097259,355.4296401,14408,0.4632633328,355.4296401
1590097262,358.1427,14521,0.7271116972,358.1427
1590097265,360.97226,14641,0.631114006,360.97226
1590097268,363.81704,14760,0.374750942,363.81704
1590097270,366.6718299,14879,0.3659304976,366.6718299
1590097273,369.51618,14999,0.5512242317,369.51618
1590097276,372.3432801,15118,0.5550903678,372.3432801
1590097279,375.1973701,15237,0.5887730122,375.1973701
1590097282,378.0618598,15357,0.6189922094,378.0618598
1590097285,380.88727,15475,0.5146070123,380.88727
1590097287,383.6993999,15593,0.3624945581,383.6993999
1590097290,386.5125,15712,0.5878801942,386.5125
1590097293,389.36291,15829,0.5360764265,389.36291
1590097296,392.0527799,15940,0.3836625218,392.0527799
1590097299,394.8719699,16060,0.4794165492,394.8719699
1590097307,403.1086299,16366,0.3476235867,403.1086299
1590097310,406.0019701,16487,0.4726890922,406.0019701
1590097313,408.8199899,16607,0.5104071498,408.8199899
1590097315,411.6538999,16725,0.3613464236,411.6538999
1590097318,414.47047,16843,0.5171528459,414.47047
1590097321,417.3139799,16963,0.3325214982,417.3139799
1590097324,420.14551,17084,0.3865942657,420.14551
1590097327,422.9978299,17203,0.2869414687,422.9978299
1590097330,425.84338,17323,0.2800810039,425.84338
1590097332,428.7027099,17442,0.2292703092,428.7027099
1590097335,431.3704801,17554,0.2664116323,431.3704801
1590097338,434.04319,17666,0.3610762954,434.04319
1590097340,436.7302599,17779,0.3382190466,436.7302599
1590097343,439.5562599,17899,0.3234353065,439.5562599
1590097346,442.43115,18017,0.2671020329,442.43115
1590097355,451.33953,18353,0.261380136,451.33953
1590097358,454.0205901,18467,0.3529630005,454.0205901
1590097361,456.8547299,18585,0.4236395359,456.8547299
1590097363,459.7238801,18703,0.3333659768,459.7238801
1590097366,462.3941,18816,0.4259929657,462.3941
1590097369,465.2692199,18937,0.3247733116,465.2692199
1590097372,468.13518,19056,0.4003860652,468.13518
1590097375,470.9635599,19175,0.3585796952,470.9635599
1590097378,473.8287899,19292,0.3054392338,473.8287899
1590097380,476.7065699,19411,0.2779459655,476.7065699
1590097383,479.55688,19531,0.4512458742,479.55688
1590097386,482.3952301,19651,0.3582926393,482.3952301
1590097389,485.2681,19771,0.450232178,485.2681
1590097392,487.9781799,19886,0.1732326001,487.9781799
1590097395,490.8025501,20004,0.3418599963,490.8025501
1590097404,500.7169099,20380,0.3061344624,500.7169099
1590097407,503.3940799,20493,0.4248742461,503.3940799
1590097410,506.25263,20614,0.2328619361,506.25263
1590097413,509.1248701,20733,0.2599049807,509.1248701
1590097416,512.00969,20853,0.258579731,512.00969
1590097419,514.85899,20972,0.2696896493,514.85899
1590097421,517.6752601,21092,0.2592408657,517.6752601
1590097424,520.5186501,21211,0.3768621087,520.5186501
1590097427,523.3162498,21329,0.3002831936,523.3162498
1590097430,526.1698799,21449,0.3224103749,526.1698799
1590097433,529.0132,21567,0.3149792254,529.0132
1590097435,531.7188199,21680,0.464746356,531.7188199
1590097438,534.6052599,21798,0.3738628328,534.6052599
1590097441,537.4751,21919,0.2435916066,537.4751
1590097444,540.1642799,22031,0.2810981572,540.1642799
1590097455,551.52721,22458,0.3085670471,551.52721
1590097458,554.21647,22571,0.3350507617,554.21647
1590097461,557.05374,22689,0.2686290741,557.05374
1590097464,559.8828499,22809,0.2487831414,559.8828499
1590097467,562.7439499,22930,0.3159203529,562.7439499
1590097469,565.5644,23048,0.3012680411,565.5644
1590097472,568.4188199,23167,0.1927366108,568.4188199
1590097475,571.1180499,23280,0.2081917971,571.1180499
1590097478,573.9905999,23400,0.3220496178,573.9905999
1590097481,576.8710899,23519,0.2979116142,576.8710899
1590097483,579.7225399,23639,0.1528326571,579.7225399
1590097486,582.59273,23759,0.3466426134,582.59273
1590097489,585.4372299,23878,0.2681114078,585.4372299
1590097492,588.30247,23997,0.2614297867,588.30247
1590097505,601.15907,24484,0.2345998883,601.15907
1590097508,603.88906,24599,0.2373576462,603.88906
1590097511,606.7451,24719,0.2036551833,606.7451
1590097513,609.6151199,24835,0.2486220151,609.6151199
1590097516,612.32394,24948,0.3326247334,612.32394
1590097519,615.2234199,25069,0.1882067621,615.2234199
1590097522,618.06322,25188,0.383756578,618.06322
1590097525,620.9625599,25309,0.3437606096,620.9625599
1590097528,623.8050199,25428,0.1699006855,623.8050199
1590097530,626.6505699,25548,0.3071758747,626.6505699
1590097533,629.4888399,25668,0.3203982711,629.4888399
1590097536,632.36836,25789,0.2991689444,632.36836
1590097539,635.2349501,25907,0.2585270107,635.2349501
1590097542,637.90657,26019,0.2627834678,637.90657
1590097555,651.03128,26514,0.2615840435,651.03128
1590097558,653.8748801,26633,0.4276767969,653.8748801
1590097560,656.7256999,26753,0.3150525689,656.7256999
1590097563,659.5836,26874,0.2566434741,659.5836
1590097566,662.46187,26992,0.2973654568,662.46187
1590097569,665.1105499,27104,0.2509453297,665.1105499
1590097572,667.75332,27215,0.2670420408,667.75332
1590097574,670.57126,27333,0.3087400794,670.57126
1590097577,673.25771,27445,0.2497432679,673.25771
1590097580,676.1079299,27564,0.2329991311,676.1079299
1590097583,678.79896,27674,0.2685095668,678.79896
1590097585,681.6762099,27794,0.2119380385,681.6762099
1590097588,684.5283399,27915,0.2732874453,684.5283399
1590097591,687.39258,28035,0.2588597834,687.39258
1590097602,698.6057699,28458,0.2905070186,698.6057699
1590097605,701.2806399,28571,0.2068984658,701.2806399
1590097608,704.1210999,28689,0.2795680165,704.1210999
1590097611,706.9963,28809,0.2251508981,706.9963
1590097614,709.8528299,28928,0.2929147482,709.8528299
1590097616,712.6866701,29048,0.222148478,712.6866701
1590097619,715.55074,29167,0.283437252,715.55074
1590097622,718.3905001,29286,0.2338343412,718.3905001
1590097625,721.28249,29406,0.2087570727,721.28249
1590097628,724.1748199,29526,0.1284410954,724.1748199
1590097631,727.0234299,29646,0.2317199856,727.0234299
1590097634,729.87306,29766,0.2092569768,729.87306
1590097637,732.7430499,29883,0.29409343,732.7430499
1590097639,735.4295099,29997,0.3543205261,735.4295099
1590097642,738.29498,30117,0.1629849076,738.29498
1590097650,745.9832499,30403,0.1812158376,745.9832499
1590097653,748.84659,30521,0.2793543041,748.84659
1590097655,751.6630499,30640,0.3038040102,751.6630499
1590097658,754.51247,30760,0.2438020259,754.51247
1590097661,757.19842,30873,0.2615006566,757.19842
1590097664,760.0704699,30994,0.2323147953,760.0704699
1590097667,762.90066,31113,0.1750989556,762.90066
1590097670,765.7565799,31232,0.2761398852,765.7565799
1590097672,768.5997601,31351,0.2466251552,768.5997601
1590097675,771.41277,31470,0.2112258673,771.41277
1590097678,774.2395599,31588,0.2457081378,774.2395599
1590097681,777.05355,31707,0.2469347566,777.05355
1590097684,779.92243,31827,0.2313577831,779.92243
1590097687,782.7528501,31946,0.1916342229,782.7528501
1590097848,944.1172299,32014,0.1900104135,789.1172299
1590097991,1087.25128,32114,0.05324379355,932.2512801
1590098118,1214.44802,32214,0.0418972671,1059.44802
1590098259,1355.59981,32314,0.02755165286,1200.59981
1590098387,1482.81707,32414,0.02363388427,1327.81707
1590098528,1624.53976,32514,0.02045261487,1469.53976
1590098656,1751.81759,32614,0.01133693941,1596.81759
1590098783,1878.96402,32714,0.01177843194,1723.96402
1590098926,2022.23281,32814,0.009330488741,1867.23281
1590099053,2149.68612,32914,0.008244567551,1994.68612
1590099198,2294.13923,33014,0.009576879442,2139.13923
1590099325,2421.45216,33114,0.005271532573,2266.45216
1590099453,2548.74596,33214,0.005172032397,2393.74596
1590099596,2692.18943,33314,0.003965156153,2537.18943
1590099723,2819.65257,33414,0.003614543471,2664.65257
1590099865,2961.48666,33514,0.002836246276,2806.48666
1590099993,3089.42203,33614,0.002719256561,2934.42203
1590100120,3216.65588,33714,0.003345826175,3061.65588
1590100262,3358.42175,33814,0.002478465205,3203.42175
1590100390,3485.8238,33914,0.002332499949,3330.8238
1590100533,3628.88067,34014,0.001993253594,3473.88067
1590100661,3756.80636,34114,0.001926303259,3601.80636
1590100788,3884.07248,34214,0.00141010771,3729.07248
