Wall time,Step,Value
1590112129.140323,0,0.10000000149011612
1590112199.684345,2037,0.24169999361038208
1590112269.990975,6044,0.3939000070095062
1590112340.92909,8048,0.4810999929904938
1590112411.744897,10046,0.5235000252723694
1590112421.810528,12057,0.6392999887466431
1590112492.515683,14094,0.680400013923645
1590112563.101378,18169,0.7879999876022339
1590112633.491023,20216,0.7148000001907349
1590112703.838444,22125,0.8101000189781189
1590112714.283451,24122,0.8276000022888184
1590112784.62374,26132,0.826200008392334
1590112855.042705,30150,0.8169999718666077
1590112927.346671,32160,0.8822000026702881
1590112998.112832,34165,0.8931000232696533
1590113008.612553,36178,0.8953999876976013
1590113079.199661,38193,0.8938999772071838
1590113149.45962,42221,0.8956999778747559
1590113219.903432,44227,0.8981999754905701
1590113290.737892,48014,0.8963000178337097
1590113481.684926,48014,0.8963000178337097
1590113852.923591,48264,0.8797000050544739
1590114224.651071,48514,0.8935999870300293
1590114535.803859,48764,0.8959000110626221
1590114847.065742,49014,0.8956000208854675
1590115218.585401,49264,0.8974999785423279
1590115530.066967,49514,0.8985999822616577
1590115841.313559,49764,0.9009000062942505
1590116152.707913,50000,0.8998000025749207
