Wall time,Raw Time,Step,Value,Time
1590112129,0,0,0.1000000015,0
1590112200,70.54401994,2037,0.2416999936,70.54401994
1590112270,140.8506498,6044,0.393900007,140.8506498
1590112341,211.78877,8048,0.481099993,211.78877
1590112412,282.6045699,10046,0.5235000253,282.6045699
1590112422,292.6701999,12057,0.6392999887,292.6701999
1590112493,363.37536,14094,0.6804000139,363.37536
1590112563,433.96105,18169,0.7879999876,433.96105
1590112633,504.3506999,20216,0.7148000002,504.3506999
1590112704,574.6981199,22125,0.810100019,574.6981199
1590112714,585.1431298,24122,0.8276000023,585.1431298
1590112785,655.4834199,26132,0.8262000084,655.4834199
1590112855,725.90238,30150,0.8169999719,725.90238
1590112927,798.2063498,32160,0.8822000027,798.2063498
1590112998,868.9725099,34165,0.8931000233,868.9725099
1590113009,879.47223,36178,0.8953999877,879.47223
1590113079,950.05934,38193,0.8938999772,950.05934
1590113149,1020.3193,42221,0.8956999779,1020.3193
1590113220,1090.76311,44227,0.8981999755,1090.76311
1590113482,1352.5446,48014,0.8963000178,1281.71014
1590113853,1723.78327,48264,0.8797000051,1652.94881
1590114225,2095.51075,48514,0.893599987,2024.67629
1590114536,2406.66353,48764,0.8959000111,2335.82907
1590114847,2717.92542,49014,0.8956000209,2647.09096
1590115219,3089.44508,49264,0.8974999785,3018.61062
1590115530,3400.92664,49514,0.8985999823,3330.09218
1590115841,3712.17323,49764,0.9009000063,3641.33877
1590116153,4023.56759,50000,0.8998000026,3952.73313
