Wall time,Raw Time,Step,Value,Time
1590112100,0,90,7.624407291,0
1590112107,6.462520123,223,3.258148909,6.462520123
1590112111,10.40209007,332,2.296526909,10.40209007
1590112114,13.80163002,440,2.304265022,13.80163002
1590112117,17.02761006,556,2.269852638,17.02761006
1590112120,20.06170011,669,2.191525459,20.06170011
1590112123,23.02191019,782,2.077000141,23.02191019
1590112126,25.71367002,894,2.033465624,25.71367002
1590112129,28.42881012,1011,2.072682858,28.42881012
1590112131,31.28761005,1127,2.175771236,31.28761005
1590112134,34.01440001,1245,1.967578769,34.01440001
1590112137,36.8881402,1364,1.89193821,36.8881402
1590112140,39.75555015,1485,1.969390988,39.75555015
1590112143,42.60530019,1604,1.890535593,42.60530019
1590112146,45.44966006,1723,1.922989964,45.44966006
1590112148,48.26553011,1842,1.922981977,48.26553011
1590112151,51.10757017,1961,1.801865578,51.10757017
1590112162,61.52438021,2354,1.901459455,61.52438021
1590112164,64.35134006,2473,1.757846355,64.35134006
1590112167,67.00414014,2586,1.725789666,67.00414014
1590112170,69.87105012,2707,1.76661396,69.87105012
1590112173,72.71062016,2828,1.611262083,72.71062016
1590112176,75.5669601,2945,1.874653816,75.5669601
1590112179,78.40397,3065,1.671731114,78.40397
1590112181,81.2517302,3186,1.706756949,81.2517302
1590112184,84.08731008,3305,1.810603499,84.08731008
1590112187,86.96307015,3425,1.709110737,86.96307015
1590112190,89.80996013,3545,1.564322352,89.80996013
1590112193,92.66012001,3666,1.77061367,92.66012001
1590112196,95.47176003,3786,1.7298522,95.47176003
1590112198,98.34911013,3904,1.704083681,98.34911013
1590112209,109.08532,4316,1.579513073,109.08532
1590112212,111.95825,4434,1.677029729,111.95825
1590112215,114.82693,4554,1.697754025,114.82693
1590112218,117.6791301,4674,1.830242634,117.6791301
1590112221,120.4886501,4793,1.597289562,120.4886501
1590112223,123.33445,4912,1.685626507,123.33445
1590112226,126.1907701,5032,1.448871136,126.1907701
1590112229,129.0438302,5152,1.55368185,129.0438302
1590112232,131.8942902,5272,1.745652437,131.8942902
1590112235,134.7244902,5393,1.567071915,134.7244902
1590112238,137.5633302,5510,1.549649954,137.5633302
1590112241,140.38342,5630,1.378494501,140.38342
1590112243,143.2564502,5749,1.435114145,143.2564502
1590112246,145.9505501,5863,1.541664124,145.9505501
1590112249,148.80374,5983,1.499434829,148.80374
1590112259,158.5738802,6351,1.371632457,158.5738802
1590112261,161.2645502,6465,1.608561277,161.2645502
1590112264,164.1235702,6586,1.424132705,164.1235702
1590112267,166.9599302,6706,1.517093658,166.9599302
1590112270,169.77721,6825,1.316809893,169.77721
1590112273,172.5786302,6942,1.35249269,172.5786302
1590112276,175.41136,7062,1.510165811,175.41136
1590112278,178.0946002,7175,1.300752878,178.0946002
1590112281,180.95753,7296,1.241455674,180.95753
1590112284,183.6325002,7408,1.262411356,183.6325002
1590112287,186.47366,7528,1.204731941,186.47366
1590112289,189.1260102,7640,1.149705887,189.1260102
1590112292,191.94645,7760,1.244939685,191.94645
1590112295,194.79216,7878,1.245370626,194.79216
1590112298,197.4766302,7991,1.332305074,197.4766302
1590112307,206.9732802,8348,1.050105572,206.9732802
1590112310,209.8549402,8468,1.177647591,209.8549402
1590112313,212.6709101,8586,1.098716974,212.6709101
1590112316,215.54003,8707,1.252463102,215.54003
1590112319,218.3873,8827,0.9603960514,218.3873
1590112321,221.2695301,8948,1.330560565,221.2695301
1590112324,224.1522701,9069,1.078979015,224.1522701
1590112327,227.0107601,9188,1.250942826,227.0107601
1590112330,229.8640301,9308,1.050536633,229.8640301
1590112333,232.6930702,9428,1.035612106,232.6930702
1590112336,235.5892301,9549,1.262485862,235.5892301
1590112338,238.28671,9662,1.016325712,238.28671
1590112341,240.9652102,9774,1.293716788,240.9652102
1590112344,243.6682601,9890,1.101397395,243.6682601
1590112347,246.5230801,10008,1.057035327,246.5230801
1590112357,256.4158401,10379,1.153025866,256.4158401
1590112359,259.26615,10499,0.9453226328,259.26615
1590112362,262.1241801,10617,0.8599339724,262.1241801
1590112365,264.8160501,10730,1.138915539,264.8160501
1590112368,267.6798401,10851,0.9426602125,267.6798401
1590112371,270.5197301,10971,0.9037320614,270.5197301
1590112373,273.33727,11091,1.131839395,273.33727
1590112376,276.0135801,11204,0.8270637989,276.0135801
1590112379,278.8245502,11322,0.7595005035,278.8245502
1590112382,281.5187302,11435,0.7829962969,281.5187302
1590112385,284.3930101,11554,0.8717468977,284.3930101
1590112387,287.22,11674,0.8026930094,287.22
1590112390,290.06322,11794,0.66340065,290.06322
1590112393,292.73122,11907,0.836725831,292.73122
1590112396,295.41835,12018,0.7813483477,295.41835
1590112407,306.39556,12430,0.8988381028,306.39556
1590112409,309.0978501,12546,0.6315904856,309.0978501
1590112412,311.9861801,12667,0.8020659089,311.9861801
1590112415,314.8398001,12786,1.004290342,314.8398001
1590112418,317.6779602,12905,0.8281695843,317.6779602
1590112420,320.3593502,13017,0.7780855894,320.3593502
1590112423,323.2472901,13137,0.6526415348,323.2472901
1590112426,326.0714202,13257,0.755864501,326.0714202
1590112429,328.92312,13378,0.5985394716,328.92312
1590112432,331.7514,13497,0.7744572163,331.7514
1590112435,334.5910001,13615,0.6942110062,334.5910001
1590112437,337.2720401,13728,0.6093659401,337.2720401
1590112440,339.9476302,13842,0.6433842182,339.9476302
1590112443,342.8164301,13962,0.6999779344,342.8164301
1590112455,354.6250601,14411,0.7300428152,354.6250601
1590112458,357.46931,14530,0.6296759248,357.46931
1590112460,360.3407102,14651,0.4719976783,360.3407102
1590112463,363.19753,14772,0.3602280915,363.19753
1590112466,366.02178,14890,0.7070486546,366.02178
1590112469,368.8533702,15010,0.7188592553,368.8533702
1590112472,371.71123,15130,0.577711463,371.71123
1590112475,374.5983601,15249,0.6978815794,374.5983601
1590112478,377.45856,15369,0.5962127447,377.45856
1590112480,380.2871401,15489,0.5733808279,380.2871401
1590112483,383.12976,15609,0.7018469572,383.12976
1590112486,385.8203802,15723,0.7509055138,385.8203802
1590112489,388.6518002,15842,0.5735632777,388.6518002
1590112492,391.5338302,15962,0.6316640377,391.5338302
1590112504,403.4693801,16418,0.5055060387,403.4693801
1590112506,406.36236,16538,0.6362962127,406.36236
1590112509,409.1887002,16657,0.4680219293,409.1887002
1590112512,411.88114,16770,0.773208499,411.88114
1590112515,414.7136202,16889,0.4633714855,414.7136202
1590112518,417.56517,17007,0.3993138671,417.56517
1590112521,420.4062002,17126,0.3988534808,420.4062002
1590112523,423.2081001,17246,0.400462687,423.2081001
1590112526,426.1087601,17364,0.5966117382,426.1087601
1590112529,428.8193002,17478,0.6926114559,428.8193002
1590112532,431.7043202,17599,0.6375347376,431.7043202
1590112535,434.55636,17718,0.4688968658,434.55636
1590112538,437.4230001,17839,0.4219480157,437.4230001
1590112540,440.2512901,17958,0.4136249423,440.2512901
1590112543,443.1177201,18078,0.4421451688,443.1177201
1590112554,454.0281,18485,0.3696112335,454.0281
1590112557,456.8623102,18605,0.7438605428,456.8623102
1590112560,459.5459201,18717,0.4030643106,459.5459201
1590112562,462.2235,18829,0.4526449442,462.2235
1590112565,464.8975902,18942,0.4594528079,464.8975902
1590112568,467.57868,19056,0.5138296485,467.57868
1590112571,470.44925,19175,0.3305190206,470.44925
1590112573,473.1212001,19288,0.5268396139,473.1212001
1590112576,476.0015202,19407,0.4510192871,476.0015202
1590112579,478.67696,19519,0.3410052657,478.67696
1590112582,481.5421202,19640,0.5843000412,481.5421202
1590112585,484.4180501,19761,0.4208425283,484.4180501
1590112587,487.2482002,19881,0.4031893015,487.2482002
1590112590,489.91976,19992,0.4250658751,489.91976
1590112603,503.1594901,20492,0.3490719795,503.1594901
1590112606,505.8711202,20607,0.4350951612,505.8711202
1590112609,508.72208,20727,0.3432347178,508.72208
1590112612,511.5776701,20845,0.3972751796,511.5776701
1590112614,514.2416401,20958,0.388250351,514.2416401
1590112617,517.09306,21077,0.560729444,517.09306
1590112620,519.9651,21198,0.3945715427,519.9651
1590112623,522.8123901,21317,0.3283602297,522.8123901
1590112626,525.67873,21437,0.4511048496,525.67873
1590112629,528.5226102,21557,0.4434113204,528.5226102
1590112631,531.21474,21672,0.5237745047,531.21474
1590112634,534.07829,21792,0.3753910065,534.07829
1590112637,536.9241202,21911,0.3158088028,536.9241202
1590112640,539.7711601,22031,0.4315302968,539.7711601
1590112649,548.9194701,22379,0.4324905276,548.9194701
1590112652,551.78759,22498,0.4363594055,551.78759
1590112655,554.49793,22610,0.5469567776,554.49793
1590112657,557.3259501,22730,0.4832348228,557.3259501
1590112660,560.1368902,22850,0.4393321872,560.1368902
1590112663,563.0054801,22969,0.4246080518,563.0054801
1590112666,565.8557301,23089,0.3727248907,565.8557301
1590112669,568.71526,23209,0.4383420348,568.71526
1590112672,571.5422101,23329,0.4402966499,571.5422101
1590112674,574.26283,23443,0.292111516,574.26283
1590112677,577.1354101,23563,0.3455746472,577.1354101
1590112680,579.8396201,23677,0.4165045619,579.8396201
1590112683,582.5070701,23789,0.2630971968,582.5070701
1590112685,585.21087,23903,0.3762629926,585.21087
1590112688,588.0552502,24022,0.2835138142,588.0552502
1590112700,599.44822,24456,0.2873291075,599.44822
1590112702,602.3132501,24576,0.4091514349,602.3132501
1590112705,604.9993701,24689,0.3349624872,604.9993701
1590112708,607.8284001,24808,0.3217847347,607.8284001
1590112711,610.6853001,24928,0.4604386389,610.6853001
1590112713,613.3512301,25041,0.2668629885,613.3512301
1590112716,616.0424101,25153,0.2489575446,616.0424101
1590112719,618.8656702,25273,0.4117113352,618.8656702
1590112722,621.73616,25392,0.2835835218,621.73616
1590112725,624.4048002,25504,0.3231031895,624.4048002
1590112727,627.2369101,25624,0.3829788566,627.2369101
1590112730,630.0804,25744,0.3912601471,630.0804
1590112733,632.937,25864,0.2777760327,632.937
1590112736,635.7849002,25984,0.2477178872,635.7849002
1590112739,638.6343,26103,0.3475052714,638.6343
1590112749,649.1696501,26496,0.341924727,649.1696501
1590112752,651.8969302,26612,0.3980358839,651.8969302
1590112755,654.7646,26732,0.3235352933,654.7646
1590112758,657.6117301,26850,0.2151068747,657.6117301
1590112761,660.41222,26969,0.3534304202,660.41222
1590112763,663.2396102,27088,0.377548635,663.2396102
1590112766,666.0909102,27208,0.3364142776,666.0909102
1590112769,668.9232602,27327,0.4911769032,668.9232602
1590112772,671.7617302,27448,0.2692604065,671.7617302
1590112775,674.5877602,27566,0.5117390156,674.5877602
1590112778,677.4233902,27686,0.2104422003,677.4233902
1590112780,680.2454002,27804,0.2398044467,680.2454002
1590112783,683.07341,27922,0.2907139361,683.07341
1590112786,685.7625,28034,0.2829361558,685.7625
1590112797,697.2309101,28470,0.2243237495,697.2309101
1590112800,699.90468,28581,0.283542037,699.90468
1590112803,702.5814102,28694,0.3352612555,702.5814102
1590112806,705.41994,28814,0.4463481009,705.41994
1590112808,708.2736502,28934,0.2237963378,708.2736502
1590112811,710.9566002,29047,0.4997664392,710.9566002
1590112814,713.77689,29167,0.2501165867,713.77689
1590112817,716.6219001,29284,0.2407337278,716.6219001
1590112820,719.4540701,29404,0.2439887971,719.4540701
1590112822,722.34341,29525,0.185076803,722.34341
1590112825,725.18381,29645,0.2686243653,725.18381
1590112828,727.8753901,29759,0.3133602738,727.8753901
1590112831,730.71172,29878,0.3600729108,730.71172
1590112834,733.5555601,29997,0.3443230093,733.5555601
1590112836,736.1906302,30108,0.3203442395,736.1906302
1590112846,745.63028,30462,0.1812134832,745.63028
1590112849,748.5004902,30583,0.2794985473,748.5004902
1590112851,751.34339,30702,0.2832339108,751.34339
1590112854,754.04707,30817,0.209958002,754.04707
1590112857,756.9041102,30936,0.243282482,756.9041102
1590112860,759.7525301,31054,0.2117495239,759.7525301
1590112863,762.4577701,31166,0.2770704329,762.4577701
