Wall time,Time,Step,Value
1594675038,0,0,0.1040999964
1594675289,251.1969399,160,0.3470000029
1594675480,324.9663301,2182,0.4575999975
1594675550,395.3829501,4178,0.5532000065
1594675621,465.7546,8307,0.7551000118
1594675691,536.12012,10240,0.766200006
1594675761,606.4735999,12225,0.7529000044
1594675772,616.8875999,14358,0.8166999817
1594675842,687.58778,16234,0.8360999823
1594675913,757.9369199,20258,0.8116999865
1594675983,828.35168,22339,0.8184000254
1594676054,898.9540999,24280,0.8575000167
1594676064,909.3947899,26305,0.7771000266
1594676135,979.8868599,28303,0.8737000227
1594676205,1050.12637,32341,0.8938000202
1594676276,1120.81433,34402,0.8986999989
1594676346,1191.18311,36339,0.9014999866
1594676356,1201.24967,38354,0.8981999755
1594676426,1271.53609,40361,0.8999000192
1594676497,1342.04973,42378,0.8975999951
1594676507,1352.17273,44389,0.8974999785
1594676577,1422.61259,46400,0.8975999951
1594676648,1492.91108,50426,0.8991000056
1594676718,1563.34535,52442,0.8986999989
1594676789,1633.74683,54462,0.899600029
1594676799,1643.7798,56476,0.8992999792
1594676869,1714.30179,58648,0.8978000283
1594676940,1784.69641,60574,0.8992000222
1594676950,1795.43086,62494,0.9002000093
1594676960,1805.54204,62892,0.8974999785
