Wall time,Raw Time,Step,Value,Time
1591059211,0,1,3.51896739,0
1591059354,142.94631,101,2.361019373,142.94631
1591059480,268.83885,201,1.798879504,268.83885
1591059621,410.3854101,301,1.754216433,410.3854101
1591059748,536.7439201,401,1.351779461,536.7439201
1591059893,681.59571,501,0.9557088614,681.59571
1591060019,808.0352001,601,0.9705437422,808.0352001
1591060146,934.58567,701,0.3874901235,934.58567
1591060285,1074.35226,801,0.2610690892,1074.35226
1591060412,1200.9455,901,0.1836373955,1200.9455
1591060552,1340.78862,1001,0.1295428723,1340.78862
1591060678,1467.25078,1101,0.08803140372,1467.25078
1591060805,1593.60002,1201,0.07611792535,1593.60002
1591060945,1733.87951,1301,0.07413986325,1733.87951
1591061072,1860.69397,1401,0.06407997012,1860.69397
1591061212,2000.6047,1501,0.0480452925,2000.6047
1591061338,2127.00923,1601,0.04909289256,2127.00923
1591061465,2253.63807,1701,0.03090922907,2253.63807
1591061606,2395.25911,1801,0.04360440373,2395.25911
1591061733,2521.87102,1901,0.03859822452,2521.87102
1591061985,2773.78828,2057,0.3649132848,2668.78828
1591061991,2780.36483,2184,0.3326908648,2675.36483
1591061995,2784.47726,2294,0.9191820621,2679.47726
1591061999,2788.07608,2407,0.6393229365,2683.07608
1591062002,2791.26154,2519,0.5575197339,2686.26154
1591062005,2794.32975,2631,0.7976435423,2689.32975
1591062008,2797.31889,2745,0.6952742934,2692.31889
1591062011,2800.15263,2864,0.3748309612,2695.15263
1591062014,2803.03601,2985,0.4883044064,2698.03601
1591062017,2805.8854,3105,1.120879531,2700.8854
1591062020,2808.73445,3224,0.5193912387,2703.73445
1591062023,2811.56692,3344,0.3730452955,2706.56692
1591062025,2814.38393,3462,0.5489863157,2709.38393
1591062028,2817.24445,3582,0.3707227707,2712.24445
1591062031,2820.07041,3701,0.2431887835,2715.07041
1591062034,2822.8848,3821,0.2531855702,2717.8848
1591062037,2825.70556,3939,0.4081937075,2720.70556
1591062046,2835.02211,4293,0.2364737093,2730.02211
1591062049,2837.70455,4406,0.3584440351,2732.70455
1591062052,2840.54045,4526,0.4105125368,2735.54045
1591062054,2843.31644,4644,0.2566694319,2738.31644
1591062057,2846.15286,4764,0.3293469548,2741.15286
1591062060,2848.9743,4880,0.206245333,2743.9743
1591062063,2851.81653,5000,0.1198863983,2746.81653
1591062066,2854.65773,5120,0.2221283913,2749.65773
1591062068,2857.48376,5240,0.2608971596,2752.48376
1591062071,2860.33195,5360,0.1347718984,2755.33195
1591062074,2863.00262,5472,0.2730733156,2758.00262
1591062077,2865.81858,5591,0.1636707038,2760.81858
1591062080,2868.64925,5708,0.1794334799,2763.64925
1591062082,2871.45636,5826,0.3182035685,2766.45636
1591062085,2874.26359,5945,0.1596090496,2769.26359
1591062095,2883.62393,6300,0.1241184026,2778.62393
1591062097,2886.48431,6421,0.09448967874,2781.48431
1591062100,2889.33481,6540,0.2303721756,2784.33481
1591062103,2892.02031,6653,0.2105528712,2787.02031
1591062106,2894.82613,6773,0.2103327811,2789.82613
1591062109,2897.69295,6893,0.2233994305,2792.69295
1591062111,2900.52265,7012,0.2174243033,2795.52265
1591062114,2903.14533,7123,0.1896985769,2798.14533
