Wall time,Time,Step,Value
1591059211,0,1,0.2437648326
1591059354,142.94631,101,0.4730522335
1591059480,268.83885,201,0.6538933516
1591059621,410.3854101,301,0.566565156
1591059748,536.7439201,401,0.4979632795
1591059893,681.59571,501,0.4409315884
1591060019,808.0352001,601,0.3980229795
1591060146,934.58567,701,0.3651169538
1591060285,1074.35226,801,0.3365830183
1591060412,1200.9455,901,0.3152557909
1591060552,1340.78862,1001,0.2964079082
1591060678,1467.25078,1101,0.2796037495
1591060805,1593.60002,1201,0.2627434134
1591060945,1733.87951,1301,0.2458176911
1591061072,1860.69397,1401,0.2298587114
1591061212,2000.6047,1501,0.214770183
1591061338,2127.00923,1601,0.2022823244
1591061465,2253.63807,1701,0.1886920929
1591061606,2395.25911,1801,0.1760204732
1591061733,2521.87102,1901,0.1667734385
1591061985,2668.78828,2057,0.1593989134
1591061991,2675.36483,2184,0.1665737331
1591061995,2679.47726,2294,0.1696005166
1591061999,2683.07608,2407,0.1740763187
1591062002,2686.26154,2519,0.1769919693
1591062005,2689.32975,2631,0.2006972134
1591062008,2692.31889,2745,0.202753529
1591062011,2695.15263,2864,0.2055927962
1591062014,2698.03601,2985,0.2072070688
1591062017,2700.8854,3105,0.2092608064
1591062020,2703.73445,3224,0.2119252384
1591062023,2706.56692,3344,0.213296622
1591062025,2709.38393,3462,0.2144683301
1591062028,2712.24445,3582,0.2153567821
1591062031,2715.07041,3701,0.2164571434
1591062034,2717.8848,3821,0.218208611
1591062037,2720.70556,3939,0.21935983
1591062046,2730.02211,4293,0.2209915966
1591062049,2732.70455,4406,0.2222680598
1591062052,2735.54045,4526,0.2243593484
1591062054,2738.31644,4644,0.2254998684
1591062057,2741.15286,4764,0.2258894295
1591062060,2743.9743,4880,0.2264587283
1591062063,2746.81653,5000,0.226950258
1591062066,2749.65773,5120,0.227572307
1591062068,2752.48376,5240,0.2280528247
1591062071,2755.33195,5360,0.2287167162
1591062074,2758.00262,5472,0.2295312434
1591062077,2760.81858,5591,0.230280146
1591062080,2763.64925,5708,0.2306335568
1591062082,2766.45636,5826,0.2310791165
1591062085,2769.26359,5945,0.2315792739
1591062095,2778.62393,6300,0.232431069
1591062097,2781.48431,6421,0.2328879088
