Wall time,Raw Time,Step,Value,Time
1591047083,0,1,3.501456261,0
1591047225,142.20961,101,2.090706587,142.20961
1591047351,267.8702302,201,1.613094687,267.8702302
1591047490,406.9428201,301,1.243389964,406.9428201
1591047616,533.2562501,401,0.7896448374,533.2562501
1591047754,671.2624502,501,0.4676734805,671.2624502
1591047880,797.4644301,601,0.2407288849,797.4644301
1591048007,923.6058402,701,0.1567922533,923.6058402
1591048147,1063.61305,801,0.1071351618,1063.61305
1591048273,1190.23462,901,0.09255687147,1190.23462
1591048412,1328.88373,1001,0.05779406428,1328.88373
1591048538,1454.77689,1101,0.05215714499,1454.77689
1591048664,1581.26586,1201,0.06937898695,1581.26586
1591048809,1725.88956,1301,0.02304849401,1725.88956
1591048935,1852.31046,1401,0.03260799125,1852.31046
1591049083,1999.96841,1501,0.03277608007,1999.96841
1591049209,2126.22072,1601,0.03363844007,2126.22072
1591049336,2252.71072,1701,0.02399415895,2252.71072
1591049475,2392.46058,1801,0.02283349633,2392.46058
1591049602,2519.01401,1901,0.02702525444,2519.01401
1591049957,2874.174,2069,0.5446823239,2666.174
1591049964,2880.62098,2199,0.3528645635,2672.62098
1591049968,2884.72868,2307,0.6374002695,2676.72868
1591049971,2888.27487,2419,0.9494473934,2680.27487
1591049974,2891.49409,2530,0.7094492316,2683.49409
1591049977,2894.49828,2643,0.6909594536,2686.49828
1591049980,2897.50995,2761,0.438780874,2689.50995
1591049983,2900.18826,2873,0.67204386,2692.18826
1591049986,2902.88686,2987,0.4775688648,2694.88686
1591049989,2905.72155,3105,0.8378115892,2697.72155
1591049991,2908.53484,3224,0.2608446479,2700.53484
1591049994,2911.41302,3345,0.4414122403,2703.41302
1591049997,2914.26689,3465,0.5616772175,2706.26689
1591050000,2917.11807,3586,0.3602187932,2709.11807
1591050003,2919.97712,3705,0.302569747,2711.97712
1591050006,2922.8262,3825,0.2224779576,2714.8262
1591050009,2925.66421,3946,0.1817289442,2717.66421
1591050019,2936.48442,4352,0.1887900382,2728.48442
1591050022,2939.18855,4466,0.1923988312,2731.18855
1591050025,2942.01367,4586,0.4432968795,2734.01367
1591050028,2944.67822,4698,0.274110496,2736.67822
1591050030,2947.34885,4811,0.2495011389,2739.34885
1591050033,2950.22956,4931,0.2322939038,2742.22956
1591050036,2952.91104,5045,0.1696303785,2744.91104
1591050039,2955.74917,5164,0.1588585377,2747.74917
1591050042,2958.59884,5284,0.2253307104,2750.59884
1591050044,2961.43632,5405,0.1277249604,2753.43632
1591050047,2964.31194,5525,0.1576341987,2756.31194
1591050050,2967.16319,5643,0.2428706288,2759.16319
1591050053,2969.867,5758,0.1609291732,2761.867
1591050055,2972.53734,5868,0.1241554022,2764.53734
1591050058,2975.22433,5982,0.1997277141,2767.22433
1591050067,2984.25,6322,0.1547941864,2776.25
1591050070,2987.09851,6442,0.2652157843,2779.09851
1591050073,2989.92199,6560,0.2134319544,2781.92199
1591050076,2992.5959,6670,0.1109019369,2784.5959
1591050078,2995.27924,6784,0.1359151751,2787.27924
1591050081,2997.96143,6898,0.2242107838,2789.96143
1591050084,3000.66233,7012,0.1596640944,2792.66233
1591050086,3003.49828,7130,0.09229867905,2795.49828
1591050089,3006.35275,7251,0.1285602599,2798.35275
1591050092,3009.19326,7372,0.2376787961,2801.19326
1591050095,3012.02148,7491,0.15154697,2804.02148
1591050098,3014.84305,7611,0.1583033204,2806.84305
1591050101,3017.71526,7732,0.2218765169,2809.71526
1591050103,3020.57063,7852,0.129314959,2812.57063
1591050106,3023.40543,7970,0.1429537386,2815.40543
1591050114,3031.41502,8273,0.1485116482,2823.41502
1591050117,3034.13728,8388,0.1673935652,2826.13728
1591050120,3037.0102,8507,0.2860826254,2829.0102
1591050123,3039.69701,8622,0.4341875911,2831.69701
1591050125,3042.54642,8740,0.2412108928,2834.54642
1591050128,3045.40486,8861,0.164951995,2837.40486
1591050131,3048.07022,8974,0.1376238167,2840.07022
1591050134,3050.88234,9093,0.2346803099,2842.88234
1591050137,3053.72198,9213,0.07660790533,2845.72198
1591050139,3056.57414,9332,0.06707478315,2848.57414
1591050142,3059.26599,9445,0.06773488969,2851.26599
1591050145,3061.95311,9561,0.166457206,2853.95311
1591050148,3064.79648,9680,0.1500028074,2856.79648
1591050151,3067.64598,9800,0.1342341602,2859.64598
1591050153,3070.49798,9919,0.1094227508,2862.49798
1591050156,3073.30562,10039,0.07151756436,2865.30562
1591050164,3081.00612,10325,0.053981442,2873.00612
1591050167,3083.85841,10445,0.02974231914,2875.85841
1591050169,3086.53554,10557,0.239303872,2878.53554
1591050172,3089.25107,10670,0.1701856554,2881.25107
1591050175,3091.9619,10782,0.1619259119,2883.9619
1591050178,3094.68143,10899,0.1199327409,2886.68143
1591050180,3097.56935,11020,0.1302655339,2889.56935
1591050183,3100.42297,11138,0.09703832865,2892.42297
1591050186,3103.24411,11258,0.1072257459,2895.24411
1591050189,3106.07566,11376,0.1215043068,2898.07566
1591050192,3108.91293,11496,0.2355815321,2900.91293
1591050195,3111.71606,11615,0.03400830925,2903.71606
1591050197,3114.39795,11728,0.1298857331,2906.39795
1591050200,3117.26178,11849,0.2817152143,2909.26178
1591050203,3120.11946,11969,0.1754892766,2912.11946
1591050213,3129.61884,12331,0.1110887676,2921.61884
1591050215,3132.50056,12452,0.1689684689,2924.50056
1591050218,3135.34912,12572,0.1771905571,2927.34912
1591050221,3138.22355,12693,0.1422189921,2930.22355
1591050224,3141.04969,12809,0.08423569798,2933.04969
1591050227,3143.74314,12923,0.09147774428,2935.74314
1591050229,3146.42904,13035,0.1543718278,2938.42904
1591050232,3149.1003,13146,0.06738117337,2941.1003
1591050235,3151.90472,13266,0.121174261,2943.90472
1591050238,3154.76641,13385,0.1528190374,2946.76641
1591050240,3157.59403,13505,0.1707121879,2949.59403
1591050243,3160.44068,13623,0.1618904322,2952.44068
1591050246,3163.26711,13743,0.1147576571,2955.26711
1591050249,3166.08316,13863,0.1027181745,2958.08316
1591050252,3168.9187,13982,0.1125117838,2960.9187
