Wall time,Time,Step,Value
1594848772,0,1,3.240490913
1594848916,143.47734,101,1.917056084
1594849043,270.2458601,201,1.511586189
1594849179,407.00737,301,1.149178505
1594849217,444.63078,320,1.088997
1594849457,449.3243399,368,1.024811506
1594849464,456.2140999,493,1.27895093
1594849468,460.3768299,605,1.469063044
1594849471,464.11801,720,1.309759259
1594849475,467.3645301,831,1.392850757
1594849478,470.40535,944,1.524260879
1594849481,473.2883201,1062,1.374508977
1594849484,476.18365,1183,1.314538956
1594849486,479.0116501,1303,1.445046067
1594849489,481.8756199,1423,1.326118946
1594849492,484.72597,1542,1.340190172
1594849495,487.5712399,1662,1.345233679
1594849498,490.7621701,1792,1.285637617
1594849501,493.6622,1913,1.484071493
1594849504,496.37918,2027,1.429314494
1594849507,499.23581,2148,1.205259562
1594849509,502.11358,2268,1.372630715
1594849519,511.3139799,2616,1.067408323
1594849521,513.9921501,2729,1.515220642
1594849524,516.8207099,2849,1.115469933
1594849527,519.4931901,2963,1.332589626
1594849530,522.35478,3084,1.055722117
1594849533,525.17644,3203,1.275311589
1594849535,527.8468499,3314,1.116130233
1594849538,530.69396,3434,0.9384841323
1594849541,533.56914,3555,1.024182558
1594849544,536.2567599,3669,1.060162067
1594849546,538.96225,3783,0.9351266623
1594849549,541.77946,3902,0.9812372327
1594849552,544.6140399,4020,1.135158539
1594849555,547.4744799,4141,0.9746516943
1594849558,550.3061399,4260,1.09481132
1594849569,561.5734599,4688,0.7937105894
1594849572,564.4280601,4808,0.8646492958
1594849575,567.3004,4929,0.9144207835
1594849578,570.1514599,5049,0.8521817327
1594849580,572.9885299,5167,1.2292521
1594849583,575.84424,5287,0.7501842976
1594849586,578.66487,5407,0.8272664547
1594849589,581.3223701,5518,0.843578577
1594849591,584.0481501,5633,0.8799851537
1594849594,586.9010699,5751,0.8725683689
1594849597,589.5504601,5864,1.035477877
1594849600,592.4245899,5984,0.8659102917
1594849603,595.2641699,6103,0.7211264372
1594849605,597.95295,6215,0.8662776351
1594849608,600.79321,6336,0.7313486934
1594849619,611.9763701,6752,0.8258875608
1594849622,614.71892,6864,0.8815832734
1594849625,617.4377201,6980,0.7081338167
1594849628,620.3501799,7100,0.7544761896
1594849630,623.05705,7217,0.6134545803
1594849633,625.9296401,7337,0.7239216566
1594849636,628.60814,7450,0.6814578772
1594849639,631.4630001,7571,0.7934783697
1594849642,634.15416,7685,0.6659174562
1594849644,636.99314,7804,0.658708632
1594849647,639.8304999,7923,0.7223601341
1594849650,642.5132499,8037,0.7770656347
1594849653,645.3798299,8157,0.6339530945
1594849656,648.2413099,8277,0.6077379584
1594849667,659.9168699,8721,0.5483776927
1594849670,662.7823701,8840,0.6469816566
1594849673,665.4930599,8954,0.498799026
1594849676,668.18922,9068,0.4941240549
1594849678,671.0466399,9188,0.6359319687
1594849681,673.9163699,9309,0.4593459368
1594849684,676.75804,9428,0.7578367591
1594849687,679.5938201,9545,0.5374981165
1594849690,682.43855,9665,0.5918016434
1594849693,685.1709599,9779,0.5188213587
1594849695,688.02771,9899,0.8206617832
1594849698,690.6975501,10012,0.6482599378
1594849701,693.56427,10133,0.4225696921
1594849704,696.4140401,10250,0.4389096498
1594849706,699.0962,10362,0.549849987
1594849718,710.86285,10802,0.4573518038
1594849721,713.6073599,10915,0.5405534506
1594849724,716.29828,11030,0.5810833573
1594849727,719.1391599,11150,0.5045213103
1594849729,722.02542,11269,0.696995616
1594849732,724.8764899,11389,0.4844623804
1594849735,727.70802,11509,0.6730104685
1594849738,730.5966301,11629,0.4600391984
1594849741,733.47276,11750,0.6201628447
1594849744,736.16804,11861,0.520164907
1594849746,738.8429201,11974,0.4807609022
1594849749,741.70383,12093,0.5264195204
1594849752,744.4019301,12206,0.5689927936
1594849755,747.2256999,12326,0.6232995987
1594849765,757.4114399,12710,0.3796423078
1594849767,760.0950301,12822,0.3809543252
1594849770,762.80743,12937,0.3841679394
1594849773,765.5097799,13051,0.4062720537
1594849776,768.2176399,13164,0.4333566427
1594849778,770.89202,13277,0.3309454024
1594849781,773.5880101,13389,0.4528154433
1594849784,776.43943,13510,0.5033595562
1594849787,779.2837601,13630,0.4294990003
1594849790,782.1526201,13751,0.4680733681
1594849792,784.83744,13864,0.2791784108
1594849795,787.50126,13977,0.4065490365
1594849798,790.3631999,14098,0.4229041338
1594849801,793.20138,14218,0.376632452
1594849803,796.06692,14337,0.3136605322
1594849814,806.2625201,14721,0.2601197958
1594849816,809.07707,14839,0.3005838394
1594849819,811.7388201,14952,0.3387703896
1594849822,814.61307,15073,0.2629919052
1594849825,817.4709301,15193,0.3063868582
1594849828,820.36567,15313,0.3382838666
1594849830,823.0282199,15426,0.4709430337
1594849833,825.8529501,15546,0.347388804
1594849836,828.6995199,15666,0.5017623901
1594849839,831.50982,15785,0.3924062252
1594849842,834.3786099,15905,0.3856221139
1594849845,837.2846999,16026,0.3068908453
1594849847,839.99997,16142,0.3809601665
1594849850,842.87521,16262,0.2930696607
1594849853,845.7525599,16383,0.2823261321
1594849861,853.14112,16660,0.1821759045
1594849863,856.01331,16780,0.2700636387
1594849866,858.7099199,16894,0.2797769308
1594849869,861.53213,17014,0.3546479642
1594849872,864.37922,17132,0.3392110467
1594849875,867.2204099,17251,0.4136951864
1594849877,870.0715799,17372,0.3562042117
1594849880,872.9008899,17490,0.3598875999
1594849883,875.76057,17610,0.3206418157
1594849886,878.4342399,17724,0.2336951494
1594849889,881.28581,17844,0.5523654819
1594849891,883.99175,17957,0.4618360996
1594849894,886.8400099,18078,0.4088608623
1594849897,889.66294,18197,0.2015172988
1594849900,892.5220699,18317,0.3149442375
1594849911,903.4061999,18733,0.2461596727
1594849914,906.2400799,18853,0.2840549648
1594849916,909.06813,18972,0.2154099345
1594849919,911.7932699,19085,0.2761527002
1594849922,914.62902,19205,0.4465266764
1594849925,917.44929,19325,0.2445736378
1594849928,920.2981799,19445,0.3115496635
1594849930,922.98964,19559,0.3510826826
1594849933,925.88411,19679,0.3109289706
1594849936,928.75632,19798,0.3380911648
1594849939,931.6437099,19919,0.3125191033
1594849942,934.3528299,20033,0.2390667796
1594849945,937.1979799,20152,0.2565745115
1594849947,940.0581899,20273,0.1653036326
1594849950,942.74877,20387,0.3375821114
1594849958,950.15378,20667,0.1222774759
1594849960,952.86078,20782,0.1735741794
1594849963,955.5357699,20894,0.288674891
1594849966,958.37657,21014,0.2682943046
1594849969,961.2519901,21135,0.2533060908
1594849971,964.09741,21255,0.2482928634
1594849974,966.9806199,21374,0.226654917
1594849977,969.87116,21495,0.08313120902
