Wall time,Raw Time,Step,Value,Time
1590681616,0,0,0.1049999967,0
1590681928,311.6626499,250,0.3797000051,311.6626499
1590682300,683.51598,500,0.627300024,683.51598
1590682611,995.1974299,750,0.7917000055,995.1974299
1590682923,1306.82143,1000,0.8295999765,1306.82143
1590683294,1678.25315,1250,0.8421000242,1678.25315
1590683606,1989.56169,1500,0.8436999917,1989.56169
1590683917,2301.14668,1750,0.8560000062,2301.14668
1590684289,2673.00923,2000,0.8521999717,2673.00923
1590684601,2984.85263,2250,0.8604000211,2984.85263
1590684973,3356.41186,2500,0.851000011,3356.41186
1590685284,3668.10044,2750,0.8669999838,3668.10044
1590685596,3979.82657,3000,0.8766000271,3979.82657
1590685968,4351.95978,3250,0.8697000146,4351.95978
1590686280,4663.7125,3500,0.8802000284,4663.7125
1590686591,4974.87224,3750,0.8788999915,4974.87224
1590686963,5346.79479,4000,0.8756999969,5346.79479
1590687214,5598.36747,6016,0.8385999799,5370.36747
1590687226,5609.49507,8020,0.8493000269,5381.49507
1590687297,5680.67854,10026,0.8485999703,5452.67854
1590687368,5752.37691,14044,0.8668000102,5524.37691
1590687439,5823.24589,16055,0.8704000115,5595.24589
1590687510,5894.12819,20124,0.8763999939,5666.12819
1590687581,5964.77232,22117,0.8567000031,5736.77232
1590687652,6035.54166,24099,0.871999979,5807.54166
1590687662,6046.09469,26114,0.8673999906,5818.09469
1590687733,6116.80247,28124,0.8794999719,5888.80247
1590687803,6187.31495,32146,0.8693000078,5959.31495
1590687874,6258.2572,34158,0.908100009,6030.2572
1590687945,6329.13015,36014,0.9071999788,6101.13015
