Wall time,Raw Time,Step,Value,Time
1590458756,0,0,0.1009000018,0
1590459068,311.47244,250,0.4397999942,311.47244
1590459440,683.3747501,500,0.7652000189,683.3747501
1590459751,994.9442,750,0.8288999796,994.9442
1590460063,1306.87248,1000,0.8486999869,1306.87248
1590460375,1618.3505,1250,0.8610000014,1618.3505
1590460686,1929.58655,1500,0.8669999838,1929.58655
1590461058,2301.21161,1750,0.8691999912,2301.21161
1590461369,2612.90376,2000,0.8655999899,2612.90376
1590461681,2924.50189,2250,0.877399981,2924.50189
1590461992,3235.88091,2500,0.8716999888,3235.88091
1590462364,3607.68301,2750,0.8759999871,3607.68301
1590462676,3919.16509,3000,0.8741000295,3919.16509
1590462987,4230.98115,3250,0.8838000298,4230.98115
1590463299,4542.59492,3500,0.8838000298,4542.59492
1590463671,4914.3055,3750,0.8878999949,4914.3055
1590463982,5226.08022,4000,0.9010000229,5226.08022
1590464174,5417.08763,8072,0.8762000203,5296.08763
1590464244,5487.86723,10033,0.8385999799,5366.86723
1590464315,5558.59836,12038,0.8945999742,5437.59836
1590464325,5569.07419,14100,0.6585000157,5448.07419
1590464396,5639.9428,16060,0.8808000088,5518.9428
1590464467,5710.72695,20084,0.8794000149,5589.72695
1590464538,5781.25923,22190,0.8758000135,5660.25923
1590464609,5852.08347,24162,0.8769999743,5731.08347
1590464619,5862.52806,26111,0.8932999969,5741.52806
1590464690,5933.42293,28129,0.8909000158,5812.42293
1590464761,6004.12595,30139,0.8754000068,5883.12595
1590464771,6014.69559,32168,0.9146000147,5893.69559
1590464842,6085.29261,34255,0.9222000241,5964.29261
1590464912,6156.05246,36014,0.924399972,6035.05246
