Wall time,Time,Step,Value
1590458706,0,1,0.2439698726
1590458846,140.13151,101,0.2582372725
1590458971,265.0915499,201,0.2467037588
1590459108,402.53124,301,0.230747208
1590459234,528.00034,401,0.2223400623
1590459374,667.7679398,501,0.2119051665
1590459498,792.2121799,601,0.2064224035
1590459623,917.2818499,701,0.2042719871
1590459760,1053.8679,801,0.2018943578
1590459885,1179.11794,901,0.1942353696
1590460024,1318.49152,1001,0.1854613423
1590460149,1443.44437,1101,0.1779628396
1590460274,1568.12427,1201,0.1728334129
1590460413,1707.26097,1301,0.1629270464
1590460538,1832.0294,1401,0.1535918713
1590460675,1969.53879,1501,0.1455109119
1590460801,2094.7221,1601,0.1380522698
1590460925,2219.15915,1701,0.1313933283
1590461066,2359.58085,1801,0.1279270649
1590461191,2484.66527,1901,0.1248427927
1590461329,2623.50986,2001,0.1214591265
1590461455,2748.64601,2101,0.1176664978
1590461579,2873.37227,2201,0.1130871698
1590461720,3013.60522,2301,0.1094710305
1590461845,3138.95173,2401,0.1090505868
1590461984,3277.74823,2501,0.1070809066
1590462108,3402.28688,2601,0.1060642675
1590462233,3527.45227,2701,0.1043185666
1590462372,3666.42441,2801,0.1014261246
1590462497,3791.27264,2901,0.0998942852
1590462636,3930.42349,3001,0.09838033468
1590462762,4056.03658,3101,0.09878905118
1590462887,4181.252,3201,0.09583422542
1590463026,4320.55209,3301,0.09614421427
1590463152,4445.60383,3401,0.0943088755
1590463291,4584.72979,3501,0.09341332316
1590463415,4709.30028,3601,0.09227456152
1590463540,4834.16162,3701,0.09151513129
1590463677,4971.48875,3801,0.09168959409
1590463802,5096.29282,3901,0.09124045074
1590464051,5254.13052,4072,53.91887283
1590464058,5260.80034,4199,53.49707413
1590464062,5265.00031,4314,53.14532471
1590464066,5268.57492,4426,52.79389954
1590464069,5271.98149,4544,52.42190552
1590464072,5275.00122,4657,52.06247711
1590464075,5278.07936,4775,51.67453766
1590464078,5280.93731,4896,51.29236221
1590464081,5283.77187,5015,50.91012955
1590464083,5286.46869,5128,50.55258179
1590464086,5289.34208,5246,50.18263626
1590464089,5292.02592,5359,49.83335495
1590464092,5294.72686,5473,49.47948074
1590464095,5297.58572,5592,49.11013794
1590464097,5300.41655,5712,48.74733353
1590464100,5303.28526,5829,48.3875351
1590464103,5305.98552,5943,48.04721069
1590464114,5317.30175,6369,46.6716156
1590464117,5320.16701,6488,46.32017136
1590464120,5322.96131,6606,45.97762299
1590464123,5325.7954,6722,45.64751816
1590464125,5328.52147,6837,45.31675339
1590464128,5331.34278,6956,44.98509598
1590464131,5334.13609,7075,44.65600967
1590464134,5336.96316,7194,44.32304382
1590464137,5339.66061,7307,44.01459503
1590464139,5342.53246,7425,43.69200897
1590464142,5345.38463,7545,43.36590195
1590464145,5348.20803,7665,43.04220963
1590464148,5351.04664,7784,42.72419739
1590464151,5353.85658,7903,42.40839386
1590464163,5366.21681,8371,41.08203888
1590464166,5368.91414,8485,40.7843132
1590464169,5371.71929,8603,40.48545074
1590464171,5374.53317,8720,40.18644714
1590464174,5377.32905,8839,39.89537811
1590464177,5380.11688,8957,39.60308838
1590464180,5382.92315,9075,39.31115341
1590464183,5385.74893,9194,39.02104568
1590464185,5388.566,9312,38.73521042
1590464188,5391.43326,9432,38.4484787
1590464191,5394.25956,9550,38.16154099
1590464194,5396.93872,9661,37.90071487
1590464197,5399.77432,9780,37.62294769
1590464200,5402.58118,9900,37.3422699
1590464202,5405.43324,10018,37.06895828
1590464209,5412.04243,10265,36.44106674
1590464212,5414.90978,10385,36.1668396
1590464215,5417.75669,10501,35.90429306
1590464217,5420.55433,10621,35.63884735
1590464220,5423.42292,10739,35.37623978
1590464223,5426.2868,10856,35.12255096
1590464226,5429.09199,10976,34.85995102
1590464229,5431.93249,11095,34.59950256
1590464232,5434.63196,11207,34.36067581
1590464234,5437.34118,11319,34.12359238
1590464237,5440.20418,11439,33.86691666
1590464240,5442.99085,11557,33.61850739
1590464243,5445.77453,11675,33.37491989
1590464246,5448.64098,11793,33.13043213
1590464248,5451.3222,11905,32.8974762
1590464251,5454.16487,12025,32.6541481
1590464262,5464.81045,12419,31.77740288
1590464265,5467.66358,12536,31.53819847
1590464267,5470.48345,12654,31.30491447
1590464270,5473.28098,12774,31.07363892
1590464273,5476.15321,12890,30.85048294
1590464276,5478.9505,13009,30.62248421
1590464279,5481.78954,13127,30.39489555
1590464282,5484.63937,13245,30.17687416
1590464284,5487.47848,13364,29.95163345
1590464287,5490.37714,13483,29.72625542
1590464290,5493.20943,13602,29.5064621
1590464293,5496.03337,13718,29.29253387
1590464296,5498.88035,13837,29.08015633
1590464299,5501.6885,13957,28.86544228
1590464310,5512.58872,14370,28.06948662
1590464312,5515.43981,14490,27.8580246
1590464315,5518.29167,14608,27.65382385
1590464318,5521.1241,14727,27.45576859
1590464321,5523.83065,14839,27.26349258
1590464324,5526.68971,14958,27.06414223
1590464326,5529.54763,15078,26.86219978
1590464329,5532.19634,15190,26.67321587
1590464332,5535.0281,15309,26.47460556
1590464335,5537.90207,15428,26.2825737
1590464338,5540.76866,15548,26.08676338
1590464341,5543.60486,15668,25.89250183
1590464343,5546.41341,15787,25.70160103
1590464346,5549.23258,15906,25.51181602
1590464349,5552.07174,16024,25.32548714
1590464360,5563.3494,16445,24.60201263
1590464363,5566.19356,16564,24.41851997
1590464366,5568.99941,16683,24.23653603
1590464369,5571.88748,16803,24.0576458
1590464372,5574.68871,16921,23.88178825
1590464374,5577.5372,17038,23.70868874
1590464377,5580.35965,17156,23.5334301
1590464380,5583.04323,17269,23.36803246
1590464383,5585.84916,17388,23.19581223
1590464386,5588.69051,17506,23.02612495
1590464388,5591.5253,17625,22.85613441
1590464391,5594.33867,17743,22.68753242
