Wall time,Time,Step,Value
1597340312,0,0,0.1110000014
1597340683,370.9967899,250,0.3655999899
1597341054,742.2296698,500,0.6870999932
1597341365,1053.06673,750,0.8227000237
1597341676,1363.9881,1000,0.8468999863
1597341988,1676.09983,1250,0.8403000236
1597342359,2047.18141,1500,0.8707000017
1597342670,2358.05341,1750,0.8669999838
1597342981,2668.96829,2000,0.872600019
1597343352,3039.90449,2250,0.8715000153
1597343663,3350.92663,2500,0.8809000254
1597343974,3661.85841,2750,0.8761000037
1597344345,4033.14765,3000,0.8791000247
1597344656,4344.14741,3250,0.8792999983
1597344967,4654.93906,3500,0.8820999861
1597345338,5025.94071,3750,0.877300024
1597345649,5337.07847,4000,0.8867999911
1597346020,5708.24141,4250,0.9132999778
1597346331,6019.53365,4500,0.9139999747
1597346642,6330.36574,4750,0.913500011
1597347014,6701.76372,5000,0.913500011
1597347325,7012.85568,5250,0.9140999913
1597347636,7323.95231,5500,0.9139999747
1597348007,7695.29373,5750,0.9147999883
1597348318,8006.63844,6000,0.9133999944
1597348509,8091.23738,8035,0.9154999852
1597348580,8161.76017,10092,0.9143999815
1597348650,8232.22549,14080,0.9136999846
1597348720,8302.59809,16165,0.9140999913
1597348791,8373.09696,20079,0.9136000276
1597348861,8443.61916,22013,0.9146999717
