Wall time,Raw Time,Step,Value,Time
1590623725,0,0,0.09939999878,0
1590623796,70.59622002,2019,0.2994999886,70.59622002
1590623806,81.04651999,4029,0.3609000146,81.04651999
1590623877,151.6262,6035,0.4657999873,151.6262
1590623948,222.2185102,8041,0.3928999901,222.2185102
1590623958,232.5989301,10150,0.5554999709,232.5989301
1590624029,303.1882701,12068,0.6305000186,303.1882701
1590624099,373.6294401,16013,0.6796000004,373.6294401
1590624782,1056.82366,16263,0.8303999901,745.3067002
1590625093,1368.12218,16513,0.8327000141,1056.60522
1590625405,1679.75113,16763,0.8661000133,1368.23417
1590625777,2051.41866,17013,0.8694000244,1739.9017
1590626088,2362.64639,17263,0.8521000147,2051.12943
1590626399,2674.13319,17513,0.8820000291,2362.61623
1590626771,3045.48365,17763,0.8743000031,2733.96669
1590627083,3357.43968,18013,0.8981000185,3045.92272
1590627394,3668.8923,18263,0.9061999917,3357.37534
1590627766,4040.53703,18513,0.9060999751,3729.02007
1590628078,4352.32849,18763,0.9067999721,4040.81153
1590628389,4663.71151,19013,0.9057000279,4352.19455
1590628760,5034.98793,19263,0.9060999751,4723.47097
1590629072,5346.44238,19513,0.9070000052,5034.92542
1590629383,5657.58398,19763,0.9079999924,5346.06702
1590629754,6029.12959,20013,0.9064999819,5717.61263
1590630066,6340.53188,20263,0.9071999788,6029.01492
1590630437,6712.11587,20513,0.9070000052,6400.59891
1590630749,7023.58498,20763,0.9068999887,6712.06802
1590631060,7335.13787,21013,0.9071999788,7023.62091
1590631371,7646.12377,21263,0.9061999917,7334.60681
1590631743,8017.4081,21513,0.9054999948,7705.89114
1590632054,8328.67635,21763,0.9060999751,8017.15939
1590632365,8640.01651,22000,0.9068999887,8328.49955
