Wall time,Step,Value
1590623681.045428,62,2.4669547080993652
1590623687.949755,188,3.09354567527771
1590623692.08217,297,2.3908541202545166
1590623695.842233,411,2.1272730827331543
1590623699.226466,524,2.1105103492736816
1590623703.406787,677,2.0018553733825684
1590623706.256996,797,2.0524630546569824
1590623709.067043,916,1.910513162612915
1590623711.897554,1036,1.9101650714874268
1590623714.72597,1156,1.869779348373413
1590623717.562817,1275,1.8058996200561523
1590623720.41268,1394,1.792163372039795
1590623723.070076,1507,1.8308899402618408
1590623725.907028,1627,1.9716459512710571
1590623728.610409,1741,1.8771401643753052
1590623731.417706,1859,1.861741304397583
1590623734.272654,1981,1.77009916305542
1590623742.052049,2275,1.5996372699737549
1590623744.869184,2394,1.8503832817077637
1590623747.72267,2515,1.897146463394165
1590623750.615101,2634,1.7005645036697388
1590623753.260105,2748,1.8095989227294922
1590623756.067309,2864,1.8851205110549927
1590623758.91309,2984,1.7605690956115723
1590623761.746658,3102,1.6376004219055176
1590623764.587921,3223,1.643847107887268
1590623767.404575,3343,1.6967127323150635
1590623770.28137,3462,1.6710983514785767
1590623773.120834,3582,1.6170873641967773
1590623775.949776,3703,1.7159321308135986
1590623778.774462,3819,1.5590102672576904
1590623781.576034,3938,1.426879644393921
1590623794.068768,4414,1.578669548034668
1590623796.912475,4534,1.862276554107666
1590623799.553013,4646,1.5653570890426636
1590623802.377197,4766,1.5937740802764893
1590623805.086466,4879,1.5969958305358887
1590623807.774193,4992,1.580919623374939
1590623810.464036,5107,1.5049240589141846
1590623813.322452,5224,1.3858222961425781
1590623816.170589,5345,1.5435339212417603
1590623818.882533,5460,1.4460593461990356
1590623821.606651,5575,1.4510302543640137
1590623824.480403,5695,1.5810219049453735
1590623827.332251,5816,1.5014147758483887
1590623830.168471,5934,1.521327018737793
1590623839.407756,6292,1.5785191059112549
1590623842.232312,6412,1.5139814615249634
1590623845.051339,6531,1.3357784748077393
1590623847.913284,6651,1.5136363506317139
1590623850.736672,6772,1.320543646812439
1590623853.608959,6891,1.2932932376861572
1590623856.443201,7010,1.311055064201355
1590623859.167532,7125,1.2774107456207275
1590623861.879699,7239,1.456474781036377
1590623864.745174,7358,1.4203717708587646
1590623867.455975,7472,1.5118168592453003
1590623870.334054,7592,1.6533610820770264
1590623873.028946,7707,1.1837561130523682
1590623875.8873,7826,1.218567967414856
1590623878.552356,7938,1.5316548347473145
1590623892.869107,8482,1.1809486150741577
1590623895.59424,8597,1.3299269676208496
1590623898.446432,8716,1.468398094177246
1590623901.158923,8830,1.3328619003295898
1590623903.889816,8947,1.1861144304275513
1590623906.784522,9068,1.2351816892623901
1590623909.655082,9189,1.2258193492889404
1590623912.364016,9302,1.35697340965271
1590623915.241685,9422,1.121321201324463
1590623917.998629,9540,1.3917186260223389
1590623920.713794,9654,1.1948442459106445
1590623923.611805,9774,1.2856669425964355
1590623926.303978,9888,1.084692120552063
1590623928.996448,10000,1.0957709550857544
1590623940.007399,10416,1.2742186784744263
1590623942.889031,10537,1.0024551153182983
1590623945.739475,10657,0.9647216796875
1590623948.402024,10771,1.3321857452392578
1590623951.277062,10891,1.074690580368042
1590623954.107802,11009,1.083489179611206
1590623956.804119,11122,0.9401054382324219
1590623959.643352,11241,1.0201780796051025
1590623962.30864,11354,1.076995611190796
1590623964.987019,11467,0.9584836959838867
1590623967.667959,11580,1.2418864965438843
1590623970.362972,11694,1.2448465824127197
1590623973.21563,11813,1.151515007019043
1590623975.894384,11927,1.1534489393234253
1590623978.718647,12047,0.9272293448448181
1590623989.338388,12443,0.9599652290344238
1590623992.06762,12558,1.0815211534500122
1590623994.911129,12678,0.8073781728744507
1590623997.763236,12798,0.922126293182373
1590624000.446164,12910,0.8275625109672546
1590624003.125768,13024,0.9490817785263062
1590624005.967187,13145,0.9346652030944824
1590624008.804858,13263,0.8514927625656128
1590624011.661626,13382,0.7078661322593689
1590624014.454862,13502,0.6799434423446655
1590624017.276669,13621,0.8642703294754028
1590624020.141672,13740,0.7447146773338318
1590624022.987803,13859,0.7722845077514648
1590624025.826958,13980,0.9394063949584961
1590624035.560526,14352,0.5699903964996338
1590624038.291377,14467,0.6948107481002808
1590624041.145853,14587,0.7515040636062622
1590624043.988589,14708,0.7102919816970825
1590624046.869361,14829,0.7693774700164795
1590624049.7382,14950,0.6342394351959229
1590624052.592438,15068,0.5438185334205627
1590624055.41987,15188,0.599546492099762
1590624058.268592,15308,0.5942919254302979
1590624061.159896,15428,0.5004394054412842
1590624063.860194,15543,0.6375501155853271
1590624066.548802,15656,0.5693382024765015
1590624069.235929,15770,0.5320707559585571
1590624072.126438,15891,0.6121601462364197
1590624074.968098,16011,0.5006949305534363
1590624370.329953,16014,0.5691611766815186
1590624512.334531,16114,0.29760098457336426
1590624639.430095,16214,0.18742436170578003
1590624782.990866,16314,0.13301661610603333
1590624909.796433,16414,0.09127689898014069
1590625054.070425,16514,0.10046203434467316
1590625181.048928,16614,0.06034831702709198
1590625308.059447,16714,0.04080641269683838
1590625446.471848,16814,0.038315657526254654
1590625573.146791,16914,0.032510027289390564
1590625714.504412,17014,0.03345302492380142
1590625841.390589,17114,0.03526284545660019
1590625968.286432,17214,0.02562369592487812
1590626110.875444,17314,0.029351096600294113
1590626237.734244,17414,0.048094913363456726
1590626380.089358,17514,0.015952661633491516
1590626507.273247,17614,0.026082603260874748
1590626634.333912,17714,0.03276853263378143
1590626775.805025,17814,0.02510690502822399
1590626902.954462,17914,0.02808692492544651
1590627044.561293,18014,0.009105571545660496
1590627171.631624,18114,0.0018685057293623686
1590627298.974746,18214,0.0012303102994337678
1590627439.965108,18314,0.000861793349031359
1590627566.881088,18414,0.0006275875493884087
1590627711.73304,18514,0.0006608637049794197
1590627838.791603,18614,0.0006171584827825427
1590627965.692272,18714,0.0005434214835986495
1590628103.32152,18814,0.00038699430297128856
1590628230.307399,18914,0.0004523182869888842
1590628373.224054,19014,0.0005914373323321342
1590628500.000866,19114,0.0004422225756570697
1590628626.693053,19214,0.0004618389066308737
1590628768.366944,19314,0.00045168568613007665
1590628895.298242,19414,0.00035450528957881033
1590629035.383415,19514,0.0005295146256685257
1590629162.118718,19614,0.00038787396624684334
1590629289.052581,19714,0.0003487933427095413
1590629433.599424,19814,0.000455848261481151
1590629560.577775,19914,0.00034582539228722453
1590629705.171642,20014,0.0003463414032012224
1590629831.917296,20114,0.00039551587542518973
1590629958.933249,20214,0.0004505254910327494
1590630102.079716,20314,0.000421960256062448
1590630228.827154,20414,0.00038891530130058527
1590630372.320949,20514,0.0003482502361293882
1590630499.340776,20614,0.00045485852751880884
1590630626.392596,20714,0.000386476400308311
1590630768.137517,20814,0.0003637028858065605
1590630895.177738,20914,0.00036706667742691934
1590631034.827191,21014,0.0003040909650735557
1590631161.690157,21114,0.00032791736884973943
1590631288.579199,21214,0.00033653731225058436
1590631427.492083,21314,0.0004288742784410715
1590631554.509112,21414,0.0004101627564523369
1590631695.049098,21514,0.0003546199295669794
1590631821.857918,21614,0.0004048482805956155
1590631948.696205,21714,0.0003723552217707038
1590632092.41629,21814,0.0003652007435448468
1590632219.322652,21914,0.0004320496809668839
