Wall time,Raw Time,Step,Value,Time
1590433118,0,0,0.0896999985,0
1590433188,70.49908996,2014,0.2732000053,70.49908996
1590433259,141.23489,6068,0.3930000067,141.23489
1590433330,211.7711899,8041,0.5985999703,211.7711899
1590433400,282.41787,12065,0.6965000033,282.41787
1590433471,352.9973099,14067,0.761500001,352.9973099
1590433541,423.47791,16014,0.7360000014,423.47791
1590433973,855.02667,16264,0.8234000206,740.02667
1590434345,1226.6264,16514,0.8352000117,1111.6264
1590434656,1538.10274,16764,0.8521000147,1423.10274
1590434967,1849.48414,17014,0.8303999901,1734.48414
1590435279,2160.77369,17264,0.8610000014,2045.77369
1590435590,2472.08276,17514,0.850399971,2357.08276
1590435962,2843.68042,17764,0.8626000285,2728.68042
1590436273,3155.33749,18014,0.8913999796,3040.33749
1590436585,3466.74525,18264,0.8960999846,3351.74525
1590436896,3778.55161,18514,0.8985999823,3663.55161
1590437268,4150.33847,18764,0.896600008,4035.33847
1590437580,4461.89972,19014,0.8978999853,4346.89972
1590437891,4773.30894,19264,0.8988000154,4658.30894
1590438203,5084.62729,19514,0.8999000192,4969.62729
1590438574,5456.32003,19764,0.8986999989,5341.32003
1590438886,5767.718,20014,0.8967999816,5652.718
1590439197,6078.92786,20264,0.8974999785,5963.92786
1590439508,6390.50202,20514,0.8982999921,6275.50202
1590439880,6762.12831,20764,0.8985000253,6647.12831
1590440191,7073.56581,21014,0.8985000253,6958.56581
1590440503,7384.81661,21264,0.8992999792,7269.81661
1590440814,7696.2361,21514,0.8985000253,7581.2361
1590441186,8067.95638,21764,0.8980000019,7952.95638
1590441498,8379.62555,22000,0.8981000185,8264.62555
