Wall time,Raw Time,Step,Value,Time
1590096939,0,0,0.1000000015,0
1590097010,70.3671701,2010,0.3355000019,70.3671701
1590097080,140.75631,6098,0.4938000143,140.75631
1590097150,211.11641,8036,0.5612000227,211.11641
1590097221,281.26686,12074,0.7107999921,281.26686
1590097291,351.9192801,14064,0.6976000071,351.9192801
1590097362,422.1793401,16072,0.7529000044,422.1793401
1590097372,432.60427,18079,0.7954000235,432.60427
1590097442,503.0102999,20088,0.7857999802,503.0102999
1590097513,573.26823,22196,0.7813000083,573.26823
1590097523,583.99931,24203,0.7641999722,583.99931
1590097594,654.4264801,26111,0.8108000159,654.4264801
1590097664,725.0889399,30140,0.8353999853,725.0889399
1590097866,926.41225,32013,0.834100008,856.0877299
1590098237,1297.73619,32263,0.9003000259,1227.41167
1590098549,1609.35945,32513,0.9014999866,1539.03493
1590098920,1980.86595,32763,0.8975999951,1910.54143
1590099232,2292.1678,33013,0.9011999965,2221.84328
1590099543,2603.22906,33263,0.8991000056,2532.90454
1590099914,2974.81199,33513,0.8988000154,2904.48747
1590100226,3286.43741,33763,0.9011999965,3216.11289
1590100598,3658.29095,34013,0.9003000259,3587.96643
1590100909,3969.59717,34263,0.9010999799,3899.27265
1590101222,4282.634,34513,0.8999000192,4212.30948
1590101594,4654.30655,34763,0.8998000026,4583.98203
1590101905,4965.67129,35013,0.9000999928,4895.34677
1590102216,5276.98192,35263,0.8999999762,5206.6574
1590102588,5648.52431,35513,0.8995000124,5578.19979
1590102899,5959.80937,35763,0.899699986,5889.48485
1590103210,6271.05733,36000,0.8998000026,6200.73281
