Wall time,Time,Step,Value
1594351859,0,0,0.1014000028
1594352050,190.9627101,160,0.4824000001
1594352241,288.9973199,2226,0.4722000062
1594352312,359.3991001,6242,0.6793000102
1594352382,429.9547701,8201,0.7515000105
1594352452,500.1713099,12220,0.7724000216
1594352523,570.6071601,14232,0.8277000189
1594352593,641.0746601,16237,0.8245000243
1594352604,651.22558,18250,0.8388000131
1594352674,721.7648799,20261,0.7957999706
1594352744,792.16991,22272,0.8363000154
1594352755,802.5611401,24283,0.8382999897
1594352826,873.4398601,26363,0.8044000268
1594352896,944.1556699,30311,0.8590000272
1594352967,1014.66233,32355,0.9096999764
1594353038,1085.50817,34323,0.9143000245
1594353048,1095.87306,36348,0.9114000201
1594353119,1166.64599,38347,0.9125999808
1594353190,1237.1955,42361,0.9118000269
1594353260,1307.7584,44378,0.9132999778
1594353331,1378.43054,46391,0.9110999703
1594353341,1388.93046,48467,0.9108999968
1594353412,1459.66002,50419,0.9139999747
1594353482,1530.08404,52425,0.9133999944
1594353493,1540.45961,54501,0.9129999876
1594353563,1611.11907,56453,0.9143999815
1594353634,1681.70022,60476,0.9125999808
1594353705,1753.00423,62894,0.9125000238
