Wall time,Raw Time,Step,Value,Time
1591053248,0,0,0.0998999998,0
1591053619,371.37164,250,0.3041000068,371.37164
1591053930,682.3661499,500,0.7224000096,682.3661499
1591054302,1053.74645,750,0.8188999891,1053.74645
1591054613,1364.88847,1000,0.8393999934,1364.88847
1591054924,1676.13782,1250,0.8436999917,1676.13782
1591055296,2047.71647,1500,0.8701999784,2047.71647
1591055607,2359.28391,1750,0.8770999908,2359.28391
1591055918,2670.47542,2000,0.8797000051,2670.47542
1591056350,3102.02591,6046,0.8517000079,2783.02591
1591056421,3172.81518,8123,0.7264999747,2853.81518
1591056491,3243.17014,10040,0.8173000216,2924.17014
1591056502,3253.92889,12049,0.8327999711,2934.92889
1591056573,3324.77866,14059,0.8691999912,3005.77866
1591056643,3395.28298,18078,0.8646000028,3076.28298
1591056714,3465.97619,20087,0.871900022,3146.97619
1591056785,3536.85815,22176,0.8921999931,3217.85815
1591056795,3547.34792,24158,0.881099999,3228.34792
1591056866,3618.0314,26142,0.8637999892,3299.0314
1591056937,3688.9091,28183,0.8845000267,3369.9091
1591056948,3699.71244,30212,0.8295000196,3380.71244
1591057019,3770.82275,32143,0.9089999795,3451.82275
1591057090,3841.84313,36161,0.915199995,3522.84313
1591057161,3912.50578,38174,0.9172999859,3593.50578
1591057231,3983.24905,42185,0.9164000154,3664.24905
1591057302,4054.00341,44323,0.9172999859,3735.00341
1591057373,4124.77879,46228,0.9168000221,3805.77879
1591057383,4135.38872,48220,0.9180999994,3816.38872
1591057454,4205.87547,50014,0.9168999791,3886.87547
