Wall time,Raw Time,Step,Value,Time
1591053245,0,1,2.837467194,0
1591053387,142.87907,101,2.351514816,142.87907
1591053513,268.2483301,201,1.677289486,268.2483301
1591053654,409.80037,301,1.482704282,409.80037
1591053781,536.22487,401,1.205350161,536.22487
1591053921,676.2270501,501,0.6411656141,676.2270501
1591054047,802.48492,601,0.3423264623,802.48492
1591054173,928.7986701,701,0.2031066269,928.7986701
1591054314,1069.86971,801,0.1427055299,1069.86971
1591054441,1196.42906,901,0.0992359221,1196.42906
1591054584,1339.52585,1001,0.08224006742,1339.52585
1591054711,1466.00258,1101,0.0668386668,1466.00258
1591054837,1592.35379,1201,0.05429832637,1592.35379
1591054977,1732.83456,1301,0.04937646165,1732.83456
1591055104,1859.55722,1401,0.03325599432,1859.55722
1591055247,2002.63909,1501,0.02389926463,2002.63909
1591055374,2129.21838,1601,0.03197535872,2129.21838
1591055500,2255.75072,1701,0.03052842617,2255.75072
1591055640,2395.26351,1801,0.03422129154,2395.26351
1591055767,2522.57151,1901,0.03686762601,2522.57151
1591056233,2988.79705,2126,1.043421388,2669.79705
1591056239,2994.83332,2260,0.3892263174,2675.83332
1591056243,2998.59024,2373,0.4713905156,2679.59024
1591056246,3001.78015,2485,0.6852402687,2682.78015
1591056249,3004.77159,2596,0.9548063278,2685.77159
1591056252,3007.6613,2708,0.7236984372,2688.6613
1591056256,3011.03779,2845,0.5484262109,2692.03779
1591056258,3013.6846,2957,0.6806858778,2694.6846
1591056261,3016.33145,3069,0.3303593397,2697.33145
1591056263,3018.97336,3182,0.3340498805,2699.97336
1591056266,3021.80041,3302,0.4743785858,2702.80041
1591056269,3024.65335,3423,0.1658188552,2705.65335
1591056272,3027.47261,3541,0.4574348629,2708.47261
1591056275,3030.15961,3654,0.2499274015,2711.15961
1591056277,3032.85821,3767,0.4028039575,2713.85821
1591056280,3035.65088,3884,0.17790398,2716.65088
1591056283,3038.49442,4005,0.4625048637,2719.49442
1591056293,3048.38098,4375,0.1786720455,2729.38098
1591056296,3051.1948,4495,0.2599852979,2732.1948
1591056299,3054.02312,4614,0.2966228724,2735.02312
1591056301,3056.88645,4734,0.2616471052,2737.88645
1591056304,3059.55621,4847,0.1609772295,2740.55621
1591056307,3062.19961,4959,0.3361841142,2743.19961
1591056310,3065.01219,5078,0.2601745725,2746.01219
1591056312,3067.84418,5199,0.1511189491,2748.84418
1591056315,3070.67868,5317,0.1195411906,2751.67868
