Wall time,Time,Step,Value
1594324515,0,1,3.023813486
1594324659,144.2278302,101,2.420768738
1594324788,272.54144,201,1.634037733
1594324929,414.0615301,301,1.529789448
1594325059,543.88184,401,1.251591206
1594325203,688.2783501,501,0.6116599441
1594325333,817.9029801,601,0.3774259984
1594325463,947.5982502,701,0.2065041661
1594325604,1089.44739,801,0.1438498348
1594325734,1218.93857,901,0.09791022539
1594325873,1357.53731,1001,0.0882974714
1594326002,1486.857,1101,0.04359460622
1594326131,1616.15437,1201,0.04206770658
1594326275,1760.15114,1301,0.03742470965
1594326405,1889.82337,1401,0.02607763372
1594326549,2033.63794,1501,0.04075141251
1594326678,2163.24537,1601,0.03848995268
1594326807,2292.50089,1701,0.02979244664
1594326952,2437.29701,1801,0.02636470646
1594327082,2567.15996,1901,0.02286880836
1594327227,2712.02129,2000,0.02635224
1594328239,2716.97466,2097,0.697214663
1594328267,2745.51678,3051,0.3956761062
1594328290,2767.82025,3981,0.2239589691
1594328320,2798.10523,5201,0.2099093646
1594328351,2829.1044,6442,0.2115711868
1594328373,2851.3988,7378,0.09569914639
1594328401,2879.48865,8521,0.1967762709
1594328424,2901.75259,9454,0.1057717204
1594328451,2928.6695,10546,0.1027329043
1594328473,2951.39295,11497,0.2764701247
1594328506,2983.863,12801,0.1068922877
1594328528,3006.15044,13733,0.1975324154
1594328558,3036.42662,14959,0.05300926417
1594328582,3059.5242,15924,0.1011647359
1594328612,3089.52246,17133,0.03035169281
1594328634,3112.01525,18076,0.04266993329
1594328665,3143.01817,19318,0.06468826532
1594328695,3172.70881,20519,0.02399156801
1594328717,3195.06329,21452,0.05843311548
1594328745,3222.99604,22589,0.09719716012
1594328768,3245.56218,23533,0.1407257915
1594328800,3277.91048,24833,0.05559371412
1594328822,3300.01878,25762,0.03479400277
1594328853,3330.86235,26997,0.1227939725
1594328875,3353.2691,27937,0.03027810156
1594328904,3382.14569,29107,0.08411610872
1594328926,3404.44815,30039,0.1288039088
1594328956,3433.8537,31232,0.1085878834
1594328985,3463.48004,32431,0.00990860723
1594329008,3486.12644,33375,0.01407701336
1594329038,3516.0347,34587,0.01032023691
1594329060,3538.09772,35510,0.001981836511
1594329091,3568.61148,36742,0.005124505144
1594329113,3590.85831,37676,0.0002770875581
1594329143,3620.93341,38887,0.0006419271813
1594329165,3643.41052,39828,0.002841120586
1594329194,3671.54023,40967,0.0005419336958
1594329216,3693.66011,41892,0.008673720062
1594329249,3726.84712,43223,0.001411463134
1594329271,3748.93068,44150,0.0008947878378
1594329303,3781.12684,45440,0.001848912099
1594329333,3810.7547,46644,0.001653728541
1594329355,3833.29361,47588,0.0004150274617
1594329384,3861.998,48754,0.002050607698
1594329412,3889.8373,49920,0.0004230550549
