Wall time,Time,Step,Value
1591034442,0,1,0.2443571538
1591034585,143.04882,101,0.5597272515
1591034711,268.66326,201,0.505829215
1591034848,405.87293,301,0.441514641
1591034974,532.3015101,401,0.3933180869
1591035114,671.7114801,501,0.3549365997
1591035240,797.8854601,601,0.3239486217
1591035367,924.3903501,701,0.3010353446
1591035502,1059.99188,801,0.2828636467
1591035629,1186.6347,901,0.2669428885
1591035770,1328.3011,1001,0.2522460222
1591035897,1454.96383,1101,0.237562567
1591036024,1581.61946,1201,0.2205579281
1591036165,1722.518,1301,0.2062580585
1591036291,1849.09005,1401,0.1922427267
1591036429,1986.77731,1501,0.1806758791
1591036556,2113.37498,1601,0.1730066687
1591036682,2239.87115,1701,0.1665472239
1591036821,2379.26466,1801,0.1537862569
1591036948,2506.02877,1901,0.1449078918
1591037086,2643.87257,2001,0.1395982504
1591037213,2770.36281,2101,0.1348019093
1591037339,2897.13007,2201,0.130163148
1591037479,3036.513,2301,0.1258547753
1591037605,3163.04828,2401,0.1238825172
1591037746,3303.93809,2501,0.121921055
1591037873,3430.33089,2601,0.116921626
1591037999,3556.96243,2701,0.1118974611
1591038139,3696.80273,2801,0.1096131057
1591038266,3823.44123,2901,0.1081300527
1591038409,3967.12786,3001,0.1063839719
1591038536,4093.44147,3101,0.1049474552
1591038662,4219.79016,3201,0.104323715
1591038805,4362.95798,3301,0.1034453586
1591038932,4489.73606,3401,0.1008457243
1591039072,4630.20021,3501,0.1005336121
1591039199,4756.87696,3601,0.09910168499
1591039326,4883.59499,3701,0.09718991071
1591039465,5022.67724,3801,0.09603537619
1591039591,5149.13839,3901,0.09653637558
1591039732,5289.47644,4001,0.09643409401
1591039858,5416.17325,4101,0.0952084288
1591039985,5542.64734,4201,0.09378275275
1591040125,5682.62776,4301,0.0923628062
1591040252,5809.33914,4401,0.09095604718
1591040391,5948.64155,4501,0.08956678212
1591040517,6075.11135,4601,0.08819667995
1591040644,6201.54112,4701,0.08684589714
1591040783,6341.07933,4801,0.0855140239
1591040910,6467.77025,4901,0.08420262486
1591041053,6610.90842,5001,0.08290974796
1591041180,6737.57036,5101,0.08163757622
1591041306,6864.24469,5201,0.08038498461
1591041455,7012.5003,5301,0.07915197313
1591041581,7138.86888,5401,0.07793865353
1591041727,7284.78029,5501,0.07674459368
1591041854,7411.53542,5601,0.07556892186
1591041980,7538.17095,5701,0.07441145927
1591042121,7678.92894,5801,0.0732735917
1591042248,7805.80914,5901,0.07215405256
1591043037,7952.10789,6087,0.07091636956
1591043044,7958.45445,6221,0.191124633
1591043048,7962.38983,6332,0.1921195388
1591043051,7965.82019,6447,0.1932342052
1591043054,7969.06135,6565,0.1952985078
1591043057,7972.07246,6684,0.1967567205
1591043060,7974.95922,6800,0.1987004131
1591043063,7977.84442,6922,0.1998517215
1591043066,7980.54039,7036,0.2009796649
1591043068,7983.21912,7145,0.2020872235
1591043071,7986.01751,7264,0.2029712051
1591043074,7988.82996,7384,0.204431653
1591043077,7991.67005,7502,0.2061774582
1591043080,7994.5241,7622,0.2074359357
1591043083,7997.34326,7740,0.2083469629
1591043085,7999.98061,7852,0.2090456486
1591043088,8002.77426,7971,0.2100260258
1591043097,8011.60619,8306,0.2134729922
1591043100,8014.4685,8426,0.2145445794
1591043102,8017.30661,8546,0.2150733769
1591043105,8020.10407,8665,0.2159303427
1591043108,8022.89436,8783,0.2165058106
1591043111,8025.71153,8901,0.2169150561
1591043114,8028.47931,9019,0.2173921019
1591043116,8031.29606,9136,0.2180186957
1591043119,8033.94789,9247,0.2183841765
1591043122,8036.58594,9359,0.2189166993
1591043124,8039.23005,9471,0.2197217792
1591043127,8042.04057,9591,0.2200995982
1591043130,8044.84895,9710,0.2203696221
1591043133,8047.67778,9830,0.2209602296
1591043136,8050.49747,9951,0.2217251956
1591043147,8062.08551,10388,0.2245912552
1591043150,8064.75775,10501,0.2248224318
1591043153,8067.58856,10621,0.2248134911
1591043156,8070.4318,10740,0.2250256985
1591043158,8073.1095,10852,0.225206092
1591043161,8075.7695,10965,0.2253258973
1591043164,8078.59043,11086,0.2260334939
1591043167,8081.42758,11203,0.227273792
1591043169,8084.23464,11322,0.227238819
1591043172,8087.08198,11442,0.2271913737
1591043175,8089.85698,11561,0.2275764793
1591043178,8092.64049,11679,0.2279051989
1591043181,8095.41524,11798,0.2279466987
1591043183,8098.22591,11914,0.22830607
1591043196,8111.17386,12410,0.2287911624
1591043199,8113.88768,12524,0.2306070328
1591043202,8116.70563,12643,0.2308807373
1591043205,8119.51709,12763,0.2307222039
1591043208,8122.33575,12879,0.2306561172
1591043210,8125.15384,12999,0.2305231094
1591043213,8127.96092,13118,0.230477795
1591043216,8130.80539,13238,0.2303383946
1591043219,8133.63397,13356,0.2304190546
1591043222,8136.47487,13476,0.2304824591
1591043224,8139.13927,13589,0.2303501219
1591043227,8141.78303,13702,0.2302360535
1591043230,8144.629,13823,0.2308576852
1591043233,8147.42591,13941,0.231256485
1591043243,8158.28712,14356,0.2317562252
1591043246,8161.11604,14476,0.2322028279
1591043249,8163.91058,14595,0.2321487069
1591043252,8166.72575,14714,0.2317953557
1591043255,8169.53241,14834,0.2315541953
1591043258,8172.38983,14954,0.2312285304
1591043260,8175.20714,15072,0.2308474034
1591043263,8178.0137,15191,0.2306870967
1591043266,8180.81126,15311,0.2307046503
1591043269,8183.69041,15430,0.2306565195
1591043272,8186.53406,15548,0.3014828563
1591043274,8189.19908,15660,0.3006889224
1591043277,8191.98643,15779,0.2997981608
1591043280,8194.83338,15899,0.2990908325
1591043283,8197.52037,16014,0.2987031043
1591043294,8208.42622,16420,0.2978125811
1591043296,8211.24768,16540,0.2970434129
1591043299,8214.07643,16661,0.2961855531
1591043302,8216.91661,16781,0.2957837284
1591043305,8219.76062,16899,0.2952961922
1591043308,8222.57911,17018,0.2944664359
1591043311,8225.39139,17137,0.2939403355
1591043313,8228.2239,17257,0.2937627733
1591043316,8231.01979,17374,0.2932353318
1591043319,8233.83313,17493,0.2923533022
1591043322,8236.63298,17609,0.291424185
1591043325,8239.41177,17728,0.2905689776
1591043327,8242.21704,17846,0.2906177342
1591043330,8245.02015,17966,0.2908104062
1591043340,8254.56523,18332,0.2892094553
1591043343,8257.38536,18450,0.2885120213
1591043345,8260.17901,18570,0.2876039445
1591043348,8263.00291,18688,0.2866429985
1591043351,8265.84172,18809,0.2860105038
1591043354,8268.64976,18928,0.2857254148
1591043357,8271.47056,19047,0.2850035131
1591043359,8274.28713,19164,0.2841100395
1591043362,8277.1018,19283,0.2831430435
1591043365,8279.9193,19402,0.2823830545
1591043368,8282.74453,19521,0.2816907167
1591043371,8285.40967,19633,0.2809767425
1591043373,8288.21838,19752,0.2801934183
1591043376,8291.03104,19872,0.2798726559
1591043379,8293.86803,19989,0.2793475389
1591043390,8304.96857,20413,0.2788517773
1591043393,8307.68103,20527,0.278475225
1591043396,8310.52583,20645,0.2775327563
1591043399,8313.34168,20765,0.27650401
1591043401,8316.15239,20884,0.2754928768
1591043404,8318.98032,21001,0.2749300003
1591043407,8321.78913,21119,0.2743275464
1591043410,8324.59954,21236,0.2742658556
1591043413,8327.40715,21356,0.273822248
1591043415,8330.21409,21475,0.2730464935
1591043418,8333.04497,21591,0.2721123695
1591043421,8335.85124,21711,0.2713562846
1591043424,8338.66442,21831,0.2707723677
1591043427,8341.53175,21948,0.2704211771
