Wall time,Time,Step,Value
1591025703,0,1,0.2441259176
1591025845,142.0123198,101,0.4264515638
1591025970,267.51559,201,0.5734782219
1591026110,407.2058399,301,0.4979491234
1591026236,533.6072199,401,0.4398500323
1591026377,674.6576998,501,0.3951272368
1591026504,801.1101298,601,0.3632645011
1591026630,927.8340499,701,0.3346403241
1591026769,1066.73673,801,0.3128657043
1591026896,1193.07442,901,0.2947018445
1591027037,1334.10901,1001,0.2763496339
1591027163,1460.53999,1101,0.2585761547
1591027289,1586.85109,1201,0.240878433
1591027430,1727.03977,1301,0.2247737944
1591027556,1853.42141,1401,0.2099585384
1591027697,1994.735,1501,0.1970080137
1591027824,2121.42591,1601,0.1885316372
1591027950,2247.44828,1701,0.1773720682
1591028091,2388.092,1801,0.1644547731
1591028217,2514.2882,1901,0.1551434845
1591028353,2650.43892,2001,0.1479621083
1591028480,2777.18272,2101,0.141407147
1591028606,2903.87072,2201,0.1358288676
1591028747,3044.52872,2301,0.1312016696
1591028873,3170.74245,2401,0.1264273226
1591029016,3313.70863,2501,0.1234624982
1591029143,3440.27975,2601,0.119995676
1591029269,3566.79526,2701,0.1184921265
1591029407,3704.0336,2801,0.1178657785
1591029533,3830.61975,2901,0.1134387702
1591029674,3971.47831,3001,0.1099717245
1591029801,4098.37188,3101,0.1077022702
1591029928,4225.4082,3201,0.1070121825
1591030067,4364.93069,3301,0.1049123406
1591030194,4491.2638,3401,0.1024416983
1591030337,4634.89539,3501,0.1017042547
1591030464,4761.86401,3601,0.1007935554
1591030591,4888.72976,3701,0.1009501144
1591030731,5028.5378,3801,0.09904050082
1591030858,5155.30985,3901,0.09647522867
1591030999,5296.00412,4001,0.09620441496
1591031125,5422.32091,4101,0.09499642253
1591031251,5548.79348,4201,0.09356994182
1591031392,5689.65021,4301,0.09214904904
1591031519,5816.34017,4401,0.09074192494
1591031660,5957.26088,4501,0.08935252577
1591031786,6083.72828,4601,0.08798132092
1591031913,6210.07973,4701,0.0866297707
1591032054,6351.26278,4801,0.08529815823
1591032180,6477.77029,4901,0.08398608118
1591032322,6619.01979,5001,0.08269361407
1591032448,6745.30969,5101,0.08142188191
1591032574,6871.61653,5201,0.08016887307
1591032718,7015.42968,5301,0.07893547416
1591032844,7141.78345,5401,0.07772189379
1591032983,7280.5413,5501,0.07652770728
1591033110,7407.33618,5601,0.07535178959
1591033236,7533.94358,5701,0.07419539243
1591033380,7677.36069,5801,0.07305697352
1591033506,7803.9168,5901,0.07193695754
1591033795,7955.0111,6107,0.07111338526
1591033801,7961.51673,6249,0.1754383296
1591033805,7965.2281,6362,0.1763121784
1591033808,7968.7624,6479,0.1775754988
1591033811,7971.80189,6590,0.1788959056
1591033814,7974.75737,6709,0.1801912487
1591033818,7978.31155,6849,0.1847277433
1591033821,7981.12261,6969,0.188205272
