Wall time,Step,Value
1602371699.124825,0,0.10000000149011612
1602372251.828225,250,0.37229999899864197
1602372864.620835,500,0.572700023651123
1602373417.331478,750,0.6833999752998352
1602374030.201616,1000,0.6608999967575073
1602374582.847159,1250,0.6848999857902527
1602375195.604445,1500,0.8100000023841858
1602375748.65574,1750,0.8586000204086304
1602376301.267975,2000,0.8392999768257141
1602376447.971158,2000,0.8392999768257141
1602376579.574434,6096,0.9129999876022339
1602376651.021138,10558,0.9157999753952026
1602376722.487446,14624,0.9176999926567078
1602376733.751133,18615,0.9186000227928162
1602376805.297183,22846,0.9169999957084656
1602376876.632805,30159,0.9178000092506409
1602376948.476749,34029,0.9196000099182129
