Wall time,Step,Time,Value
1602429464.52,0,0.0,0.0989999994636
1602430017.68,250,553.16228199,0.533599972725
1602430630.94,500,1166.41985011,0.711099982262
1602431243.93,750,1779.41577911,0.7132999897
1602431796.79,1000,2332.26951909,0.802299976349
1602432409.85,1250,2945.33038902,0.825900018215
1602432962.64,1500,3498.12741899,0.858399987221
1602433575.94,1750,4111.42641497,0.817200005054
1602434188.87,2000,4724.35578203,0.865299999714
1602434380.59,10046,4916.06992102,0.925700008869
1602434452.23,14063,4987.71711516,0.929300010204
1602434523.94,18086,5059.42284012,0.928099989891
1602434535.48,22396,5070.96698308,0.929300010204
1602434607.22,26619,5142.70013118,0.92720001936
1602434618.45,30140,5153.93430901,0.927999973297
1602434690.17,34029,5225.65707207,0.928600013256
