Wall time,Step,Value
1600031000.862103,0,0.10000000149011612
1600031252.775585,125,0.2442999929189682
1600031565.052228,250,0.39570000767707825
1600031877.361873,375,0.5986999869346619
1600032129.528113,500,0.6740000247955322
1600032442.031281,625,0.7617999911308289
1600032754.327401,750,0.7386999726295471
1600033006.44243,875,0.7702999711036682
1600033319.077343,1000,0.7799000144004822
1600033631.456802,1125,0.8269000053405762
1600033883.642314,1250,0.8012999892234802
1600034196.054952,1375,0.8560000061988831
1600034508.504763,1500,0.8141000270843506
1600034760.51728,1625,0.8361999988555908
1600035072.977583,1750,0.8391000032424927
1600035385.374345,1875,0.8472999930381775
1600035637.643167,2000,0.8490999937057495
1600035950.067888,2125,0.9086999893188477
1600036262.716495,2250,0.9108999967575073
1600036575.307567,2375,0.9099000096321106
1600036827.759004,2500,0.911899983882904
1600037140.347849,2625,0.9114999771118164
1600037452.852539,2750,0.9128000140190125
1600037705.082705,2875,0.9097999930381775
1600038017.65797,3000,0.9115999937057495
1600038330.050288,3125,0.9101999998092651
1600038582.515652,3250,0.9104999899864197
1600038895.101971,3375,0.9101999998092651
1600039207.766067,3500,0.9104999899864197
1600039520.398442,3625,0.9118000268936157
1600039772.561454,3750,0.9103000164031982
1600040084.758179,3875,0.9104999899864197
1600040397.218998,4000,0.9107999801635742
