Wall time,Step,Value
1600030939.046696,1,3.319760322570801
1600031156.81335,101,1.9923014640808105
1600031391.848512,201,1.540966510772705
1600031631.314063,301,1.2372379302978516
1600031867.535824,401,1.0138763189315796
1600032104.859427,501,0.7177676558494568
1600032322.303879,601,0.5427444577217102
1600032561.955024,701,0.41077736020088196
1600032801.170385,801,0.378767192363739
1600033048.764251,901,0.2912505567073822
1600033287.004457,1001,0.2744273543357849
1600033504.324371,1101,0.19752472639083862
1600033743.816153,1201,0.21072256565093994
1600033979.393909,1301,0.2076231837272644
1600034224.549653,1401,0.17434443533420563
1600034464.192049,1501,0.16533103585243225
1600034681.491587,1601,0.13611842691898346
1600034915.10524,1701,0.15713179111480713
1600035150.465305,1801,0.14254353940486908
1600035389.92537,1901,0.11848003417253494
1600035624.131921,2001,0.09240948408842087
1600035841.438664,2101,0.021571803838014603
1600036078.606403,2201,0.018619149923324585
1600036327.966655,2301,0.010694569908082485
1600036562.958387,2401,0.011871363036334515
1600036799.981702,2501,0.005390557460486889
1600037017.504058,2601,0.004533059895038605
1600037253.784984,2701,0.00595332495868206
1600037500.055551,2801,0.004534364212304354
1600037738.153682,2901,0.003202458843588829
1600037983.398564,3001,0.003088282188400626
1600038200.874398,3101,0.0019370575901120901
1600038441.154137,3201,0.0032312816474586725
1600038679.024833,3301,0.0030922889709472656
1600038925.097166,3401,0.0022046181838959455
1600039166.114703,3501,0.0032639391720294952
1600039383.8024,3601,0.0023651947267353535
1600039624.061204,3701,0.0029184455052018166
1600039864.531149,3801,0.0020789066329598427
1600040103.30159,3901,0.0029668405186384916
