Wall time,Time,Step,Value
1602349779,0,0,0.1000000015
1602350332,553.0336699,250,0.3583000004
1602350945,1166.33695,500,0.5522999763
1602351498,1719.36072,750,0.5636000037
1602352112,2332.73114,1000,0.6963000298
1602352665,2885.64688,1250,0.7712000012
1602353218,3438.78172,1500,0.7979999781
1602353831,4051.90467,1750,0.8586999774
1602354384,4604.93164,2000,0.7537000179
1602354997,5218.14493,2250,0.9187999964
1602355550,5771.13499,2500,0.9207000136
1602356163,6384.40528,2750,0.9225999713
1602356716,6937.55551,3000,0.9254000187
1602357330,7550.88765,3250,0.9251999855
1602357883,8104.1806,3500,0.926699996
1602358496,8717.49271,3750,0.9258000255
1602359050,9270.77448,4000,0.9254000187
