Wall time,Time,Step,Value
1602349719,0,1,3.004286528
1602349944,224.6998999,101,1.913169861
1602350167,448.30252,201,1.696279764
1602350410,691.2392199,301,1.465795636
1602350634,915.2701499,401,1.172573805
1602350881,1161.62583,501,0.9358308911
1602351105,1385.86169,601,0.7720871568
1602351329,1610.084,701,0.6198508143
1602351575,1856.35737,801,0.5011202097
1602351800,2080.57678,901,0.4230620861
1602352046,2326.9658,1001,0.4109751284
1602352270,2551.32184,1101,0.3802224398
1602352494,2775.41648,1201,0.2820572555
1602352738,3018.69921,1301,0.2855997682
1602352962,3242.86333,1401,0.2387075126
1602353208,3488.55969,1501,0.2341574728
1602353432,3712.76107,1601,0.2453029007
1602353656,3936.8024,1701,0.2360271364
1602353904,4184.52767,1801,0.1709667444
1602354128,4408.60557,1901,0.2210760862
1602354373,4654.27808,2001,0.2070985138
1602354597,4878.45437,2101,0.05145671219
1602354822,5102.54498,2201,0.02978121676
1602355064,5345.02182,2301,0.01811802387
1602355288,5569.10213,2401,0.01538021397
1602355530,5810.78792,2501,0.008580313995
1602355754,6035.04516,2601,0.01083942316
1602355978,6259.0692,2701,0.009501896799
1602356224,6504.56242,2801,0.005767682102
1602356448,6728.64466,2901,0.004019554239
1602356694,6974.92415,3001,0.003467613831
1602356918,7199.15264,3101,0.002446369268
1602357142,7423.38298,3201,0.003436209867
1602357389,7669.73218,3301,0.002848092001
1602357613,7893.93046,3401,0.002620063256
1602357855,8135.71949,3501,0.003770694369
1602358079,8359.90434,3601,0.003280614503
1602358303,8583.92582,3701,0.003468642011
1602358549,8829.51857,3801,0.00107124832
1602358773,9053.60321,3901,0.003941955045
1602359017,9297.55773,4000,0.0016792737
